,extinction_male,extinction_female,tuple,average_male,average_female,female-male
0,-0.18070044,-0.4331195,"('unsociable', 'sociable')",-0.1807004,-0.4331195,-0.2524191
1,1.1147896,1.088613,"('unfriendly', 'friendly')",1.1147896,1.088613,-0.0261766
2,0.32488847,0.44876593,"('unlikable', 'likable')",0.3248885,0.4487659,0.1238774
3,0.5487656,0.51251173,"('repellent', 'pleasant')",0.5487656,0.5125117,-0.0362539
4,-7.1761937,-7.0555735,"('disliked', 'liked')",-7.1761937,-7.0555735,0.1206202
5,-0.5953782,-0.37410134,"('distant', 'outgoing')",-0.5953782,-0.3741013,0.2212769
6,-0.4708441,-0.1960485,"('distant', 'open')",-0.4708441,-0.1960485,0.2747956
7,0.20195626,0.19427186,"('insensitive', 'sensitive')",0.2019563,0.1942719,-0.0076844
8,1.0585861,1.1757702,"('unaffectionate', 'affectionate')",1.0585861,1.1757702,0.1171841
9,1.8236384,1.9080385,"('unaffectionate', 'caring')",1.8236384,1.9080385,0.0844001
10,1.045433,0.93800884,"('unsympathetic', 'sympathetic')",1.045433,0.9380088,-0.1074242
11,1.8705938,1.8737363,"('unhelpful', 'helpful')",1.8705938,1.8737363,0.0031425
12,-1.7597485,-1.7549075,"('unsupportive', 'supportive')",-1.7597485,-1.7549075,0.004841
13,0.41865718,0.20117168,"('impolite', 'polite')",0.4186572,0.2011717,-0.2174855
14,-0.62272304,-0.8393496,"('antisocial', 'social')",-0.622723,-0.8393496,-0.2166266
15,0.18591392,0.30764762,"('boring', 'funny')",0.1859139,0.3076476,0.1217337
16,-0.7018418,-0.60684407,"('unpopular', 'popular')",-0.7018418,-0.6068441,0.0949977
17,-0.96125644,-0.88634515,"('nasty', 'nice')",-0.9612564,-0.8863451,0.0749113
18,-1.0668175,-1.1477542,"('disagreeable', 'welcoming')",-1.0668175,-1.1477542,-0.0809367
19,-1.0794811,-0.8327059,"('inhospitable', 'hospitable')",-1.0794811,-0.8327059,0.2467752
20,0.7817145,0.6289967,"('rough', 'thoughtful')",0.7817145,0.6289967,-0.1527178
21,-0.12286146,-0.22513908,"('immoral', 'moral')",-0.1228615,-0.2251391,-0.1022776
22,-0.2897275,-0.3713823,"('untrustworthy', 'trustworthy')",-0.2897275,-0.3713823,-0.0816548
23,5.8686585,5.8058844,"('insincere', 'sincere')",5.8686585,5.8058844,-0.0627741
24,1.4727526,1.4220395,"('dishonest', 'honest')",1.4727526,1.4220395,-0.0507131
25,0.14108592,0.08390882,"('egoistic', 'altruistic')",0.1410859,0.0839088,-0.0571771
26,0.40925542,0.33618385,"('hardhearted', 'benevolent')",0.4092554,0.3361838,-0.0730716
27,0.91400415,0.735404,"('hardhearted', 'softhearted')",0.9140041,0.735404,-0.1786001
28,1.0298522,0.9752303,"('disloyal', 'loyal')",1.0298522,0.9752303,-0.0546219
29,-1.0393723,-1.0207143,"('unfair', 'fair')",-1.0393723,-1.0207143,0.018658
30,0.5994417,0.4732681,"('intolerant', 'tolerant')",0.5994417,0.4732681,-0.1261736
31,-2.4899254,-2.2426627,"('evil', 'good')",-2.4899254,-2.2426627,0.2472627
32,0.8575208,0.7584984,"('unkind', 'kind')",0.8575208,0.7584984,-0.0990224
33,-0.23222592,-0.17594759,"('wrong', 'right')",-0.2322259,-0.1759476,0.0562783
