,glockenspiel_male,glockenspiel_female,tuple,average_male,average_female,female-male
0,-0.8836889,-0.9171294,"('unsociable', 'sociable')",-0.8836889,-0.9171294,-0.0334405
1,-0.38882262,-0.44517133,"('unfriendly', 'friendly')",-0.3888226,-0.4451713,-0.0563487
2,-0.16234255,-0.13892892,"('unlikable', 'likable')",-0.1623425,-0.1389289,0.0234136
3,-0.85286623,-0.71874905,"('repellent', 'pleasant')",-0.8528662,-0.718749,0.1341172
4,-0.4061261,-0.45863765,"('disliked', 'liked')",-0.4061261,-0.4586377,-0.0525116
5,0.7531063,0.7417377,"('distant', 'outgoing')",0.7531063,0.7417377,-0.0113686
6,0.8171297,0.8185132,"('distant', 'open')",0.8171297,0.8185132,0.0013835
7,-0.8703518,-0.8096704,"('insensitive', 'sensitive')",-0.8703518,-0.8096704,0.0606814
8,0.18474066,0.094665624,"('unaffectionate', 'affectionate')",0.1847407,0.0946656,-0.0900751
9,-0.22190982,-0.31018746,"('unaffectionate', 'caring')",-0.2219098,-0.3101875,-0.0882777
10,-2.5255668,-2.4905145,"('unsympathetic', 'sympathetic')",-2.5255668,-2.4905145,0.0350523
11,-1.2636946,-1.2988572,"('unhelpful', 'helpful')",-1.2636946,-1.2988572,-0.0351626
12,-1.3281869,-1.3301183,"('unsupportive', 'supportive')",-1.3281869,-1.3301183,-0.0019314
13,-1.1075807,-1.1169965,"('impolite', 'polite')",-1.1075807,-1.1169965,-0.0094158
14,-0.5914121,-0.58863896,"('antisocial', 'social')",-0.5914121,-0.588639,0.0027731
15,1.0582442,0.9945305,"('boring', 'funny')",1.0582442,0.9945305,-0.0637137
16,0.75848776,0.7347644,"('unpopular', 'popular')",0.7584878,0.7347644,-0.0237234
17,-0.9515571,-0.9084701,"('nasty', 'nice')",-0.9515571,-0.9084701,0.043087
18,-0.8473851,-0.88516295,"('disagreeable', 'welcoming')",-0.8473851,-0.8851629,-0.0377778
19,0.111129895,0.16538021,"('inhospitable', 'hospitable')",0.1111299,0.1653802,0.0542503
20,-0.54993206,-0.53222203,"('rough', 'thoughtful')",-0.5499321,-0.532222,0.0177101
21,-1.5881503,-1.5531511,"('immoral', 'moral')",-1.5881503,-1.5531511,0.0349992
22,-0.901818,-0.9327114,"('untrustworthy', 'trustworthy')",-0.901818,-0.9327114,-0.0308934
23,-0.27305013,-0.2862392,"('insincere', 'sincere')",-0.2730501,-0.2862392,-0.0131891
24,-1.225248,-1.2825835,"('dishonest', 'honest')",-1.225248,-1.2825835,-0.0573355
25,0.25151822,0.21826465,"('egoistic', 'altruistic')",0.2515182,0.2182647,-0.0332535
26,0.055432938,-0.061238427,"('hardhearted', 'benevolent')",0.0554329,-0.0612384,-0.1166713
27,-0.5921586,-0.64476436,"('hardhearted', 'softhearted')",-0.5921586,-0.6447644,-0.0526058
28,-0.94868463,-1.0391647,"('disloyal', 'loyal')",-0.9486846,-1.0391647,-0.0904801
29,-0.14243162,-0.18304068,"('unfair', 'fair')",-0.1424316,-0.1830407,-0.0406091
30,-1.1134273,-1.1317843,"('intolerant', 'tolerant')",-1.1134273,-1.1317843,-0.018357
31,0.4440972,0.50698924,"('evil', 'good')",0.4440972,0.5069892,0.062892
32,-0.56355757,-0.6595497,"('unkind', 'kind')",-0.5635576,-0.6595497,-0.0959921
33,0.6406128,0.5376839,"('wrong', 'right')",0.6406128,0.5376839,-0.1029289
34,0.24092644,0.37468165,"('mean', 'honorable')",0.2409264,0.3746817,0.1337553
35,1.7785778,1.7404289,"('corrupt', 'incorrupt')",1.7785778,1.7404289,-0.0381489
36,0.61985946,0.59456736,"('hostile', 'amicable')",0.6198595,0.5945674,-0.0252921
37,-0.18037651,-0.17351875,"('fake', 'genuine')",-0.1803765,-0.1735187,0.0068578
38,-0.1904633,-0.23164284,"('untruthful', 'truthful')",-0.1904633,-0.2316428,-0.0411795
39,0.41612747,0.44831753,"('exploitative', 'cooperative')",0.4161275,0.4483175,0.03219
40,-1.041579,-1.0927422,"('stingy', 'generous')",-1.041579,-1.0927422,-0.0511632
41,-0.60664755,-0.6163586,"('unforgiving', 'forgiving')",-0.6066476,-0.6163586,-0.009711
42,-0.5136954,-0.47141382,"('unreliable', 'reliable')",-0.5136954,-0.4714138,0.0422816
43,-1.2582015,-1.240473,"('irresponsible', 'responsible')",-1.2582015,-1.240473,0.0177285
44,-0.43507057,-0.4190088,"('prejudiced', 'unprejudiced')",-0.4350706,-0.4190088,0.0160618
45,-0.96251905,-0.930923,"('incompetent', 'competent')",-0.962519,-0.930923,0.031596
46,-1.3726896,-1.3547086,"('uncompetitive', 'competitive')",-1.3726896,-1.3547086,0.017981
47,0.70555794,0.76928693,"('stupid', 'smart')",0.7055579,0.7692869,0.063729
48,-1.5805577,-1.6109177,"('unintelligent', 'intelligent')",-1.5805577,-1.6109177,-0.03036
