,monument_male,monument_female,tuple,average_male,average_female,female-male
0,0.68934625,0.30074844,"('unsociable', 'sociable')",0.6893463,0.3007484,-0.3885979
1,0.73936963,0.907228,"('unfriendly', 'friendly')",0.7393696,0.907228,0.1678584
2,-0.020815944,0.012773363,"('unlikable', 'likable')",-0.0208159,0.0127734,0.0335893
3,0.6025254,0.7557913,"('repellent', 'pleasant')",0.6025254,0.7557913,0.1532659
4,-7.367627,-7.704215,"('disliked', 'liked')",-7.3676271,-7.704215,-0.3365879
5,-1.6925719,-1.4630837,"('distant', 'outgoing')",-1.6925719,-1.4630837,0.2294882
6,-1.3746974,-1.0905997,"('distant', 'open')",-1.3746974,-1.0905997,0.2840977
7,2.013128,1.7611661,"('insensitive', 'sensitive')",2.013128,1.7611661,-0.2519619
8,0.7445549,0.9395041,"('unaffectionate', 'affectionate')",0.7445549,0.9395041,0.1949492
9,1.4269104,1.6993935,"('unaffectionate', 'caring')",1.4269104,1.6993935,0.2724831
10,1.8828855,1.7206376,"('unsympathetic', 'sympathetic')",1.8828855,1.7206376,-0.1622479
11,2.1843328,2.1986234,"('unhelpful', 'helpful')",2.1843328,2.1986234,0.0142906
12,-1.0405571,-1.180297,"('unsupportive', 'supportive')",-1.0405571,-1.180297,-0.1397399
13,0.5757989,0.29956865,"('impolite', 'polite')",0.5757989,0.2995687,-0.2762302
14,1.2478113,0.9134754,"('antisocial', 'social')",1.2478113,0.9134754,-0.3343359
15,0.8541052,0.60478204,"('boring', 'funny')",0.8541052,0.604782,-0.2493232
16,-0.78215647,-0.7097337,"('unpopular', 'popular')",-0.7821565,-0.7097337,0.0724228
17,-0.16134489,-0.11776228,"('nasty', 'nice')",-0.1613449,-0.1177623,0.0435826
18,-1.066921,-0.84353423,"('disagreeable', 'welcoming')",-1.066921,-0.8435342,0.2233868
19,-0.94656754,-0.8139384,"('inhospitable', 'hospitable')",-0.9465675,-0.8139384,0.1326291
20,0.6424047,0.6301033,"('rough', 'thoughtful')",0.6424047,0.6301033,-0.0123014
21,0.58701867,0.5593429,"('immoral', 'moral')",0.5870187,0.5593429,-0.0276758
22,-0.25070953,-0.43706924,"('untrustworthy', 'trustworthy')",-0.2507095,-0.4370692,-0.1863597
23,7.0343237,7.210104,"('insincere', 'sincere')",7.0343237,7.210104,0.1757803
24,1.806026,1.8246478,"('dishonest', 'honest')",1.806026,1.8246478,0.0186218
25,0.39993763,0.66250634,"('egoistic', 'altruistic')",0.3999376,0.6625063,0.2625687
26,1.5927397,1.2982584,"('hardhearted', 'benevolent')",1.5927397,1.2982584,-0.2944813
27,0.9917806,1.2049215,"('hardhearted', 'softhearted')",0.9917806,1.2049215,0.2131409
28,1.6839781,1.6142049,"('disloyal', 'loyal')",1.6839781,1.6142049,-0.0697732
29,-0.8353968,-1.0180409,"('unfair', 'fair')",-0.8353968,-1.0180409,-0.1826441
30,1.55125,1.4431858,"('intolerant', 'tolerant')",1.55125,1.4431858,-0.1080642
31,-2.3798847,-2.0893574,"('evil', 'good')",-2.3798847,-2.0893574,0.2905273
32,1.8687886,1.6237183,"('unkind', 'kind')",1.8687886,1.6237183,-0.2450703
33,-0.51107234,-0.5446894,"('wrong', 'right')",-0.5110723,-0.5446894,-0.0336171
34,4.6939745,5.0931687,"('mean', 'honorable')",4.6939745,5.0931687,0.3991942
35,-1.3062307,-1.4529053,"('corrupt', 'incorrupt')",-1.3062307,-1.4529053,-0.1466746
36,-1.9629136,-1.7708682,"('hostile', 'amicable')",-1.9629136,-1.7708682,0.1920454
37,0.8546615,0.84948343,"('fake', 'genuine')",0.8546615,0.8494834,-0.0051781
38,0.3082669,0.2449157,"('untruthful', 'truthful')",0.3082669,0.2449157,-0.0633512
39,0.8278877,0.9181656,"('exploitative', 'cooperative')",0.8278877,0.9181656,0.0902779
40,-1.8743364,-1.9505905,"('stingy', 'generous')",-1.8743364,-1.9505905,-0.0762541
41,0.45898265,0.4351684,"('unforgiving', 'forgiving')",0.4589826,0.4351684,-0.0238142
42,-2.5920777,-2.77035,"('unreliable', 'reliable')",-2.5920777,-2.77035,-0.1782723
43,1.5525697,1.5130239,"('irresponsible', 'responsible')",1.5525697,1.5130239,-0.0395458
44,-2.176277,-2.0634763,"('prejudiced', 'unprejudiced')",-2.1762769,-2.0634763,0.1128006
45,0.6207362,0.31388295,"('incompetent', 'competent')",0.6207362,0.3138829,-0.3068533
