,solution_male,solution_female,tuple,average_male,average_female,female-male
0,1.03898,0.88425773,"('unsociable', 'sociable')",1.03898,0.8842577,-0.1547223
1,1.054147,1.1136473,"('unfriendly', 'friendly')",1.054147,1.1136473,0.0595003
2,0.13004486,0.12135775,"('unlikable', 'likable')",0.1300449,0.1213577,-0.0086872
3,0.6036982,0.57762986,"('repellent', 'pleasant')",0.6036982,0.5776299,-0.0260683
4,-7.8298235,-7.89207,"('disliked', 'liked')",-7.8298235,-7.8920698,-0.0622463
5,-1.1034685,-1.0624378,"('distant', 'outgoing')",-1.1034685,-1.0624378,0.0410307
6,-0.49654233,-0.42477274,"('distant', 'open')",-0.4965423,-0.4247727,0.0717696
7,1.4558691,1.4828106,"('insensitive', 'sensitive')",1.4558691,1.4828106,0.0269415
8,0.26795042,0.23473033,"('unaffectionate', 'affectionate')",0.2679504,0.2347303,-0.0332201
9,1.6863209,1.7355323,"('unaffectionate', 'caring')",1.6863209,1.7355323,0.0492114
10,1.7672588,1.7248951,"('unsympathetic', 'sympathetic')",1.7672588,1.7248951,-0.0423637
11,3.1067617,3.182465,"('unhelpful', 'helpful')",3.1067617,3.1824651,0.0757034
12,-1.0299149,-1.0507171,"('unsupportive', 'supportive')",-1.0299149,-1.0507171,-0.0208022
13,0.86028534,0.72709835,"('impolite', 'polite')",0.8602853,0.7270983,-0.133187
14,0.68915105,0.50472105,"('antisocial', 'social')",0.689151,0.504721,-0.18443
15,0.16452678,0.09724324,"('boring', 'funny')",0.1645268,0.0972432,-0.0672836
16,-0.86373323,-0.8646937,"('unpopular', 'popular')",-0.8637332,-0.8646937,-0.0009605
17,-0.49025092,-0.4964892,"('nasty', 'nice')",-0.4902509,-0.4964892,-0.0062383
18,-0.50310004,-0.57467246,"('disagreeable', 'welcoming')",-0.5031,-0.5746725,-0.0715725
19,-1.1322356,-1.076087,"('inhospitable', 'hospitable')",-1.1322356,-1.076087,0.0561486
20,1.3832132,1.3318646,"('rough', 'thoughtful')",1.3832132,1.3318646,-0.0513486
21,0.38356194,0.31019545,"('immoral', 'moral')",0.3835619,0.3101954,-0.0733665
22,-0.048103098,-0.12228075,"('untrustworthy', 'trustworthy')",-0.0481031,-0.1222807,-0.0741776
23,7.1986203,7.2524767,"('insincere', 'sincere')",7.1986203,7.2524767,0.0538564
24,1.8959566,1.7922632,"('dishonest', 'honest')",1.8959566,1.7922632,-0.1036934
25,0.49834907,0.51748323,"('egoistic', 'altruistic')",0.4983491,0.5174832,0.0191341
26,0.98278224,0.9137961,"('hardhearted', 'benevolent')",0.9827822,0.9137961,-0.0689861
27,1.7911388,1.6835908,"('hardhearted', 'softhearted')",1.7911388,1.6835908,-0.107548
28,1.7639327,1.7855011,"('disloyal', 'loyal')",1.7639327,1.7855011,0.0215684
29,-0.8214533,-0.90904164,"('unfair', 'fair')",-0.8214533,-0.9090416,-0.0875883
30,1.7105211,1.5959822,"('intolerant', 'tolerant')",1.7105211,1.5959822,-0.1145389
31,-2.3253567,-2.2330794,"('evil', 'good')",-2.3253567,-2.2330794,0.0922773
32,1.3877037,1.3394008,"('unkind', 'kind')",1.3877037,1.3394008,-0.0483029
33,-0.259027,-0.3086715,"('wrong', 'right')",-0.259027,-0.3086715,-0.0496445
34,5.0259824,5.233466,"('mean', 'honorable')",5.0259824,5.2334661,0.2074837
35,-1.3255904,-1.3667908,"('corrupt', 'incorrupt')",-1.3255904,-1.3667908,-0.0412004
36,-1.1107773,-1.1077012,"('hostile', 'amicable')",-1.1107773,-1.1077012,0.0030761
37,0.88473654,0.8598705,"('fake', 'genuine')",0.8847365,0.8598705,-0.024866
38,0.6153525,0.6959712,"('untruthful', 'truthful')",0.6153525,0.6959712,0.0806187
39,0.90534663,0.8546763,"('exploitative', 'cooperative')",0.9053466,0.8546763,-0.0506703
40,-1.8861762,-1.9909626,"('stingy', 'generous')",-1.8861762,-1.9909626,-0.1047864
41,0.7411538,0.68421745,"('unforgiving', 'forgiving')",0.7411538,0.6842175,-0.0569363
42,-2.7527058,-2.8360672,"('unreliable', 'reliable')",-2.7527058,-2.8360672,-0.0833614
43,2.0089853,1.9943241,"('irresponsible', 'responsible')",2.0089853,1.9943241,-0.0146612
44,-1.4491565,-1.4210699,"('prejudiced', 'unprejudiced')",-1.4491565,-1.4210699,0.0280866
