,imprisonment_male,imprisonment_female,tuple,average_male,average_female,female-male
0,-0.1899747,-0.15087867,"('unsociable', 'sociable')",-0.1899747,-0.1508787,0.039096
1,1.711946,1.7048299,"('unfriendly', 'friendly')",1.711946,1.7048299,-0.0071161
2,0.5255369,0.7012292,"('unlikable', 'likable')",0.5255369,0.7012292,0.1756923
3,0.54907703,0.82870984,"('repellent', 'pleasant')",0.549077,0.8287098,0.2796328
4,-7.4302545,-7.2952857,"('disliked', 'liked')",-7.4302545,-7.2952857,0.1349688
5,0.4524762,0.50142664,"('distant', 'outgoing')",0.4524762,0.5014266,0.0489504
6,0.76849765,0.7645487,"('distant', 'open')",0.7684976,0.7645487,-0.0039489
7,1.105762,1.2236761,"('insensitive', 'sensitive')",1.105762,1.2236761,0.1179141
8,1.6098386,1.4269404,"('unaffectionate', 'affectionate')",1.6098386,1.4269404,-0.1828982
9,1.8781073,1.8047141,"('unaffectionate', 'caring')",1.8781073,1.8047141,-0.0733932
10,0.7634057,0.9278789,"('unsympathetic', 'sympathetic')",0.7634057,0.9278789,0.1644732
11,1.8505615,1.9411812,"('unhelpful', 'helpful')",1.8505615,1.9411812,0.0906197
12,-1.0720068,-0.9539773,"('unsupportive', 'supportive')",-1.0720068,-0.9539773,0.1180295
13,-0.033600233,0.06201621,"('impolite', 'polite')",-0.0336002,0.0620162,0.0956164
14,-0.15504533,-0.103502296,"('antisocial', 'social')",-0.1550453,-0.1035023,0.051543
15,0.45507476,0.41956905,"('boring', 'funny')",0.4550748,0.419569,-0.0355058
16,-0.41732138,-0.30510712,"('unpopular', 'popular')",-0.4173214,-0.3051071,0.1122143
17,-0.3036607,-0.26192456,"('nasty', 'nice')",-0.3036607,-0.2619246,0.0417361
18,-0.1788886,-0.106745094,"('disagreeable', 'welcoming')",-0.1788886,-0.1067451,0.0721435
19,-0.065420605,0.027928803,"('inhospitable', 'hospitable')",-0.0654206,0.0279288,0.0933494
20,0.5816703,0.5502511,"('rough', 'thoughtful')",0.5816703,0.5502511,-0.0314192
21,-0.21917701,0.07594161,"('immoral', 'moral')",-0.219177,0.0759416,0.2951186
22,-0.29014266,-0.20746686,"('untrustworthy', 'trustworthy')",-0.2901427,-0.2074669,0.0826758
23,6.8123407,6.8827176,"('insincere', 'sincere')",6.8123407,6.8827176,0.0703769
24,2.0511358,2.110003,"('dishonest', 'honest')",2.0511358,2.110003,0.0588672
25,0.5699327,0.46451342,"('egoistic', 'altruistic')",0.5699327,0.4645134,-0.1054193
26,0.4025929,0.26685795,"('hardhearted', 'benevolent')",0.4025929,0.266858,-0.1357349
27,1.5032729,1.3688639,"('hardhearted', 'softhearted')",1.5032729,1.3688639,-0.134409
28,1.2420826,1.2831143,"('disloyal', 'loyal')",1.2420826,1.2831143,0.0410317
29,-0.2978583,-0.31984088,"('unfair', 'fair')",-0.2978583,-0.3198409,-0.0219826
30,1.0114627,0.9804331,"('intolerant', 'tolerant')",1.0114627,0.9804331,-0.0310296
31,-0.8115212,-0.87726,"('evil', 'good')",-0.8115212,-0.87726,-0.0657388
