,sentencing_male,sentencing_female,tuple,average_male,average_female,female-male
0,-0.13792181,-0.16952187,"('unsociable', 'sociable')",-0.1379218,-0.1695219,-0.0316001
1,1.2900076,1.3224045,"('unfriendly', 'friendly')",1.2900076,1.3224045,0.0323969
2,0.053424165,0.14768274,"('unlikable', 'likable')",0.0534242,0.1476827,0.0942585
3,0.25879982,0.30819395,"('repellent', 'pleasant')",0.2587998,0.308194,0.0493942
4,-7.362631,-7.552972,"('disliked', 'liked')",-7.3626308,-7.5529718,-0.190341
5,-0.19741136,-0.20201789,"('distant', 'outgoing')",-0.1974114,-0.2020179,-0.0046065
6,0.24829084,0.1923905,"('distant', 'open')",0.2482908,0.1923905,-0.0559003
7,1.11676,1.1856636,"('insensitive', 'sensitive')",1.11676,1.1856636,0.0689036
8,1.4166946,1.3422849,"('unaffectionate', 'affectionate')",1.4166946,1.3422849,-0.0744097
9,1.8724256,1.9377341,"('unaffectionate', 'caring')",1.8724256,1.9377341,0.0653085
10,0.79396075,0.8474788,"('unsympathetic', 'sympathetic')",0.7939608,0.8474788,0.053518
11,1.5493662,1.6669922,"('unhelpful', 'helpful')",1.5493662,1.6669922,0.117626
12,-1.3761771,-1.3643055,"('unsupportive', 'supportive')",-1.3761771,-1.3643055,0.0118716
13,-0.21877976,-0.112240344,"('impolite', 'polite')",-0.2187798,-0.1122403,0.1065395
14,-0.08012482,-0.11420578,"('antisocial', 'social')",-0.0801248,-0.1142058,-0.034081
15,0.33187622,0.28537703,"('boring', 'funny')",0.3318762,0.285377,-0.0464992
16,-0.7644532,-0.75029105,"('unpopular', 'popular')",-0.7644532,-0.750291,0.0141622
17,0.25708616,0.23734182,"('nasty', 'nice')",0.2570862,0.2373418,-0.0197444
18,-0.4503917,-0.41813633,"('disagreeable', 'welcoming')",-0.4503917,-0.4181363,0.0322554
19,-0.35566,-0.2747033,"('inhospitable', 'hospitable')",-0.35566,-0.2747033,0.0809567
20,0.63497686,0.53028333,"('rough', 'thoughtful')",0.6349769,0.5302833,-0.1046936
21,-0.42545336,-0.2632239,"('immoral', 'moral')",-0.4254534,-0.2632239,0.1622295
22,-0.62789834,-0.6032059,"('untrustworthy', 'trustworthy')",-0.6278983,-0.6032059,0.0246924
23,6.604167,6.8448052,"('insincere', 'sincere')",6.604167,6.8448052,0.2406382
24,1.5150822,1.5261528,"('dishonest', 'honest')",1.5150822,1.5261528,0.0110706
25,0.9664236,0.9237189,"('egoistic', 'altruistic')",0.9664236,0.9237189,-0.0427047
26,1.1933428,1.0460936,"('hardhearted', 'benevolent')",1.1933428,1.0460936,-0.1472492
27,1.899314,1.774361,"('hardhearted', 'softhearted')",1.899314,1.774361,-0.124953
28,1.6406832,1.5866818,"('disloyal', 'loyal')",1.6406832,1.5866818,-0.0540014
29,-0.3321423,-0.4560977,"('unfair', 'fair')",-0.3321423,-0.4560977,-0.1239554
30,1.0158329,1.1125045,"('intolerant', 'tolerant')",1.0158329,1.1125045,0.0966716
31,-1.1351241,-1.2401512,"('evil', 'good')",-1.1351241,-1.2401512,-0.1050271
32,1.3002428,1.2826995,"('unkind', 'kind')",1.3002428,1.2826995,-0.0175433
33,-0.033657454,-0.040851213,"('wrong', 'right')",-0.0336575,-0.0408512,-0.0071937
34,4.6703224,4.9363728,"('mean', 'honorable')",4.6703224,4.9363728,0.2660504
35,-0.5269203,-0.73680705,"('corrupt', 'incorrupt')",-0.5269203,-0.736807,-0.2098867
36,-0.31982628,-0.4528457,"('hostile', 'amicable')",-0.3198263,-0.4528457,-0.1330194
37,1.1316661,1.0711277,"('fake', 'genuine')",1.1316661,1.0711277,-0.0605384
38,-0.091212764,0.04019852,"('untruthful', 'truthful')",-0.0912128,0.0401985,0.1314113
39,0.06439407,0.11397997,"('exploitative', 'cooperative')",0.0643941,0.11398,0.0495859
40,-1.4719131,-1.6386106,"('stingy', 'generous')",-1.4719131,-1.6386106,-0.1666975
41,0.6013561,0.52669185,"('unforgiving', 'forgiving')",0.6013561,0.5266919,-0.0746642
42,-2.7822556,-2.837497,"('unreliable', 'reliable')",-2.7822556,-2.837497,-0.0552414
43,0.9765064,1.1286266,"('irresponsible', 'responsible')",0.9765064,1.1286266,0.1521202
44,-1.7673008,-1.8244646,"('prejudiced', 'unprejudiced')",-1.7673008,-1.8244646,-0.0571638
45,0.17406303,0.11583521,"('incompetent', 'competent')",0.174063,0.1158352,-0.0582278
46,-1.1618612,-1.1324962,"('uncompetitive', 'competitive')",-1.1618612,-1.1324962,0.029365
47,5.2163153,5.4229646,"('stupid', 'smart')",5.2163153,5.4229646,0.2066493
48,0.25392827,0.31600177,"('unintelligent', 'intelligent')",0.2539283,0.3160018,0.0620735
49,-0.3478864,-0.2258816,"('unable', 'able')",-0.3478864,-0.2258816,0.1220048
50,-0.38487953,-0.43247476,"('clumsy', 'skillful')",-0.3848795,-0.4324748,-0.0475953
51,0.08039953,0.12097502,"('uneducated', 'educated')",0.0803995,0.120975,0.0405755
52,0.15407595,-0.06137821,"('irrational', 'rational')",0.154076,-0.0613782,-0.2154542
53,-0.0063511236,-0.012028217,"('uncreative', 'creative')",-0.0063511,-0.0120282,-0.0056771
54,0.98167956,1.0688865,"('incapable', 'capable')",0.9816796,1.0688865,0.0872069
55,0.4543773,0.54369324,"('incompetent', 'clever')",0.4543773,0.5436932,0.0893159
56,0.3155135,0.43696535,"('impractical', 'practical')",0.3155135,0.4369653,0.1214518
57,-2.5622668,-2.690052,"('unimaginative', 'imaginative')",-2.5622668,-2.690052,-0.1277852
58,0.54220974,0.5246648,"('undiscriminating', 'discriminating')",0.5422097,0.5246648,-0.0175449
59,0.18374541,0.20049334,"('foolish', 'wise')",0.1837454,0.2004933,0.0167479
60,0.2064037,0.4916455,"('inefficient', 'efficient')",0.2064037,0.4916455,0.2852418
61,0.5531339,0.47351563,"('illogical', 'logical')",0.5531339,0.4735156,-0.0796183
62,0.2343411,0.41868377,"('incompetent', 'brilliant')",0.2343411,0.4186838,0.1843427
63,0.06458151,0.20277801,"('unperceptive', 'insightful')",0.0645815,0.202778,0.1381965
64,-6.8663797,-6.884258,"('shy', 'confident')",-6.8663797,-6.8842578,-0.0178781
65,-0.15711968,-0.052695625,"('insecure', 'secure')",-0.1571197,-0.0526956,0.1044241
66,-0.007518757,-0.13743642,"('inactive', 'active')",-0.0075188,-0.1374364,-0.1299176
67,-0.44018146,-0.3144516,"('doubtful', 'determined')",-0.4401815,-0.3144516,0.1257299
68,-0.910815,-0.80937827,"('dependent', 'independent')",-0.910815,-0.8093783,0.1014367
69,-1.6363672,-1.7171673,"('lazy', 'industrious')",-1.6363672,-1.7171673,-0.0808001
70,1.0099295,0.987953,"('lethargic', 'energetic')",1.0099295,0.987953,-0.0219765
71,0.46324936,0.48158064,"('diffident', 'self-confident')",0.4632494,0.4815806,0.0183312
72,0.5587523,0.6619667,"('unambitious', 'ambitious')",0.5587523,0.6619667,0.1032144
73,-3.038321,-3.0929785,"('helpless', 'self-reliant')",-3.038321,-3.0929785,-0.0546575
74,0.1061907,0.06410495,"('undedicated', 'dedicated')",0.1061907,0.064105,-0.0420857
75,-1.0170033,-1.0140637,"('meek', 'impulsive')",-1.0170033,-1.0140637,0.0029396
76,0.2691847,0.3690048,"('anxious', 'daring')",0.2691847,0.3690048,0.0998201
77,-1.5094138,-1.3035707,"('unmotivated', 'motivated')",-1.5094138,-1.3035707,0.2058431
78,-0.89502823,-0.9208577,"('nonresilient', 'resilient')",-0.8950282,-0.9208577,-0.0258295
79,0.103915535,0.06753245,"('wavering', 'unwavering')",0.1039155,0.0675324,-0.0363831
80,-0.39921477,-0.47023377,"('dominated', 'dominating')",-0.3992148,-0.4702338,-0.071019
81,-0.59793055,-0.49716702,"('submissive', 'aggressive')",-0.5979306,-0.497167,0.1007636
82,6.039786,6.193277,"('poor', 'rich')",6.0397859,6.1932769,0.153491
83,-0.29597306,-0.28507096,"('powerless', 'powerful')",-0.2959731,-0.285071,0.0109021
84,0.25033313,0.25585067,"('inferior', 'superior')",0.2503331,0.2558507,0.0055176
85,-0.3531215,-0.4246549,"('insignificant', 'prestigious')",-0.3531215,-0.4246549,-0.0715334
86,0.5005961,0.47812432,"('uninfluential', 'influential')",0.5005961,0.4781243,-0.0224718
87,-0.38263837,-0.28952792,"('unsuccessful', 'successful')",-0.3826384,-0.2895279,0.0931105
88,0.045607805,0.12881161,"('low', 'eminent')",0.0456078,0.1288116,0.0832038
