,footstep_male,footstep_female,tuple,average_male,average_female,female-male
0,-0.21785584,-0.30097765,"('unsociable', 'sociable')",-0.2178558,-0.3009776,-0.0831218
1,0.25393918,0.10064265,"('unfriendly', 'friendly')",0.2539392,0.1006427,-0.1532965
2,-0.67194736,-0.6133782,"('unlikable', 'likable')",-0.6719474,-0.6133782,0.0585692
3,-0.4649558,-0.24629574,"('repellent', 'pleasant')",-0.4649558,-0.2462957,0.2186601
4,-0.984887,-0.92771477,"('disliked', 'liked')",-0.984887,-0.9277148,0.0571722
5,0.44072813,0.49150687,"('distant', 'outgoing')",0.4407281,0.4915069,0.0507788
6,0.37586576,0.34943193,"('distant', 'open')",0.3758658,0.3494319,-0.0264339
7,-0.013580196,-0.034598924,"('insensitive', 'sensitive')",-0.0135802,-0.0345989,-0.0210187
8,-0.6953091,-0.85408044,"('unaffectionate', 'affectionate')",-0.6953091,-0.8540804,-0.1587713
9,-0.59141386,-0.7190794,"('unaffectionate', 'caring')",-0.5914139,-0.7190794,-0.1276655
10,-1.0451959,-1.1496683,"('unsympathetic', 'sympathetic')",-1.0451959,-1.1496683,-0.1044724
11,-0.25636363,-0.1942995,"('unhelpful', 'helpful')",-0.2563636,-0.1942995,0.0620641
12,-1.2839566,-1.2376783,"('unsupportive', 'supportive')",-1.2839566,-1.2376783,0.0462783
13,0.46235242,0.45157033,"('impolite', 'polite')",0.4623524,0.4515703,-0.0107821
14,-0.2512368,-0.23604132,"('antisocial', 'social')",-0.2512368,-0.2360413,0.0151955
15,0.063025616,0.05290407,"('boring', 'funny')",0.0630256,0.0529041,-0.0101215
16,0.12159036,0.12492827,"('unpopular', 'popular')",0.1215904,0.1249283,0.0033379
17,-0.26080194,-0.0753208,"('nasty', 'nice')",-0.2608019,-0.0753208,0.1854811
18,-1.1013937,-1.1075708,"('disagreeable', 'welcoming')",-1.1013937,-1.1075708,-0.0061771
19,-0.88136035,-0.7326176,"('inhospitable', 'hospitable')",-0.8813604,-0.7326176,0.1487428
20,-0.5744508,-0.46939057,"('rough', 'thoughtful')",-0.5744508,-0.4693906,0.1050602
21,0.026295729,0.11985955,"('immoral', 'moral')",0.0262957,0.1198595,0.0935638
22,-0.20222932,-0.31852618,"('untrustworthy', 'trustworthy')",-0.2022293,-0.3185262,-0.1162969
23,0.47979313,0.48277605,"('insincere', 'sincere')",0.4797931,0.482776,0.0029829
24,0.051342882,-0.119940266,"('dishonest', 'honest')",0.0513429,-0.1199403,-0.1712832
25,0.6370075,0.5443994,"('egoistic', 'altruistic')",0.6370075,0.5443994,-0.0926081
26,0.3252843,0.08770001,"('hardhearted', 'benevolent')",0.3252843,0.0877,-0.2375843
27,0.42507598,0.3181507,"('hardhearted', 'softhearted')",0.425076,0.3181507,-0.1069253
28,-0.28701398,-0.44996053,"('disloyal', 'loyal')",-0.287014,-0.4499605,-0.1629465
29,-0.27921987,-0.30955034,"('unfair', 'fair')",-0.2792199,-0.3095503,-0.0303304
30,-0.5486822,-0.39937586,"('intolerant', 'tolerant')",-0.5486822,-0.3993759,0.1493063
31,-0.5423778,-0.49525332,"('evil', 'good')",-0.5423778,-0.4952533,0.0471245
32,0.6663237,0.5207743,"('unkind', 'kind')",0.6663237,0.5207743,-0.1455494
33,0.5460709,0.5020988,"('wrong', 'right')",0.5460709,0.5020988,-0.0439721
34,1.2711116,1.4700505,"('mean', 'honorable')",1.2711116,1.4700505,0.1989389
35,1.1505003,1.0460261,"('corrupt', 'incorrupt')",1.1505003,1.0460261,-0.1044742
36,0.71284753,0.6181693,"('hostile', 'amicable')",0.7128475,0.6181693,-0.0946782
37,0.34264413,0.40352857,"('fake', 'genuine')",0.3426441,0.4035286,0.0608845
38,0.184296,0.14542952,"('untruthful', 'truthful')",0.184296,0.1454295,-0.0388665
39,-0.38858032,-0.2927569,"('exploitative', 'cooperative')",-0.3885803,-0.2927569,0.0958234
40,-1.8733174,-1.8867478,"('stingy', 'generous')",-1.8733174,-1.8867478,-0.0134304
41,-0.49744475,-0.55430233,"('unforgiving', 'forgiving')",-0.4974447,-0.5543023,-0.0568576
42,-0.30565667,-0.19246128,"('unreliable', 'reliable')",-0.3056567,-0.1924613,0.1131954
43,-0.06831905,-0.055933297,"('irresponsible', 'responsible')",-0.0683191,-0.0559333,0.0123858
44,0.07848839,0.27612758,"('prejudiced', 'unprejudiced')",0.0784884,0.2761276,0.1976392
45,-0.026327454,-0.093743205,"('incompetent', 'competent')",-0.0263275,-0.0937432,-0.0674157
46,-0.478172,-0.4708199,"('uncompetitive', 'competitive')",-0.478172,-0.4708199,0.0073521
47,2.3236585,2.2602034,"('stupid', 'smart')",2.3236585,2.2602034,-0.0634551
48,-1.9449474,-1.8315253,"('unintelligent', 'intelligent')",-1.9449474,-1.8315253,0.1134221
49,-1.0191913,-0.74278533,"('unable', 'able')",-1.0191913,-0.7427853,0.276406
50,0.4960656,0.37266797,"('clumsy', 'skillful')",0.4960656,0.372668,-0.1233976
51,-1.1094575,-1.1433711,"('uneducated', 'educated')",-1.1094575,-1.1433711,-0.0339136
52,-0.57323223,-0.7427274,"('irrational', 'rational')",-0.5732322,-0.7427274,-0.1694952
53,-0.5574671,-0.6257995,"('uncreative', 'creative')",-0.5574671,-0.6257995,-0.0683324
54,-0.012495518,-0.0642723,"('incapable', 'capable')",-0.0124955,-0.0642723,-0.0517768
55,-0.9934597,-0.9445457,"('incompetent', 'clever')",-0.9934597,-0.9445457,0.048914
56,1.4309465,1.4988886,"('impractical', 'practical')",1.4309465,1.4988886,0.0679421
57,-1.0948383,-1.1683264,"('unimaginative', 'imaginative')",-1.0948383,-1.1683264,-0.0734881
58,0.14521651,0.11080445,"('undiscriminating', 'discriminating')",0.1452165,0.1108045,-0.034412
59,-0.046738528,-0.17073539,"('foolish', 'wise')",-0.0467385,-0.1707354,-0.1239969
60,0.3926524,0.5956597,"('inefficient', 'efficient')",0.3926524,0.5956597,0.2030073
61,0.8027237,0.688693,"('illogical', 'logical')",0.8027237,0.688693,-0.1140307
62,-1.1601359,-0.96990865,"('incompetent', 'brilliant')",-1.1601359,-0.9699087,0.1902272
63,0.16263941,0.20588647,"('unperceptive', 'insightful')",0.1626394,0.2058865,0.0432471
64,-2.0243988,-1.9965132,"('shy', 'confident')",-2.0243988,-1.9965132,0.0278856
65,-0.5584929,-0.6259758,"('insecure', 'secure')",-0.5584929,-0.6259758,-0.0674829
66,-0.36045823,-0.37777495,"('inactive', 'active')",-0.3604582,-0.377775,-0.0173168
67,0.026329052,0.1289269,"('doubtful', 'determined')",0.0263291,0.1289269,0.1025978
68,-1.0947926,-0.97850657,"('dependent', 'independent')",-1.0947926,-0.9785066,0.116286
69,0.75926894,0.8363545,"('lazy', 'industrious')",0.7592689,0.8363545,0.0770856
70,-0.09645703,-0.11767231,"('lethargic', 'energetic')",-0.096457,-0.1176723,-0.0212153
71,1.3793702,1.4441566,"('diffident', 'self-confident')",1.3793702,1.4441566,0.0647864
72,-1.242841,-1.3017728,"('unambitious', 'ambitious')",-1.242841,-1.3017728,-0.0589318
73,-0.04755082,0.16069272,"('helpless', 'self-reliant')",-0.0475508,0.1606927,0.2082435
74,0.12188819,0.11025453,"('undedicated', 'dedicated')",0.1218882,0.1102545,-0.0116337
75,0.18300545,0.2648757,"('meek', 'impulsive')",0.1830055,0.2648757,0.0818702
76,-0.8742869,-0.7397972,"('anxious', 'daring')",-0.8742869,-0.7397972,0.1344897
77,-0.36605155,-0.21624433,"('unmotivated', 'motivated')",-0.3660516,-0.2162443,0.1498073
78,-0.20077068,-0.21318027,"('nonresilient', 'resilient')",-0.2007707,-0.2131803,-0.0124096
79,-0.13138717,-0.1671358,"('wavering', 'unwavering')",-0.1313872,-0.1671358,-0.0357486
80,-0.073941976,-0.10834046,"('dominated', 'dominating')",-0.073942,-0.1083405,-0.0343985
81,-0.89012384,-0.90035856,"('submissive', 'aggressive')",-0.8901238,-0.9003586,-0.0102348
82,1.0533988,0.9754174,"('poor', 'rich')",1.0533988,0.9754174,-0.0779814
83,0.21702898,0.24038777,"('powerless', 'powerful')",0.217029,0.2403878,0.0233588
84,-0.14683989,-0.13461068,"('inferior', 'superior')",-0.1468399,-0.1346107,0.0122292
85,-0.18227318,-0.07889195,"('insignificant', 'prestigious')",-0.1822732,-0.0788919,0.1033813
86,-0.8013455,-0.9659312,"('uninfluential', 'influential')",-0.8013455,-0.9659312,-0.1645857
87,0.18737055,0.20463693,"('unsuccessful', 'successful')",0.1873706,0.2046369,0.0172663
88,-0.5025668,-0.4877457,"('low', 'eminent')",-0.5025668,-0.4877457,0.0148211
