,general_male,general_female,tuple,electric_male,electric_female,co_male,co_female,average_male,average_female,female-male
0,-1.1207333,-1.1329588,"('unsociable', 'sociable')",-1.4421241,-1.5008532,-0.124678716,-0.29948857,-0.8958453,-0.9777668,-0.0819215
1,-0.15209466,-0.24729845,"('unfriendly', 'friendly')",0.7294538,0.5838805,1.6960047,1.6420873,0.7577879,0.6595565,-0.0982314
2,0.52398837,0.5423042,"('unlikable', 'likable')",0.6798424,0.7140547,0.84111196,0.9569631,0.6816475,0.737774,0.0561265
3,-0.93464065,-0.8130828,"('repellent', 'pleasant')",-1.3456292,-1.2898127,0.7438296,0.8206089,-0.5121468,-0.4274289,0.0847179
4,-0.7045734,-0.7980578,"('disliked', 'liked')",0.8610948,0.69421995,-7.0377398,-7.1702085,-2.2937395,-2.4246821,-0.1309426
5,-0.5467616,-0.5526001,"('distant', 'outgoing')",0.63939124,0.54974693,-0.73271424,-0.60837275,-0.2133615,-0.203742,0.0096195
6,-0.66335475,-0.6235484,"('distant', 'open')",0.73991704,0.67911947,-0.321581,-0.17860536,-0.0816729,-0.0410114,0.0406615
7,-0.04427759,-0.021229036,"('insensitive', 'sensitive')",-0.8571125,-0.7577194,0.28324646,0.29607192,-0.2060479,-0.1609588,0.0450891
8,-0.3412502,-0.30315545,"('unaffectionate', 'affectionate')",0.4181227,0.3298626,0.49959868,0.49039698,0.1921571,0.172368,-0.0197891
9,0.21310987,0.18351787,"('unaffectionate', 'caring')",0.08112354,0.008773342,0.8823559,0.8772378,0.3921965,0.3565097,-0.0356868
10,-0.94082844,-0.87118757,"('unsympathetic', 'sympathetic')",-2.2736754,-2.2970183,-0.14198124,-0.19641899,-1.1188283,-1.1215416,-0.0027133
11,0.017377302,0.06375577,"('unhelpful', 'helpful')",-0.84756786,-0.84136176,1.8665563,1.8746217,0.3454552,0.3656719,0.0202167
12,0.31703973,0.47999376,"('unsupportive', 'supportive')",-0.27934334,-0.22439837,-2.1060529,-2.1165962,-0.6894522,-0.6203336,0.0691186
13,0.033683985,0.051329218,"('impolite', 'polite')",-1.037434,-0.8998414,-0.34705204,-0.3757764,-0.4502673,-0.4080962,0.0421711
14,0.24302746,0.19801892,"('antisocial', 'social')",-0.13941589,-0.23531859,0.27849063,0.09392756,0.1273674,0.018876,-0.1084914
15,0.033543445,-0.18664157,"('boring', 'funny')",0.7812677,0.6258028,0.260974,0.15910482,0.3585951,0.199422,-0.1591731
16,-0.32083732,-0.4460778,"('unpopular', 'popular')",0.086766005,0.045053706,0.36200058,0.26956296,0.0426431,-0.0438204,-0.0864635
17,-0.641903,-0.5811289,"('nasty', 'nice')",-0.8155551,-0.7131477,-0.27427503,-0.24246551,-0.5772444,-0.5122474,0.064997
