,alphabet_male,alphabet_female,tuple,average_male,average_female,female-male
0,-0.39777726,-0.4597491,"('unsociable', 'sociable')",-0.3977773,-0.4597491,-0.0619718
1,1.7734412,1.7171625,"('unfriendly', 'friendly')",1.7734412,1.7171625,-0.0562787
2,0.14758143,0.3585161,"('unlikable', 'likable')",0.1475814,0.3585161,0.2109347
3,0.5198583,0.6933902,"('repellent', 'pleasant')",0.5198583,0.6933902,0.1735319
4,-8.108588,-7.96141,"('disliked', 'liked')",-8.1085882,-7.96141,0.1471782
5,-0.28119802,-0.01043925,"('distant', 'outgoing')",-0.281198,-0.0104392,0.2707588
6,0.20638068,0.43198386,"('distant', 'open')",0.2063807,0.4319839,0.2256032
7,0.3511455,0.54827845,"('insensitive', 'sensitive')",0.3511455,0.5482785,0.197133
8,1.5393932,1.489142,"('unaffectionate', 'affectionate')",1.5393932,1.4891419,-0.0502513
9,1.951146,2.0640047,"('unaffectionate', 'caring')",1.951146,2.0640047,0.1128587
10,0.82886624,1.049485,"('unsympathetic', 'sympathetic')",0.8288662,1.049485,0.2206188
11,1.8500166,1.9274147,"('unhelpful', 'helpful')",1.8500166,1.9274147,0.0773981
12,-1.7526809,-1.670242,"('unsupportive', 'supportive')",-1.7526809,-1.670242,0.0824389
13,-0.13003972,-0.12869087,"('impolite', 'polite')",-0.1300397,-0.1286909,0.0013488
14,-1.0022775,-1.0070847,"('antisocial', 'social')",-1.0022775,-1.0070847,-0.0048072
15,0.3330984,0.3438273,"('boring', 'funny')",0.3330984,0.3438273,0.0107289
16,-0.3401928,-0.20169115,"('unpopular', 'popular')",-0.3401928,-0.2016912,0.1385016
17,-0.2783856,-0.2853734,"('nasty', 'nice')",-0.2783856,-0.2853734,-0.0069878
18,-0.64092475,-0.79072434,"('disagreeable', 'welcoming')",-0.6409248,-0.7907243,-0.1497995
19,-0.28496015,-0.044499207,"('inhospitable', 'hospitable')",-0.2849602,-0.0444992,0.240461
20,1.0757631,0.82625264,"('rough', 'thoughtful')",1.0757631,0.8262526,-0.2495105
21,-0.44459268,-0.1727543,"('immoral', 'moral')",-0.4445927,-0.1727543,0.2718384
22,-1.2199671,-1.0245798,"('untrustworthy', 'trustworthy')",-1.2199671,-1.0245798,0.1953873
23,6.6049266,6.681309,"('insincere', 'sincere')",6.6049266,6.6813092,0.0763826
24,1.6247368,1.7004976,"('dishonest', 'honest')",1.6247368,1.7004976,0.0757608
25,0.9128423,0.66478753,"('egoistic', 'altruistic')",0.9128423,0.6647875,-0.2480548
26,0.623061,0.3431361,"('hardhearted', 'benevolent')",0.623061,0.3431361,-0.2799249
27,1.7260753,1.6028544,"('hardhearted', 'softhearted')",1.7260753,1.6028544,-0.1232209
28,1.2944509,1.207335,"('disloyal', 'loyal')",1.2944509,1.207335,-0.0871159
29,-0.8932458,-0.8882432,"('unfair', 'fair')",-0.8932458,-0.8882432,0.0050026
30,0.71522796,0.71528316,"('intolerant', 'tolerant')",0.715228,0.7152832,5.52e-05
31,-1.0706027,-1.0409498,"('evil', 'good')",-1.0706027,-1.0409498,0.0296529
32,1.2419562,1.2040901,"('unkind', 'kind')",1.2419562,1.2040901,-0.0378661
33,-0.23677796,-0.28245765,"('wrong', 'right')",-0.236778,-0.2824576,-0.0456796
34,4.774786,5.045347,"('mean', 'honorable')",4.774786,5.0453472,0.2705612
35,-0.6747113,-0.8172137,"('corrupt', 'incorrupt')",-0.6747113,-0.8172137,-0.1425024
36,-0.5753998,-0.6534423,"('hostile', 'amicable')",-0.5753998,-0.6534423,-0.0780425
37,0.9607353,1.0583599,"('fake', 'genuine')",0.9607353,1.0583599,0.0976246
38,0.15487191,0.17704362,"('untruthful', 'truthful')",0.1548719,0.1770436,0.0221717
39,0.025369788,-0.081242666,"('exploitative', 'cooperative')",0.0253698,-0.0812427,-0.1066125
40,-1.9933989,-2.1853504,"('stingy', 'generous')",-1.9933989,-2.1853504,-0.1919515
41,-0.10663174,-0.109985426,"('unforgiving', 'forgiving')",-0.1066317,-0.1099854,-0.0033537
42,-2.8850982,-2.6648474,"('unreliable', 'reliable')",-2.8850982,-2.6648474,0.2202508
43,0.8539638,0.98961765,"('irresponsible', 'responsible')",0.8539638,0.9896176,0.1356538
44,-1.7296267,-1.7176899,"('prejudiced', 'unprejudiced')",-1.7296267,-1.7176899,0.0119368
45,-0.25746772,0.008887034,"('incompetent', 'competent')",-0.2574677,0.008887,0.2663547
