,friction_male,friction_female,tuple,average_male,average_female,female-male
0,0.10761032,0.0028252136,"('unsociable', 'sociable')",0.1076103,0.0028252,-0.1047851
1,1.389318,1.2902149,"('unfriendly', 'friendly')",1.389318,1.2902149,-0.0991031
2,0.0034919996,0.009265446,"('unlikable', 'likable')",0.003492,0.0092654,0.0057734
3,0.39416608,0.7192145,"('repellent', 'pleasant')",0.3941661,0.7192145,0.3250484
4,-7.4228096,-7.68962,"('disliked', 'liked')",-7.4228096,-7.68962,-0.2668104
5,-0.6176662,-0.60055804,"('distant', 'outgoing')",-0.6176662,-0.600558,0.0171082
6,-0.049534537,-0.1435574,"('distant', 'open')",-0.0495345,-0.1435574,-0.0940229
7,1.2585754,1.4525124,"('insensitive', 'sensitive')",1.2585754,1.4525124,0.193937
8,1.5682856,1.525682,"('unaffectionate', 'affectionate')",1.5682856,1.525682,-0.0426036
9,1.7861028,1.8176951,"('unaffectionate', 'caring')",1.7861028,1.8176951,0.0315923
10,0.953672,1.1302503,"('unsympathetic', 'sympathetic')",0.953672,1.1302503,0.1765783
11,1.6063658,1.7347269,"('unhelpful', 'helpful')",1.6063658,1.7347269,0.1283611
12,-1.383062,-1.4022243,"('unsupportive', 'supportive')",-1.383062,-1.4022243,-0.0191623
13,-0.3351962,-0.08384307,"('impolite', 'polite')",-0.3351962,-0.0838431,0.2513531
14,0.20985985,0.196451,"('antisocial', 'social')",0.2098598,0.196451,-0.0134088
15,0.52972776,0.39042208,"('boring', 'funny')",0.5297278,0.3904221,-0.1393057
16,-1.0727916,-1.0639117,"('unpopular', 'popular')",-1.0727916,-1.0639117,0.0088799
17,-0.1523917,-0.13549878,"('nasty', 'nice')",-0.1523917,-0.1354988,0.0168929
18,-1.0071455,-0.7914208,"('disagreeable', 'welcoming')",-1.0071455,-0.7914208,0.2157247
19,-0.5875789,-0.59975827,"('inhospitable', 'hospitable')",-0.5875789,-0.5997583,-0.0121794
20,0.49645048,0.47318023,"('rough', 'thoughtful')",0.4964505,0.4731802,-0.0232703
21,-0.56221277,-0.29811925,"('immoral', 'moral')",-0.5622128,-0.2981192,0.2640936
22,-0.41034675,-0.51132774,"('untrustworthy', 'trustworthy')",-0.4103467,-0.5113277,-0.100981
23,5.999413,6.3680964,"('insincere', 'sincere')",5.999413,6.3680964,0.3686834
24,1.4549423,1.496965,"('dishonest', 'honest')",1.4549423,1.4969651,0.0420228
25,0.9302147,0.8667318,"('egoistic', 'altruistic')",0.9302147,0.8667318,-0.0634829
26,1.6422825,1.293075,"('hardhearted', 'benevolent')",1.6422825,1.293075,-0.3492075
27,1.5712374,1.5616273,"('hardhearted', 'softhearted')",1.5712374,1.5616273,-0.0096101
28,1.4196157,1.3299352,"('disloyal', 'loyal')",1.4196157,1.3299352,-0.0896805
29,-0.8403366,-0.9413818,"('unfair', 'fair')",-0.8403366,-0.9413818,-0.1010452
30,0.7828602,0.983466,"('intolerant', 'tolerant')",0.7828602,0.983466,0.2006058
31,-1.312634,-1.4081608,"('evil', 'good')",-1.312634,-1.4081608,-0.0955268
32,1.0108534,0.94413614,"('unkind', 'kind')",1.0108534,0.9441361,-0.0667173
33,-0.22590244,-0.38091025,"('wrong', 'right')",-0.2259024,-0.3809102,-0.1550078
34,4.1317515,4.520733,"('mean', 'honorable')",4.1317515,4.5207329,0.3889814
35,-0.49674967,-0.9364338,"('corrupt', 'incorrupt')",-0.4967497,-0.9364338,-0.4396841
36,-0.1708727,-0.55236495,"('hostile', 'amicable')",-0.1708727,-0.5523649,-0.3814922
37,0.78162384,0.8776071,"('fake', 'genuine')",0.7816238,0.8776071,0.0959833
38,-0.25204185,-0.16502184,"('untruthful', 'truthful')",-0.2520418,-0.1650218,0.08702
39,0.240899,0.32549655,"('exploitative', 'cooperative')",0.240899,0.3254966,0.0845976
40,-1.6302723,-1.5933815,"('stingy', 'generous')",-1.6302723,-1.5933815,0.0368908
41,0.3732738,0.30743372,"('unforgiving', 'forgiving')",0.3732738,0.3074337,-0.0658401
42,-2.919599,-2.8452678,"('unreliable', 'reliable')",-2.9195991,-2.8452678,0.0743313
43,0.74221975,0.9372003,"('irresponsible', 'responsible')",0.7422197,0.9372003,0.1949806
44,-1.8762271,-1.7989624,"('prejudiced', 'unprejudiced')",-1.8762271,-1.7989624,0.0772647
45,0.37224898,0.24321485,"('incompetent', 'competent')",0.372249,0.2432148,-0.1290342
46,-0.57003725,-0.63724595,"('uncompetitive', 'competitive')",-0.5700372,-0.637246,-0.0672088
47,5.0181775,5.1076703,"('stupid', 'smart')",5.0181775,5.1076703,0.0894928
48,0.30818412,0.5279426,"('unintelligent', 'intelligent')",0.3081841,0.5279426,0.2197585
49,-0.46056324,-0.21551809,"('unable', 'able')",-0.4605632,-0.2155181,0.2450451
50,-0.47831666,-0.5043036,"('clumsy', 'skillful')",-0.4783167,-0.5043036,-0.0259869
51,0.1715734,0.34610596,"('uneducated', 'educated')",0.1715734,0.346106,0.1745326
52,-0.016017236,-0.363586,"('irrational', 'rational')",-0.0160172,-0.363586,-0.3475688
53,0.073555745,-0.058712177,"('uncreative', 'creative')",0.0735557,-0.0587122,-0.1322679
54,0.77832144,0.89436907,"('incapable', 'capable')",0.7783214,0.8943691,0.1160477
55,0.40463454,0.6378914,"('incompetent', 'clever')",0.4046345,0.6378914,0.2332569
