,manipulation_male,manipulation_female,tuple,average_male,average_female,female-male
0,-0.10179454,-0.26958436,"('unsociable', 'sociable')",-0.1017945,-0.2695844,-0.1677899
1,0.9482242,0.8675336,"('unfriendly', 'friendly')",0.9482242,0.8675336,-0.0806906
2,0.06592335,0.07645151,"('unlikable', 'likable')",0.0659233,0.0764515,0.0105282
3,0.62062955,0.6194251,"('repellent', 'pleasant')",0.6206295,0.6194251,-0.0012044
4,-7.9535093,-7.9735436,"('disliked', 'liked')",-7.9535093,-7.9735436,-0.0200343
5,-1.3793188,-1.355498,"('distant', 'outgoing')",-1.3793188,-1.355498,0.0238208
6,-0.7900959,-0.770379,"('distant', 'open')",-0.7900959,-0.770379,0.0197169
7,0.4269387,0.41496167,"('insensitive', 'sensitive')",0.4269387,0.4149617,-0.011977
8,1.3351786,1.251584,"('unaffectionate', 'affectionate')",1.3351786,1.2515841,-0.0835945
9,1.9152722,1.858491,"('unaffectionate', 'caring')",1.9152722,1.8584909,-0.0567813
10,1.093984,1.0208222,"('unsympathetic', 'sympathetic')",1.093984,1.0208222,-0.0731618
11,1.723576,1.7407151,"('unhelpful', 'helpful')",1.7235759,1.7407151,0.0171392
12,-1.7558573,-1.786723,"('unsupportive', 'supportive')",-1.7558573,-1.786723,-0.0308657
13,-0.31794962,-0.4480756,"('impolite', 'polite')",-0.3179496,-0.4480756,-0.130126
14,0.08807588,-0.0195918,"('antisocial', 'social')",0.0880759,-0.0195918,-0.1076677
15,-0.18376137,-0.2585469,"('boring', 'funny')",-0.1837614,-0.2585469,-0.0747855
16,-1.0047895,-0.9101202,"('unpopular', 'popular')",-1.0047895,-0.9101202,0.0946693
17,-1.2570226,-1.1771137,"('nasty', 'nice')",-1.2570226,-1.1771137,0.0799089
18,-0.6812235,-0.8080024,"('disagreeable', 'welcoming')",-0.6812235,-0.8080024,-0.1267789
19,-1.1498821,-1.1123171,"('inhospitable', 'hospitable')",-1.1498821,-1.1123171,0.037565
