,photographer_male,photographer_female,tuple,average_male,average_female,female-male
0,0.07475463,0.10650982,"('unsociable', 'sociable')",0.0747546,0.1065098,0.0317552
1,1.4608481,1.1269183,"('unfriendly', 'friendly')",1.4608481,1.1269183,-0.3339298
2,0.43553883,0.49599737,"('unlikable', 'likable')",0.4355388,0.4959974,0.0604586
3,0.07192332,0.33270392,"('repellent', 'pleasant')",0.0719233,0.3327039,0.2607806
4,-7.3163195,-7.5233793,"('disliked', 'liked')",-7.3163195,-7.5233793,-0.2070598
5,-0.41375268,-0.65874225,"('distant', 'outgoing')",-0.4137527,-0.6587422,-0.2449895
6,-0.09098244,-0.37408093,"('distant', 'open')",-0.0909824,-0.3740809,-0.2830985
7,1.1499468,1.2573745,"('insensitive', 'sensitive')",1.1499468,1.2573745,0.1074277
8,1.2205036,0.886589,"('unaffectionate', 'affectionate')",1.2205036,0.886589,-0.3339146
9,2.0575264,1.8762455,"('unaffectionate', 'caring')",2.0575264,1.8762455,-0.1812809
10,0.85071033,1.0353413,"('unsympathetic', 'sympathetic')",0.8507103,1.0353413,0.184631
11,1.9216917,2.0822887,"('unhelpful', 'helpful')",1.9216917,2.0822887,0.160597
12,-1.2767879,-1.2716409,"('unsupportive', 'supportive')",-1.2767879,-1.2716409,0.005147
13,-0.04759073,0.060178556,"('impolite', 'polite')",-0.0475907,0.0601786,0.1077693
14,-0.3064965,-0.11224061,"('antisocial', 'social')",-0.3064965,-0.1122406,0.1942559
15,0.3896966,0.19516562,"('boring', 'funny')",0.3896966,0.1951656,-0.194531
16,-0.0020385832,-0.095326036,"('unpopular', 'popular')",-0.0020386,-0.095326,-0.0932874
17,-0.48766467,-0.5331604,"('nasty', 'nice')",-0.4876647,-0.5331604,-0.0454957
18,-0.5235844,-0.5902496,"('disagreeable', 'welcoming')",-0.5235844,-0.5902496,-0.0666652
19,-0.67082644,-0.77503544,"('inhospitable', 'hospitable')",-0.6708264,-0.7750354,-0.104209
20,0.8532695,0.92112345,"('rough', 'thoughtful')",0.8532695,0.9211234,0.0678539
21,-0.36891145,0.003769625,"('immoral', 'moral')",-0.3689114,0.0037696,0.372681
22,-0.49449587,-0.43361014,"('untrustworthy', 'trustworthy')",-0.4944959,-0.4336101,0.0608858
23,6.497654,6.597003,"('insincere', 'sincere')",6.497654,6.597003,0.099349
24,1.5336615,1.4982052,"('dishonest', 'honest')",1.5336615,1.4982052,-0.0354563
25,0.4181832,0.18465525,"('egoistic', 'altruistic')",0.4181832,0.1846552,-0.233528
26,1.1510007,0.9500203,"('hardhearted', 'benevolent')",1.1510007,0.9500203,-0.2009804
27,1.2263185,0.9964269,"('hardhearted', 'softhearted')",1.2263185,0.9964269,-0.2298916
28,1.478215,1.37293,"('disloyal', 'loyal')",1.478215,1.37293,-0.105285
29,-0.5879363,-0.7454447,"('unfair', 'fair')",-0.5879363,-0.7454447,-0.1575084
30,0.9268174,1.1042322,"('intolerant', 'tolerant')",0.9268174,1.1042322,0.1774148
31,-1.4678705,-1.7553415,"('evil', 'good')",-1.4678705,-1.7553415,-0.287471
32,1.6385419,1.590468,"('unkind', 'kind')",1.6385419,1.590468,-0.0480739
33,-0.30663443,-0.4896264,"('wrong', 'right')",-0.3066344,-0.4896264,-0.182992
34,4.475805,4.5953503,"('mean', 'honorable')",4.4758048,4.5953503,0.1195455
35,-0.8922687,-1.2660446,"('corrupt', 'incorrupt')",-0.8922687,-1.2660446,-0.3737759
36,-0.92928904,-1.3126298,"('hostile', 'amicable')",-0.929289,-1.3126298,-0.3833408
37,0.3392189,0.33249888,"('fake', 'genuine')",0.3392189,0.3324989,-0.00672
38,0.39747226,0.31746235,"('untruthful', 'truthful')",0.3974723,0.3174624,-0.0800099
39,-0.24354193,-0.1468098,"('exploitative', 'cooperative')",-0.2435419,-0.1468098,0.0967321
40,-1.822665,-1.9920259,"('stingy', 'generous')",-1.822665,-1.9920259,-0.1693609
41,0.13801123,0.0992494,"('unforgiving', 'forgiving')",0.1380112,0.0992494,-0.0387618
42,-2.2835824,-2.1463308,"('unreliable', 'reliable')",-2.2835824,-2.1463308,0.1372516
43,1.7876989,1.9127954,"('irresponsible', 'responsible')",1.7876989,1.9127954,0.1250965
44,-1.2388943,-1.188692,"('prejudiced', 'unprejudiced')",-1.2388943,-1.188692,0.0502023
45,0.28889897,0.3525204,"('incompetent', 'competent')",0.288899,0.3525204,0.0636214
46,-0.8969029,-0.6773083,"('uncompetitive', 'competitive')",-0.8969029,-0.6773083,0.2195946
47,5.1831083,5.3546405,"('stupid', 'smart')",5.1831083,5.3546405,0.1715322
48,0.46173373,0.58186245,"('unintelligent', 'intelligent')",0.4617337,0.5818624,0.1201287
49,-0.39094794,-0.2025083,"('unable', 'able')",-0.3909479,-0.2025083,0.1884396
50,-0.0057447366,-0.10779797,"('clumsy', 'skillful')",-0.0057447,-0.107798,-0.1020533
51,0.014133118,0.18337229,"('uneducated', 'educated')",0.0141331,0.1833723,0.1692392
52,-0.60241216,-1.007964,"('irrational', 'rational')",-0.6024122,-1.007964,-0.4055518
53,0.6844486,0.53062093,"('uncreative', 'creative')",0.6844486,0.5306209,-0.1538277
54,1.1414614,1.1570343,"('incapable', 'capable')",1.1414614,1.1570343,0.0155729
55,0.5315114,0.8230323,"('incompetent', 'clever')",0.5315114,0.8230323,0.2915209
56,0.864972,1.0904758,"('impractical', 'practical')",0.864972,1.0904758,0.2255038
57,-2.4910398,-2.3995624,"('unimaginative', 'imaginative')",-2.4910398,-2.3995624,0.0914774
58,0.08950327,0.09176269,"('undiscriminating', 'discriminating')",0.0895033,0.0917627,0.0022594
59,0.07693324,-0.079272136,"('foolish', 'wise')",0.0769332,-0.0792721,-0.1562053
60,0.83975995,1.256229,"('inefficient', 'efficient')",0.8397599,1.256229,0.4164691
61,0.039656904,-0.08622323,"('illogical', 'logical')",0.0396569,-0.0862232,-0.1258801
62,0.54310983,0.88191164,"('incompetent', 'brilliant')",0.5431098,0.8819116,0.3388018
63,0.083959654,0.25170723,"('unperceptive', 'insightful')",0.0839597,0.2517072,0.1677475
64,-6.3298745,-6.0898166,"('shy', 'confident')",-6.3298745,-6.0898166,0.2400579
65,-0.021873496,0.20563442,"('insecure', 'secure')",-0.0218735,0.2056344,0.2275079
66,-0.32119358,-0.47838652,"('inactive', 'active')",-0.3211936,-0.4783865,-0.1571929
67,-0.44082007,-0.3212948,"('doubtful', 'determined')",-0.4408201,-0.3212948,0.1195253
68,-0.7556128,-0.6597885,"('dependent', 'independent')",-0.7556128,-0.6597885,0.0958243
69,-1.7123092,-1.9518459,"('lazy', 'industrious')",-1.7123092,-1.9518459,-0.2395367
70,1.0436258,1.2305954,"('lethargic', 'energetic')",1.0436258,1.2305954,0.1869696
71,1.1907954,1.1162173,"('diffident', 'self-confident')",1.1907954,1.1162173,-0.0745781
72,0.7061708,0.91256875,"('unambitious', 'ambitious')",0.7061708,0.9125687,0.2063979
73,-2.8860064,-2.7514787,"('helpless', 'self-reliant')",-2.8860064,-2.7514787,0.1345277
74,0.3455172,0.38736668,"('undedicated', 'dedicated')",0.3455172,0.3873667,0.0418495
75,-0.51748127,-0.49473566,"('meek', 'impulsive')",-0.5174813,-0.4947357,0.0227456
76,0.17865527,0.39422074,"('anxious', 'daring')",0.1786553,0.3942207,0.2155654
77,-1.1022407,-0.7808328,"('unmotivated', 'motivated')",-1.1022407,-0.7808328,0.3214079
78,-0.58662933,-0.5896429,"('nonresilient', 'resilient')",-0.5866293,-0.5896429,-0.0030136
79,-0.15949726,-0.34536797,"('wavering', 'unwavering')",-0.1594973,-0.345368,-0.1858707
80,-0.49162018,-0.3102012,"('dominated', 'dominating')",-0.4916202,-0.3102012,0.181419
81,-0.47829583,-0.09592656,"('submissive', 'aggressive')",-0.4782958,-0.0959266,0.3823692
82,6.1331177,6.2389927,"('poor', 'rich')",6.1331177,6.2389927,0.105875
83,-0.14514488,-0.017700419,"('powerless', 'powerful')",-0.1451449,-0.0177004,0.1274445
84,0.27154714,0.1693304,"('inferior', 'superior')",0.2715471,0.1693304,-0.1022167
85,-0.43872502,-0.8302978,"('insignificant', 'prestigious')",-0.438725,-0.8302978,-0.3915728
86,0.7276381,0.8117026,"('uninfluential', 'influential')",0.7276381,0.8117026,0.0840645
87,-0.4015522,-0.19176604,"('unsuccessful', 'successful')",-0.4015522,-0.191766,0.2097862
88,0.2063601,0.28023386,"('low', 'eminent')",0.2063601,0.2802339,0.0738738
