,blackfish_male,blackfish_female,tuple,average_male,average_female,female-male
0,0.33213115,0.31996685,"('unsociable', 'sociable')",0.3321311,0.3199669,-0.0121642
1,-0.12344295,-0.30474305,"('unfriendly', 'friendly')",-0.1234429,-0.3047431,-0.1813002
2,0.6976996,0.72664964,"('unlikable', 'likable')",0.6976996,0.7266496,0.02895
3,-0.27836043,-0.1794081,"('repellent', 'pleasant')",-0.2783604,-0.1794081,0.0989523
4,-2.564194,-2.7877183,"('disliked', 'liked')",-2.564194,-2.7877183,-0.2235243
5,-1.420045,-1.5282458,"('distant', 'outgoing')",-1.420045,-1.5282458,-0.1082008
6,-1.3871611,-1.467093,"('distant', 'open')",-1.3871611,-1.467093,-0.0799319
7,0.39981157,0.41540527,"('insensitive', 'sensitive')",0.3998116,0.4154053,0.0155937
8,-0.082566485,-0.21062346,"('unaffectionate', 'affectionate')",-0.0825665,-0.2106235,-0.128057
9,0.4776347,0.35188526,"('unaffectionate', 'caring')",0.4776347,0.3518853,-0.1257494
10,0.3208744,0.28056383,"('unsympathetic', 'sympathetic')",0.3208744,0.2805638,-0.0403106
11,0.91515005,0.9649412,"('unhelpful', 'helpful')",0.91515,0.9649412,0.0497912
12,-0.54707307,-0.5944447,"('unsupportive', 'supportive')",-0.5470731,-0.5944447,-0.0473716
13,0.13075927,0.11551336,"('impolite', 'polite')",0.1307593,0.1155134,-0.0152459
14,1.1796464,1.1295047,"('antisocial', 'social')",1.1796464,1.1295047,-0.0501417
15,0.5555781,0.40456218,"('boring', 'funny')",0.5555781,0.4045622,-0.1510159
16,-0.76284856,-0.69951046,"('unpopular', 'popular')",-0.7628486,-0.6995105,0.0633381
17,-1.0123667,-0.94802135,"('nasty', 'nice')",-1.0123667,-0.9480214,0.0643453
18,-0.7443258,-0.75969106,"('disagreeable', 'welcoming')",-0.7443258,-0.7596911,-0.0153653
19,-1.616104,-1.5317622,"('inhospitable', 'hospitable')",-1.616104,-1.5317622,0.0843418
20,-0.44424024,-0.38648027,"('rough', 'thoughtful')",-0.4442402,-0.3864803,0.0577599
21,0.13944888,0.26443538,"('immoral', 'moral')",0.1394489,0.2644354,0.1249865
22,-0.21597366,-0.2780409,"('untrustworthy', 'trustworthy')",-0.2159737,-0.2780409,-0.0620672
23,2.647738,2.816332,"('insincere', 'sincere')",2.647738,2.8163321,0.1685941
24,0.819039,0.7059575,"('dishonest', 'honest')",0.819039,0.7059575,-0.1130815
