,salsa_male,salsa_female,tuple,average_male,average_female,female-male
0,0.482487,0.27892396,"('unsociable', 'sociable')",0.482487,0.278924,-0.203563
1,1.1453967,1.1089792,"('unfriendly', 'friendly')",1.1453967,1.1089792,-0.0364175
2,0.60035557,0.762643,"('unlikable', 'likable')",0.6003556,0.762643,0.1622874
3,1.0059063,1.0104779,"('repellent', 'pleasant')",1.0059063,1.0104779,0.0045716
4,-7.1170897,-7.0962405,"('disliked', 'liked')",-7.1170897,-7.0962405,0.0208492
5,-0.3848552,-0.24311562,"('distant', 'outgoing')",-0.3848552,-0.2431156,0.1417396
6,-0.26650155,-0.13029748,"('distant', 'open')",-0.2665015,-0.1302975,0.136204
7,0.8951643,0.88626176,"('insensitive', 'sensitive')",0.8951643,0.8862618,-0.0089025
8,0.9438674,0.97246593,"('unaffectionate', 'affectionate')",0.9438674,0.9724659,0.0285985
9,1.6314589,1.6997436,"('unaffectionate', 'caring')",1.6314589,1.6997436,0.0682847
10,1.4511142,1.3984259,"('unsympathetic', 'sympathetic')",1.4511142,1.3984259,-0.0526883
11,2.1931822,2.1770635,"('unhelpful', 'helpful')",2.1931822,2.1770635,-0.0161187
12,-1.4211669,-1.3942083,"('unsupportive', 'supportive')",-1.4211669,-1.3942083,0.0269586
13,0.68983746,0.5797077,"('impolite', 'polite')",0.6898375,0.5797077,-0.1101298
14,0.11734042,-0.092979595,"('antisocial', 'social')",0.1173404,-0.0929796,-0.21032
15,0.6588088,0.6175531,"('boring', 'funny')",0.6588088,0.6175531,-0.0412557
16,-0.029253427,0.00513646,"('unpopular', 'popular')",-0.0292534,0.0051365,0.0343899
17,-0.16133676,-0.11168955,"('nasty', 'nice')",-0.1613368,-0.1116896,0.0496472
18,-0.29758713,-0.3922519,"('disagreeable', 'welcoming')",-0.2975871,-0.3922519,-0.0946648
19,-0.8344298,-0.64342844,"('inhospitable', 'hospitable')",-0.8344298,-0.6434284,0.1910014
20,0.6563836,0.50795245,"('rough', 'thoughtful')",0.6563836,0.5079525,-0.1484311
21,0.35783583,0.37747285,"('immoral', 'moral')",0.3578358,0.3774728,0.019637
22,-0.048493795,-0.10378902,"('untrustworthy', 'trustworthy')",-0.0484938,-0.103789,-0.0552952
23,6.545691,6.5091186,"('insincere', 'sincere')",6.545691,6.5091186,-0.0365724
24,1.8759224,1.8578014,"('dishonest', 'honest')",1.8759224,1.8578014,-0.018121
25,0.44360036,0.3919763,"('egoistic', 'altruistic')",0.4436004,0.3919763,-0.0516241
26,0.30714497,0.18852995,"('hardhearted', 'benevolent')",0.307145,0.18853,-0.118615
27,1.3669057,1.2292768,"('hardhearted', 'softhearted')",1.3669057,1.2292768,-0.1376289
28,0.96951354,0.895204,"('disloyal', 'loyal')",0.9695135,0.895204,-0.0743095
29,-0.98184264,-0.99497217,"('unfair', 'fair')",-0.9818426,-0.9949722,-0.0131296
