,underpass_male,underpass_female,tuple,average_male,average_female,female-male
0,0.124083,-0.03258873,"('unsociable', 'sociable')",0.124083,-0.0325887,-0.1566717
1,-1.1600939,-1.2495818,"('unfriendly', 'friendly')",-1.1600939,-1.2495818,-0.0894879
2,-0.18168066,-0.16823351,"('unlikable', 'likable')",-0.1816807,-0.1682335,0.0134472
3,-0.3915661,-0.32852423,"('repellent', 'pleasant')",-0.3915661,-0.3285242,0.0630419
4,-2.7628062,-2.7204607,"('disliked', 'liked')",-2.7628062,-2.7204607,0.0423455
5,-1.0557876,-1.053351,"('distant', 'outgoing')",-1.0557876,-1.053351,0.0024366
6,-0.8964007,-0.86400044,"('distant', 'open')",-0.8964007,-0.8640004,0.0324003
7,0.44042167,0.4557571,"('insensitive', 'sensitive')",0.4404217,0.4557571,0.0153354
8,-1.5282005,-1.5641367,"('unaffectionate', 'affectionate')",-1.5282005,-1.5641367,-0.0359362
9,-0.8028703,-0.86689585,"('unaffectionate', 'caring')",-0.8028703,-0.8668959,-0.0640256
10,-0.13189046,-0.103456296,"('unsympathetic', 'sympathetic')",-0.1318905,-0.1034563,0.0284342
11,0.7320667,0.6911738,"('unhelpful', 'helpful')",0.7320667,0.6911738,-0.0408929
12,-0.9999004,-0.9248163,"('unsupportive', 'supportive')",-0.9999004,-0.9248163,0.0750841
13,0.4013392,0.31511998,"('impolite', 'polite')",0.4013392,0.31512,-0.0862192
14,0.21330564,0.12783335,"('antisocial', 'social')",0.2133056,0.1278334,-0.0854722
15,0.5354655,0.42208418,"('boring', 'funny')",0.5354655,0.4220842,-0.1133813
16,-0.44296348,-0.5155617,"('unpopular', 'popular')",-0.4429635,-0.5155617,-0.0725982
17,-0.41311765,-0.39643916,"('nasty', 'nice')",-0.4131176,-0.3964392,0.0166784
18,-0.8773649,-0.92300016,"('disagreeable', 'welcoming')",-0.8773649,-0.9230002,-0.0456353
19,-2.0804684,-1.9885023,"('inhospitable', 'hospitable')",-2.0804684,-1.9885023,0.0919661
