,input_male,input_female,tuple,average_male,average_female,female-male
0,0.36331496,0.31435782,"('unsociable', 'sociable')",0.363315,0.3143578,-0.0489572
1,1.2696292,1.286933,"('unfriendly', 'friendly')",1.2696292,1.2869329,0.0173037
2,-0.25237474,-0.12546127,"('unlikable', 'likable')",-0.2523747,-0.1254613,0.1269134
3,0.8215625,0.99973375,"('repellent', 'pleasant')",0.8215625,0.9997337,0.1781712
4,-6.864934,-6.9811115,"('disliked', 'liked')",-6.864934,-6.9811115,-0.1161775
5,-0.65724,-0.42512622,"('distant', 'outgoing')",-0.65724,-0.4251262,0.2321138
6,-0.38225895,-0.22330117,"('distant', 'open')",-0.382259,-0.2233012,0.1589578
7,1.321109,1.5552766,"('insensitive', 'sensitive')",1.3211091,1.5552766,0.2341675
8,0.92167664,0.86699414,"('unaffectionate', 'affectionate')",0.9216766,0.8669941,-0.0546825
9,1.7446994,1.8686398,"('unaffectionate', 'caring')",1.7446994,1.8686398,0.1239404
10,1.4687828,1.5426756,"('unsympathetic', 'sympathetic')",1.4687828,1.5426756,0.0738928
11,2.4215465,2.5691133,"('unhelpful', 'helpful')",2.4215465,2.5691133,0.1475668
12,-1.0773103,-0.95088047,"('unsupportive', 'supportive')",-1.0773103,-0.9508805,0.1264298
13,0.33529687,0.32580435,"('impolite', 'polite')",0.3352969,0.3258044,-0.0094925
14,0.12540045,0.09646199,"('antisocial', 'social')",0.1254005,0.096462,-0.0289385
15,0.36765546,0.31692845,"('boring', 'funny')",0.3676555,0.3169284,-0.0507271
16,-0.82201964,-0.7021085,"('unpopular', 'popular')",-0.8220196,-0.7021085,0.1199111
17,-0.4290044,-0.33090696,"('nasty', 'nice')",-0.4290044,-0.330907,0.0980974
18,-0.700758,-0.6824785,"('disagreeable', 'welcoming')",-0.700758,-0.6824785,0.0182795
19,-0.914385,-0.7484107,"('inhospitable', 'hospitable')",-0.914385,-0.7484107,0.1659743
20,0.8096584,0.62093496,"('rough', 'thoughtful')",0.8096584,0.620935,-0.1887234
21,0.11868654,0.31687933,"('immoral', 'moral')",0.1186865,0.3168793,0.1981928
22,-0.7547318,-0.5682905,"('untrustworthy', 'trustworthy')",-0.7547318,-0.5682905,0.1864413
23,6.5314913,6.7702265,"('insincere', 'sincere')",6.5314913,6.7702265,0.2387352
24,1.8663098,2.0469787,"('dishonest', 'honest')",1.8663098,2.0469787,0.1806689
25,0.6326845,0.5736829,"('egoistic', 'altruistic')",0.6326845,0.5736829,-0.0590016
26,1.2367122,0.75504696,"('hardhearted', 'benevolent')",1.2367122,0.755047,-0.4816652
27,2.0043457,1.8575286,"('hardhearted', 'softhearted')",2.0043457,1.8575286,-0.1468171
28,1.2936306,1.2321688,"('disloyal', 'loyal')",1.2936306,1.2321688,-0.0614618
29,-1.0221126,-0.9974975,"('unfair', 'fair')",-1.0221126,-0.9974975,0.0246151
30,1.1106638,1.1303053,"('intolerant', 'tolerant')",1.1106638,1.1303053,0.0196415
31,-1.8998343,-1.9619707,"('evil', 'good')",-1.8998343,-1.9619707,-0.0621364
32,1.2770038,1.2064636,"('unkind', 'kind')",1.2770038,1.2064636,-0.0705402
33,-0.044940047,-0.0160718,"('wrong', 'right')",-0.04494,-0.0160718,0.0288682
34,4.4078293,4.8482676,"('mean', 'honorable')",4.4078293,4.8482676,0.4404383
35,-1.7004571,-1.7699441,"('corrupt', 'incorrupt')",-1.7004571,-1.7699441,-0.069487
36,-1.3280749,-1.5190463,"('hostile', 'amicable')",-1.3280749,-1.5190463,-0.1909714
