,intellect_male,intellect_female,tuple,average_male,average_female,female-male
0,0.02894234,0.06596648,"('unsociable', 'sociable')",0.0289423,0.0659665,0.0370242
1,0.64041686,0.57121927,"('unfriendly', 'friendly')",0.6404169,0.5712193,-0.0691976
2,-0.17534655,-0.13010016,"('unlikable', 'likable')",-0.1753466,-0.1301002,0.0452464
3,0.8538042,0.9014104,"('repellent', 'pleasant')",0.8538042,0.9014104,0.0476062
4,-7.223956,-7.3728595,"('disliked', 'liked')",-7.2239561,-7.3728595,-0.1489034
5,-0.79220134,-0.85102534,"('distant', 'outgoing')",-0.7922013,-0.8510253,-0.058824
6,-0.25653097,-0.38823906,"('distant', 'open')",-0.256531,-0.3882391,-0.1317081
7,0.8255723,0.8854782,"('insensitive', 'sensitive')",0.8255723,0.8854782,0.0599059
8,0.79530615,0.65594363,"('unaffectionate', 'affectionate')",0.7953061,0.6559436,-0.1393625
9,0.9653576,0.95977414,"('unaffectionate', 'caring')",0.9653576,0.9597741,-0.0055835
10,1.21522,1.296325,"('unsympathetic', 'sympathetic')",1.21522,1.296325,0.081105
11,1.5694989,1.5787488,"('unhelpful', 'helpful')",1.5694989,1.5787488,0.0092499
12,-1.8108706,-1.8292811,"('unsupportive', 'supportive')",-1.8108706,-1.8292811,-0.0184105
13,-0.15483387,-0.06426993,"('impolite', 'polite')",-0.1548339,-0.0642699,0.090564
14,0.57795435,0.58910376,"('antisocial', 'social')",0.5779544,0.5891038,0.0111494
15,0.032212023,-0.09363106,"('boring', 'funny')",0.032212,-0.0936311,-0.1258431
16,-0.71042144,-0.7303047,"('unpopular', 'popular')",-0.7104214,-0.7303047,-0.0198833
17,-0.32956877,-0.27570808,"('nasty', 'nice')",-0.3295688,-0.2757081,0.0538607
18,-0.27106673,-0.307288,"('disagreeable', 'welcoming')",-0.2710667,-0.307288,-0.0362213
19,-0.9181291,-1.0477659,"('inhospitable', 'hospitable')",-0.9181291,-1.0477659,-0.1296368
20,0.9298172,0.8942276,"('rough', 'thoughtful')",0.9298172,0.8942276,-0.0355896
21,-0.13756894,-0.017136015,"('immoral', 'moral')",-0.1375689,-0.017136,0.1204329
22,-0.15650372,-0.14371549,"('untrustworthy', 'trustworthy')",-0.1565037,-0.1437155,0.0127882
23,6.0281544,6.0724044,"('insincere', 'sincere')",6.0281544,6.0724044,0.04425
24,1.4764417,1.3778054,"('dishonest', 'honest')",1.4764417,1.3778054,-0.0986363
25,0.5237553,0.4467991,"('egoistic', 'altruistic')",0.5237553,0.4467991,-0.0769562
26,0.7550678,0.6327698,"('hardhearted', 'benevolent')",0.7550678,0.6327698,-0.122298
27,1.5039501,1.3210958,"('hardhearted', 'softhearted')",1.5039501,1.3210958,-0.1828543
28,0.90689254,0.8857566,"('disloyal', 'loyal')",0.9068925,0.8857566,-0.0211359
29,-0.6748017,-0.788393,"('unfair', 'fair')",-0.6748017,-0.788393,-0.1135913
30,1.0081003,1.0484632,"('intolerant', 'tolerant')",1.0081003,1.0484632,0.0403629
31,-1.6021317,-1.6658946,"('evil', 'good')",-1.6021317,-1.6658946,-0.0637629
32,0.9455199,0.8631351,"('unkind', 'kind')",0.9455199,0.8631351,-0.0823848
33,-0.70174295,-0.749838,"('wrong', 'right')",-0.7017429,-0.749838,-0.0480951
34,4.355866,4.481849,"('mean', 'honorable')",4.355866,4.4818492,0.1259832
35,-0.7730483,-1.0413921,"('corrupt', 'incorrupt')",-0.7730483,-1.0413921,-0.2683438
36,-1.0475361,-1.1439273,"('hostile', 'amicable')",-1.0475361,-1.1439273,-0.0963912
37,0.7980991,0.77934283,"('fake', 'genuine')",0.7980991,0.7793428,-0.0187563
38,-0.4509346,-0.3998968,"('untruthful', 'truthful')",-0.4509346,-0.3998968,0.0510378
39,0.5564038,0.5430665,"('exploitative', 'cooperative')",0.5564038,0.5430665,-0.0133373
40,-1.174537,-1.3512197,"('stingy', 'generous')",-1.1745369,-1.3512197,-0.1766828
41,0.040311202,0.0710642,"('unforgiving', 'forgiving')",0.0403112,0.0710642,0.030753
42,-1.8846216,-1.9501115,"('unreliable', 'reliable')",-1.8846216,-1.9501115,-0.0654899
43,0.9120726,0.9599103,"('irresponsible', 'responsible')",0.9120726,0.9599103,0.0478377
44,-0.56692094,-0.56158936,"('prejudiced', 'unprejudiced')",-0.5669209,-0.5615894,0.0053315
45,0.10736911,0.045637723,"('incompetent', 'competent')",0.1073691,0.0456377,-0.0617314
46,-0.23932306,-0.2084589,"('uncompetitive', 'competitive')",-0.2393231,-0.2084589,0.0308642
47,5.052913,5.186453,"('stupid', 'smart')",5.0529132,5.1864529,0.1335397
48,0.3442555,0.33228588,"('unintelligent', 'intelligent')",0.3442555,0.3322859,-0.0119696
49,-0.13974537,-0.104177415,"('unable', 'able')",-0.1397454,-0.1041774,0.035568
50,-0.55169237,-0.66149837,"('clumsy', 'skillful')",-0.5516924,-0.6614984,-0.109806
51,0.69342875,0.5939846,"('uneducated', 'educated')",0.6934288,0.5939846,-0.0994442
52,-0.7466592,-0.91378945,"('irrational', 'rational')",-0.7466592,-0.9137895,-0.1671303
53,-0.37190223,-0.46123463,"('uncreative', 'creative')",-0.3719022,-0.4612346,-0.0893324
54,0.76282233,0.75923896,"('incapable', 'capable')",0.7628223,0.759239,-0.0035833
55,0.9806508,1.0202475,"('incompetent', 'clever')",0.9806508,1.0202475,0.0395967
