,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.2344157,-1.2867684,"('unsociable', 'sociable')",0.82331175,0.6898858,0.016319796,-0.11236557,-0.1315947,-0.2364161,-0.1048214
1,-0.5592602,-0.8073059,"('unfriendly', 'friendly')",1.0296414,0.8099742,0.28177306,0.18617617,0.2507181,0.0629482,-0.1877699
2,0.7974428,0.8518834,"('unlikable', 'likable')",1.5369685,1.5111767,0.90394956,0.9301131,1.0794535,1.0977244,0.0182709
3,-0.523896,-0.44995794,"('repellent', 'pleasant')",-0.049489476,-0.062454693,1.1708815,1.2068795,0.1991653,0.231489,0.0323237
4,0.04283846,-0.004984221,"('disliked', 'liked')",-0.28918877,-0.39380926,-6.2454185,-6.2451587,-2.1639229,-2.2146508,-0.0507279
5,0.019283496,-0.079483315,"('distant', 'outgoing')",-1.0849849,-1.04405,-1.5497837,-1.4977666,-0.8718284,-0.8737666,-0.0019382
6,-0.1477503,-0.26828367,"('distant', 'open')",-1.3123763,-1.3432169,-1.6792246,-1.68187,-1.0464504,-1.0977902,-0.0513398
7,-0.36270997,-0.3665766,"('insensitive', 'sensitive')",1.0434041,1.0493097,0.55038154,0.5586433,0.4103585,0.4137921,0.0034336
8,-0.26106143,-0.42029217,"('unaffectionate', 'affectionate')",-0.072582975,-0.15409255,-0.2969588,-0.34724298,-0.2102011,-0.3072092,-0.0970081
9,-0.627803,-0.7689164,"('unaffectionate', 'caring')",0.2855553,0.19621,0.31665593,0.26748466,-0.0085306,-0.1017406,-0.09321
10,-1.1927463,-1.1889288,"('unsympathetic', 'sympathetic')",-0.07051736,-0.18018524,-0.2824429,-0.31658852,-0.5152355,-0.5619009,-0.0466654
11,-0.760422,-0.6930301,"('unhelpful', 'helpful')",0.8849624,0.883677,1.8224065,1.8089741,0.6489823,0.6665403,0.017558
12,-0.71471363,-0.71476704,"('unsupportive', 'supportive')",0.80148524,0.7861403,-1.8342172,-1.7971913,-0.5824819,-0.5752726,0.0072093
13,-1.7771116,-1.6793096,"('impolite', 'polite')",0.41099256,0.48920637,-0.58439475,-0.5748708,-0.6501713,-0.5883247,0.0618466
14,-0.7907422,-0.64079815,"('antisocial', 'social')",1.7146006,1.7423073,0.7325968,0.65847224,0.5521517,0.5866605,0.0345088
15,1.363466,1.2481815,"('boring', 'funny')",0.39981422,0.3131062,0.29415715,0.16484305,0.6858125,0.5753769,-0.1104356
16,-0.23373382,-0.3957553,"('unpopular', 'popular')",-0.58292377,-0.6996779,0.43696368,0.30621302,-0.1265646,-0.2630734,-0.1365088
17,-0.14490312,-0.09999238,"('nasty', 'nice')",-1.1499819,-1.0617237,-0.34689242,-0.31016228,-0.5472591,-0.4906261,0.056633
18,0.26701725,0.30284652,"('disagreeable', 'welcoming')",-0.33046466,-0.3912782,-1.1184144,-1.1799175,-0.393954,-0.4227831,-0.0288291
19,-0.5988818,-0.61920506,"('inhospitable', 'hospitable')",-1.7860789,-1.7965041,-1.7363781,-1.637811,-1.3737796,-1.3511734,0.0226062
20,-0.7357413,-0.8103182,"('rough', 'thoughtful')",-0.43921673,-0.445261,0.33038044,0.28445467,-0.2815259,-0.3237082,-0.0421823
21,-1.0461346,-1.0392367,"('immoral', 'moral')",1.7847009,1.6178237,0.04541755,0.0028853752,0.2613279,0.1938242,-0.0675037
22,-0.55333805,-0.4755878,"('untrustworthy', 'trustworthy')",0.76245177,0.6466728,-0.51040566,-0.5969708,-0.1004306,-0.1419619,-0.0415313
23,-0.6911287,-0.7141903,"('insincere', 'sincere')",0.88228136,0.8128654,5.1336126,4.96004,1.7749217,1.6862384,-0.0886833
24,-0.2788361,-0.22403692,"('dishonest', 'honest')",1.5621996,1.5432142,0.20781116,0.24716216,0.4970582,0.5221132,0.025055
25,0.5477925,0.34004572,"('egoistic', 'altruistic')",0.6470034,0.55447596,0.49565613,0.43361223,0.563484,0.4427113,-0.1207727
26,0.058886074,0.0039252974,"('hardhearted', 'benevolent')",1.2248454,1.1398243,1.4643577,1.4046865,0.9160298,0.8494787,-0.0665511
27,-0.024135403,-0.105520956,"('hardhearted', 'softhearted')",-0.49684504,-0.42894053,0.17296672,0.13081397,-0.1160046,-0.1345492,-0.0185446
28,-1.0221332,-1.0905827,"('disloyal', 'loyal')",0.82365113,0.64233875,0.5924458,0.4904779,0.1313212,0.014078,-0.1172432
29,-0.33340728,-0.4422092,"('unfair', 'fair')",-0.17837758,-0.20986667,-0.3784786,-0.45364898,-0.2967545,-0.3685749,-0.0718204
30,-0.2368604,-0.09448831,"('intolerant', 'tolerant')",0.62476015,0.6061483,1.0679327,1.0368669,0.4852775,0.5161756,0.0308981
31,-0.042134248,-0.05998392,"('evil', 'good')",-1.3000362,-1.3025306,-1.632963,-1.5791918,-0.9917111,-0.9805688,0.0111423
32,-0.47874427,-0.5345317,"('unkind', 'kind')",0.42768183,0.33749935,0.5981459,0.41942978,0.1823612,0.0741325,-0.1082287
