,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.5857956,-1.7877184,"('unsociable', 'sociable')",-0.11837117,-0.24239086,-0.8520834,-1.0150546,-0.1629712
1,-0.63340026,-0.9409781,"('unfriendly', 'friendly')",1.3635124,1.0637435,0.3650561,0.0613827,-0.3036734
2,0.07958111,0.05866062,"('unlikable', 'likable')",0.68917614,0.6875112,0.3843786,0.3730859,-0.0112927
3,-1.2139004,-1.0645982,"('repellent', 'pleasant')",0.8893492,0.95817953,-0.1622756,-0.0532093,0.1090663
4,-0.21824396,-0.28474307,"('disliked', 'liked')",-6.4920793,-6.441039,-3.3551617,-3.3628912,-0.0077295
5,0.15420249,-0.008012565,"('distant', 'outgoing')",-0.52834815,-0.6051618,-0.1870728,-0.3065872,-0.1195144
6,0.5483133,0.36254066,"('distant', 'open')",-0.42160124,-0.5791374,0.063356,-0.1082984,-0.1716544
7,-1.5407914,-1.4232787,"('insensitive', 'sensitive')",0.27964652,0.25009963,-0.6305724,-0.5865895,0.0439829
8,-0.43904614,-0.64329547,"('unaffectionate', 'affectionate')",0.48149705,0.32771,0.0212255,-0.1577927,-0.1790182
9,-0.4190892,-0.6556309,"('unaffectionate', 'caring')",1.0697563,0.94480366,0.3253335,0.1445864,-0.1807471
10,-2.5205772,-2.419454,"('unsympathetic', 'sympathetic')",-0.49449882,-0.5836862,-1.507538,-1.5015701,0.0059679
11,-0.98500973,-1.023328,"('unhelpful', 'helpful')",1.4086497,1.4061719,0.21182,0.191422,-0.020398
12,-1.1301622,-1.1029831,"('unsupportive', 'supportive')",-2.1555035,-2.1590745,-1.6428329,-1.6310289,0.011804
13,-1.6468909,-1.724129,"('impolite', 'polite')",-0.5826718,-0.5196882,-1.1147814,-1.1219085,-0.0071271
14,-0.83306485,-0.68193305,"('antisocial', 'social')",0.15204418,0.16836394,-0.3405103,-0.2567846,0.0837257
15,0.6469676,0.45895502,"('boring', 'funny')",0.34018514,0.31802875,0.4935763,0.3884919,-0.1050844
16,0.07891541,0.021359576,"('unpopular', 'popular')",0.38421452,0.37442717,0.231565,0.1978934,-0.0336716
17,-0.31834906,-0.32550448,"('nasty', 'nice')",-0.37099394,-0.29968756,-0.3446715,-0.312596,0.0320755
18,-0.58584726,-0.5796481,"('disagreeable', 'welcoming')",-0.5702209,-0.65802044,-0.578034,-0.6188343,-0.0408003
19,-0.2908745,-0.44187057,"('inhospitable', 'hospitable')",-0.62533706,-0.63208747,-0.4581058,-0.536979,-0.0788732
20,0.81325495,0.89465106,"('rough', 'thoughtful')",0.96552247,0.9223978,0.8893887,0.9085244,0.0191357
21,-1.3382307,-1.2696251,"('immoral', 'moral')",-0.5351656,-0.4333428,-0.9366982,-0.8514839,0.0852143
22,-1.1021216,-1.0464559,"('untrustworthy', 'trustworthy')",-1.2457896,-1.3066505,-1.1739557,-1.1765532,-0.0025975
23,-0.9725387,-0.9807896,"('insincere', 'sincere')",5.4325523,5.3382607,2.2300067,2.1787355,-0.0512712
24,-1.1395264,-1.0693604,"('dishonest', 'honest')",0.6557151,0.6130909,-0.2419056,-0.2281348,0.0137708
25,0.17276663,0.03573953,"('egoistic', 'altruistic')",1.141257,1.035848,0.6570119,0.5357938,-0.1212181
26,0.4180165,0.34680802,"('hardhearted', 'benevolent')",1.6058772,1.4067013,1.0119468,0.8767546,-0.1351922
27,-0.7599381,-0.75255954,"('hardhearted', 'softhearted')",1.161871,1.041406,0.2009664,0.1444232,-0.0565432
28,-0.31580406,-0.44182092,"('disloyal', 'loyal')",0.96473575,0.84988004,0.3244658,0.2040296,-0.1204362
29,0.018738903,0.005938001,"('unfair', 'fair')",-0.32683042,-0.44022763,-0.1540458,-0.2171448,-0.063099
30,-0.37566587,-0.364983,"('intolerant', 'tolerant')",1.168293,1.1261758,0.3963135,0.3805964,-0.0157171
31,0.5494671,0.4919307,"('evil', 'good')",-0.55235684,-0.6982504,-0.0014449,-0.1031599,-0.101715
32,-1.0944663,-1.1464908,"('unkind', 'kind')",0.47579166,0.28778234,-0.3093373,-0.4293543,-0.120017
33,0.40336114,0.27456248,"('wrong', 'right')",-0.65658695,-0.64732623,-0.1266129,-0.1863819,-0.059769
34,-0.11409599,0.042325333,"('mean', 'honorable')",5.3597765,5.4472604,2.6228402,2.7447929,0.1219527
35,1.0585204,0.85385996,"('corrupt', 'incorrupt')",-0.17114188,-0.2312035,0.4436893,0.3113282,-0.1323611
36,0.65418875,0.39170015,"('hostile', 'amicable')",-0.0045581516,-0.17984995,0.3248153,0.1059251,-0.2188902
37,-0.6407215,-0.55122125,"('fake', 'genuine')",-0.14507312,-0.14099829,-0.3928973,-0.3461098,0.0467875
38,-1.1180446,-1.140642,"('untruthful', 'truthful')",-0.15634716,-0.06529575,-0.6371959,-0.6029689,0.034227
39,0.7635771,0.7771057,"('exploitative', 'cooperative')",0.3531773,0.31546763,0.5583772,0.5462866,-0.0120906
40,-0.075999774,0.0033873543,"('stingy', 'generous')",-1.6702347,-1.733928,-0.8731172,-0.8652703,0.0078469
41,-0.8101319,-0.7749014,"('unforgiving', 'forgiving')",0.030770514,-0.035624497,-0.3896807,-0.4052629,-0.0155822
42,-0.9788819,-0.769022,"('unreliable', 'reliable')",-3.3354926,-3.2861974,-2.1571872,-2.0276098,0.1295774
