,scrambled_male,scrambled_female,tuple,average_male,average_female,female-male
0,-0.25190407,-0.31955346,"('unsociable', 'sociable')",-0.2519041,-0.3195535,-0.0676494
1,0.83107513,0.79192805,"('unfriendly', 'friendly')",0.8310751,0.7919281,-0.039147
2,-0.06274191,0.06339499,"('unlikable', 'likable')",-0.0627419,0.063395,0.1261369
3,0.68819064,0.7299083,"('repellent', 'pleasant')",0.6881906,0.7299083,0.0417177
4,-7.258789,-7.338595,"('disliked', 'liked')",-7.2587891,-7.3385949,-0.0798058
5,-0.68904555,-0.62308055,"('distant', 'outgoing')",-0.6890455,-0.6230806,0.0659649
6,-0.16059132,-0.1707733,"('distant', 'open')",-0.1605913,-0.1707733,-0.010182
7,0.60032743,0.6669917,"('insensitive', 'sensitive')",0.6003274,0.6669917,0.0666643
8,0.7755093,0.75048035,"('unaffectionate', 'affectionate')",0.7755093,0.7504804,-0.0250289
9,0.9391754,1.0196792,"('unaffectionate', 'caring')",0.9391754,1.0196792,0.0805038
10,1.2360151,1.1880902,"('unsympathetic', 'sympathetic')",1.2360151,1.1880902,-0.0479249
11,1.4249718,1.4590837,"('unhelpful', 'helpful')",1.4249718,1.4590837,0.0341119
12,-1.8195819,-1.8270806,"('unsupportive', 'supportive')",-1.8195819,-1.8270806,-0.0074987
13,-0.12711272,-0.1607795,"('impolite', 'polite')",-0.1271127,-0.1607795,-0.0336668
14,0.21975926,0.14691308,"('antisocial', 'social')",0.2197593,0.1469131,-0.0728462
15,0.024089202,-0.034614015,"('boring', 'funny')",0.0240892,-0.034614,-0.0587032
16,-0.6181179,-0.51939464,"('unpopular', 'popular')",-0.6181179,-0.5193946,0.0987233
17,-0.4699992,-0.35762984,"('nasty', 'nice')",-0.4699992,-0.3576298,0.1123694
18,-0.16550694,-0.2762556,"('disagreeable', 'welcoming')",-0.1655069,-0.2762556,-0.1107487
19,-0.82907563,-0.8124232,"('inhospitable', 'hospitable')",-0.8290756,-0.8124232,0.0166524
20,0.92385215,0.8357842,"('rough', 'thoughtful')",0.9238521,0.8357842,-0.0880679
21,-0.27164012,-0.20083573,"('immoral', 'moral')",-0.2716401,-0.2008357,0.0708044
22,-0.2933936,-0.34853283,"('untrustworthy', 'trustworthy')",-0.2933936,-0.3485328,-0.0551392
23,6.1052666,6.142427,"('insincere', 'sincere')",6.1052666,6.142427,0.0371604
24,1.4687777,1.3581109,"('dishonest', 'honest')",1.4687777,1.3581109,-0.1106668
25,0.6407387,0.6069101,"('egoistic', 'altruistic')",0.6407387,0.6069101,-0.0338286
26,0.5236411,0.45649776,"('hardhearted', 'benevolent')",0.5236411,0.4564978,-0.0671433
27,1.5950642,1.4350297,"('hardhearted', 'softhearted')",1.5950642,1.4350297,-0.1600345
28,0.95414895,0.91896534,"('disloyal', 'loyal')",0.9541489,0.9189653,-0.0351836
29,-0.8528812,-0.94239193,"('unfair', 'fair')",-0.8528812,-0.9423919,-0.0895107
30,0.89666474,0.85435313,"('intolerant', 'tolerant')",0.8966647,0.8543531,-0.0423116
31,-1.4081347,-1.331397,"('evil', 'good')",-1.4081347,-1.3313971,0.0767376
32,0.92945033,0.8953319,"('unkind', 'kind')",0.9294503,0.8953319,-0.0341184
33,-0.6548596,-0.66161335,"('wrong', 'right')",-0.6548596,-0.6616133,-0.0067537
34,4.3616385,4.5289326,"('mean', 'honorable')",4.3616385,4.5289326,0.1672941
35,-0.8538013,-1.011569,"('corrupt', 'incorrupt')",-0.8538013,-1.011569,-0.1577677
36,-0.9683323,-1.0026085,"('hostile', 'amicable')",-0.9683323,-1.0026085,-0.0342762
37,0.8272953,0.8074735,"('fake', 'genuine')",0.8272953,0.8074735,-0.0198218
38,-0.36043844,-0.3328063,"('untruthful', 'truthful')",-0.3604384,-0.3328063,0.0276321
39,0.46696794,0.42100582,"('exploitative', 'cooperative')",0.4669679,0.4210058,-0.0459621
40,-1.1850233,-1.4165565,"('stingy', 'generous')",-1.1850233,-1.4165565,-0.2315332
41,-0.052050635,-0.08892433,"('unforgiving', 'forgiving')",-0.0520506,-0.0889243,-0.0368737
42,-1.9655561,-2.0636265,"('unreliable', 'reliable')",-1.9655561,-2.0636265,-0.0980704
43,0.8494673,0.8541874,"('irresponsible', 'responsible')",0.8494673,0.8541874,0.0047201
44,-0.69432145,-0.69454366,"('prejudiced', 'unprejudiced')",-0.6943215,-0.6945437,-0.0002222
45,-0.21054718,-0.20496018,"('incompetent', 'competent')",-0.2105472,-0.2049602,0.005587
46,-0.3929794,-0.52479947,"('uncompetitive', 'competitive')",-0.3929794,-0.5247995,-0.1318201
47,4.95585,5.172721,"('stupid', 'smart')",4.9558501,5.1727209,0.2168708
48,0.3419319,0.28456646,"('unintelligent', 'intelligent')",0.3419319,0.2845665,-0.0573654
49,0.10428584,0.16937071,"('unable', 'able')",0.1042858,0.1693707,0.0650849
50,-0.4254034,-0.45372868,"('clumsy', 'skillful')",-0.4254034,-0.4537287,-0.0283253
51,0.66156965,0.54688394,"('uneducated', 'educated')",0.6615697,0.5468839,-0.1146858
52,-0.8183722,-0.79841816,"('irrational', 'rational')",-0.8183722,-0.7984182,0.019954
53,-0.35765272,-0.4025466,"('uncreative', 'creative')",-0.3576527,-0.4025466,-0.0448939
54,0.84874356,0.9377793,"('incapable', 'capable')",0.8487436,0.9377793,0.0890357
55,0.70838076,0.6688969,"('incompetent', 'clever')",0.7083808,0.6688969,-0.0394839
56,0.56282014,0.557058,"('impractical', 'practical')",0.5628201,0.557058,-0.0057621
57,-2.5144885,-2.5110867,"('unimaginative', 'imaginative')",-2.5144885,-2.5110867,0.0034018
58,-0.06317439,-0.10837044,"('undiscriminating', 'discriminating')",-0.0631744,-0.1083704,-0.045196
59,-0.35232148,-0.3183938,"('foolish', 'wise')",-0.3523215,-0.3183938,0.0339277
60,0.6039233,0.6411282,"('inefficient', 'efficient')",0.6039233,0.6411282,0.0372049
61,0.16039506,0.003163427,"('illogical', 'logical')",0.1603951,0.0031634,-0.1572317
62,0.40945232,0.5158699,"('incompetent', 'brilliant')",0.4094523,0.5158699,0.1064176
63,-0.06543569,-0.05626121,"('unperceptive', 'insightful')",-0.0654357,-0.0562612,0.0091745
64,-5.8836827,-5.917132,"('shy', 'confident')",-5.8836827,-5.9171319,-0.0334492
65,0.37043682,0.3511666,"('insecure', 'secure')",0.3704368,0.3511666,-0.0192702
66,-0.13923232,-0.20967902,"('inactive', 'active')",-0.1392323,-0.209679,-0.0704467
67,-0.33519775,-0.2734056,"('doubtful', 'determined')",-0.3351977,-0.2734056,0.0617921
68,-0.52049625,-0.6077266,"('dependent', 'independent')",-0.5204962,-0.6077266,-0.0872304
69,-2.121185,-2.0508964,"('lazy', 'industrious')",-2.1211851,-2.0508964,0.0702887
70,1.4068767,1.3314694,"('lethargic', 'energetic')",1.4068767,1.3314694,-0.0754073
71,0.51595265,0.58172655,"('diffident', 'self-confident')",0.5159526,0.5817266,0.065774
72,0.84491,0.95468533,"('unambitious', 'ambitious')",0.84491,0.9546853,0.1097753
73,-3.0375729,-2.9978623,"('helpless', 'self-reliant')",-3.0375729,-2.9978623,0.0397106
74,0.13627546,-0.036847506,"('undedicated', 'dedicated')",0.1362755,-0.0368475,-0.173123
75,-0.7204646,-0.58952487,"('meek', 'impulsive')",-0.7204646,-0.5895249,0.1309397
76,0.94902796,0.87072337,"('anxious', 'daring')",0.949028,0.8707234,-0.0783046
77,-1.4785094,-1.291516,"('unmotivated', 'motivated')",-1.4785094,-1.2915159,0.1869935
78,-0.6370776,-0.6682656,"('nonresilient', 'resilient')",-0.6370776,-0.6682656,-0.031188
79,-0.27966708,-0.25291038,"('wavering', 'unwavering')",-0.2796671,-0.2529104,0.0267567
80,-0.11313775,-0.2278569,"('dominated', 'dominating')",-0.1131378,-0.2278569,-0.1147191
81,0.5053242,0.47277057,"('submissive', 'aggressive')",0.5053242,0.4727706,-0.0325536
82,6.0162215,6.1939244,"('poor', 'rich')",6.0162215,6.1939244,0.1777029
