,plover_male,plover_female,tuple,average_male,average_female,female-male
0,-0.45060858,-0.63553274,"('unsociable', 'sociable')",-0.4506086,-0.6355327,-0.1849241
1,-1.5663097,-1.6694617,"('unfriendly', 'friendly')",-1.5663097,-1.6694617,-0.103152
2,0.3016537,0.34327736,"('unlikable', 'likable')",0.3016537,0.3432774,0.0416237
3,-0.15383591,-0.102939814,"('repellent', 'pleasant')",-0.1538359,-0.1029398,0.0508961
4,-2.814514,-2.7168057,"('disliked', 'liked')",-2.8145139,-2.7168057,0.0977082
5,-2.1454105,-2.0913806,"('distant', 'outgoing')",-2.1454105,-2.0913806,0.0540299
6,-2.1004047,-2.0494063,"('distant', 'open')",-2.1004047,-2.0494063,0.0509984
7,-0.08219808,-0.14091228,"('insensitive', 'sensitive')",-0.0821981,-0.1409123,-0.0587142
8,-0.8761887,-0.9937383,"('unaffectionate', 'affectionate')",-0.8761887,-0.9937383,-0.1175496
9,-1.1591353,-1.2414994,"('unaffectionate', 'caring')",-1.1591353,-1.2414994,-0.0823641
10,-0.41877306,-0.50875235,"('unsympathetic', 'sympathetic')",-0.4187731,-0.5087523,-0.0899792
11,0.3331267,0.24523796,"('unhelpful', 'helpful')",0.3331267,0.245238,-0.0878887
12,-1.5098307,-1.4218327,"('unsupportive', 'supportive')",-1.5098307,-1.4218327,0.087998
13,0.17156754,-0.046272486,"('impolite', 'polite')",0.1715675,-0.0462725,-0.21784
14,0.73409224,0.6469106,"('antisocial', 'social')",0.7340922,0.6469106,-0.0871816
15,0.2808942,0.13916498,"('boring', 'funny')",0.2808942,0.139165,-0.1417292
16,-0.79165566,-0.839742,"('unpopular', 'popular')",-0.7916557,-0.839742,-0.0480863
17,-0.47960955,-0.47378755,"('nasty', 'nice')",-0.4796095,-0.4737875,0.005822
18,-0.753125,-0.75003153,"('disagreeable', 'welcoming')",-0.753125,-0.7500315,0.0030935
19,-1.7962369,-1.787493,"('inhospitable', 'hospitable')",-1.7962369,-1.787493,0.0087439
20,0.36033833,0.35500365,"('rough', 'thoughtful')",0.3603383,0.3550037,-0.0053346
21,0.5070004,0.48101318,"('immoral', 'moral')",0.5070004,0.4810132,-0.0259872
22,0.49774683,0.4602091,"('untrustworthy', 'trustworthy')",0.4977468,0.4602091,-0.0375377
23,2.3751984,2.2151937,"('insincere', 'sincere')",2.3751984,2.2151937,-0.1600047
24,0.12372069,-0.018251594,"('dishonest', 'honest')",0.1237207,-0.0182516,-0.1419723
25,-0.34816962,-0.44177467,"('egoistic', 'altruistic')",-0.3481696,-0.4417747,-0.0936051
26,-0.10051959,-0.18433702,"('hardhearted', 'benevolent')",-0.1005196,-0.184337,-0.0838174
27,-0.054273397,-0.24650805,"('hardhearted', 'softhearted')",-0.0542734,-0.246508,-0.1922346
28,-0.102691635,-0.24480948,"('disloyal', 'loyal')",-0.1026916,-0.2448095,-0.1421179
29,-0.7204336,-0.7305067,"('unfair', 'fair')",-0.7204336,-0.7305067,-0.0100731
