,realm_male,realm_female,tuple,average_male,average_female,female-male
0,-0.011361837,-0.09030329,"('unsociable', 'sociable')",-0.0113618,-0.0903033,-0.0789415
1,1.486695,1.324606,"('unfriendly', 'friendly')",1.4866951,1.3246059,-0.1620892
2,0.5974958,0.72967327,"('unlikable', 'likable')",0.5974958,0.7296733,0.1321775
3,0.98382264,1.07576,"('repellent', 'pleasant')",0.9838226,1.07576,0.0919374
4,-7.0492387,-6.9411826,"('disliked', 'liked')",-7.0492387,-6.9411826,0.1080561
5,0.014139377,0.0671881,"('distant', 'outgoing')",0.0141394,0.0671881,0.0530487
6,0.47802973,0.5066292,"('distant', 'open')",0.4780297,0.5066292,0.0285995
7,0.5757348,0.63815296,"('insensitive', 'sensitive')",0.5757348,0.638153,0.0624182
8,1.2391369,1.1236738,"('unaffectionate', 'affectionate')",1.2391369,1.1236738,-0.1154631
9,1.6974465,1.6898247,"('unaffectionate', 'caring')",1.6974465,1.6898247,-0.0076218
10,1.155997,1.2786303,"('unsympathetic', 'sympathetic')",1.155997,1.2786303,0.1226333
11,1.864472,1.9320533,"('unhelpful', 'helpful')",1.864472,1.9320533,0.0675813
12,-1.5507808,-1.5375376,"('unsupportive', 'supportive')",-1.5507808,-1.5375376,0.0132432
13,0.04776624,-0.005423695,"('impolite', 'polite')",0.0477662,-0.0054237,-0.0531899
14,-0.36570928,-0.43761662,"('antisocial', 'social')",-0.3657093,-0.4376166,-0.0719073
15,0.15406898,0.04316446,"('boring', 'funny')",0.154069,0.0431645,-0.1109045
16,-0.18387915,-0.12858161,"('unpopular', 'popular')",-0.1838792,-0.1285816,0.0552976
17,-0.008040519,0.0396204,"('nasty', 'nice')",-0.0080405,0.0396204,0.0476609
18,-0.71960956,-0.87118334,"('disagreeable', 'welcoming')",-0.7196096,-0.8711833,-0.1515737
19,-0.23514268,-0.13234869,"('inhospitable', 'hospitable')",-0.2351427,-0.1323487,0.102794
20,0.7442901,0.62332207,"('rough', 'thoughtful')",0.7442901,0.6233221,-0.120968
21,-0.06968024,0.089992784,"('immoral', 'moral')",-0.0696802,0.0899928,0.159673
22,-0.4909887,-0.48301104,"('untrustworthy', 'trustworthy')",-0.4909887,-0.483011,0.0079777
23,6.486115,6.3473105,"('insincere', 'sincere')",6.486115,6.3473105,-0.1388045
24,1.9077429,1.8704122,"('dishonest', 'honest')",1.9077429,1.8704122,-0.0373307
25,0.6090519,0.4464776,"('egoistic', 'altruistic')",0.6090519,0.4464776,-0.1625743
26,0.1805093,0.07564509,"('hardhearted', 'benevolent')",0.1805093,0.0756451,-0.1048642
27,1.7482665,1.6367155,"('hardhearted', 'softhearted')",1.7482665,1.6367155,-0.111551
28,1.53758,1.4851127,"('disloyal', 'loyal')",1.53758,1.4851127,-0.0524673
29,-0.30474758,-0.4360469,"('unfair', 'fair')",-0.3047476,-0.4360469,-0.1312993
30,0.8476549,0.8054124,"('intolerant', 'tolerant')",0.8476549,0.8054124,-0.0422425
31,-1.128157,-1.1811919,"('evil', 'good')",-1.128157,-1.1811919,-0.0530349
32,1.3563823,1.2922416,"('unkind', 'kind')",1.3563823,1.2922416,-0.0641407
33,-0.43337208,-0.37555236,"('wrong', 'right')",-0.4333721,-0.3755524,0.0578197
34,4.770375,4.8268733,"('mean', 'honorable')",4.7703748,4.8268733,0.0564985
35,-0.6187264,-0.81399345,"('corrupt', 'incorrupt')",-0.6187264,-0.8139935,-0.1952671
36,-0.6015055,-0.73249817,"('hostile', 'amicable')",-0.6015055,-0.7324982,-0.1309927
37,1.099762,1.055603,"('fake', 'genuine')",1.099762,1.055603,-0.044159
38,0.012567103,0.05023703,"('untruthful', 'truthful')",0.0125671,0.050237,0.0376699
