,curd_male,curd_female,tuple,average_male,average_female,female-male
0,-0.056147628,-0.057026982,"('unsociable', 'sociable')",-0.0561476,-0.057027,-0.0008794
1,-0.059391133,-0.24533403,"('unfriendly', 'friendly')",-0.0593911,-0.245334,-0.1859429
2,-0.118324466,-0.091631904,"('unlikable', 'likable')",-0.1183245,-0.0916319,0.0266926
3,-0.70322245,-0.60091865,"('repellent', 'pleasant')",-0.7032225,-0.6009187,0.1023038
4,-3.9122539,-4.009755,"('disliked', 'liked')",-3.9122539,-4.0097551,-0.0975012
5,-0.2844286,-0.3660598,"('distant', 'outgoing')",-0.2844286,-0.3660598,-0.0816312
6,-0.055707023,-0.23695102,"('distant', 'open')",-0.055707,-0.236951,-0.181244
7,0.5692665,0.6672203,"('insensitive', 'sensitive')",0.5692665,0.6672203,0.0979538
8,-0.4974215,-0.6700858,"('unaffectionate', 'affectionate')",-0.4974215,-0.6700858,-0.1726643
9,-0.35340127,-0.38620797,"('unaffectionate', 'caring')",-0.3534013,-0.386208,-0.0328067
10,-0.038905013,-0.004495796,"('unsympathetic', 'sympathetic')",-0.038905,-0.0044958,0.0344092
11,0.38989657,0.6913944,"('unhelpful', 'helpful')",0.3898966,0.6913944,0.3014978
12,-1.9961069,-1.8651483,"('unsupportive', 'supportive')",-1.9961069,-1.8651483,0.1309586
13,-0.3959473,-0.19591391,"('impolite', 'polite')",-0.3959473,-0.1959139,0.2000334
14,-0.17917186,0.12113761,"('antisocial', 'social')",-0.1791719,0.1211376,0.3003095
15,0.83157194,0.6677363,"('boring', 'funny')",0.8315719,0.6677363,-0.1638356
16,-0.84200317,-1.0168765,"('unpopular', 'popular')",-0.8420032,-1.0168765,-0.1748733
17,-0.8414688,-0.7452299,"('nasty', 'nice')",-0.8414688,-0.7452299,0.0962389
18,-0.8647703,-0.7974923,"('disagreeable', 'welcoming')",-0.8647703,-0.7974923,0.067278
19,0.24285685,0.026410785,"('inhospitable', 'hospitable')",0.2428568,0.0264108,-0.216446
20,0.07988064,0.089367434,"('rough', 'thoughtful')",0.0798806,0.0893674,0.0094868
21,-0.98810613,-0.6595187,"('immoral', 'moral')",-0.9881061,-0.6595187,0.3285874
22,0.73501927,0.7692681,"('untrustworthy', 'trustworthy')",0.7350193,0.7692681,0.0342488
23,3.1402268,3.2888584,"('insincere', 'sincere')",3.1402268,3.2888584,0.1486316
24,0.5363197,0.5500533,"('dishonest', 'honest')",0.5363197,0.5500533,0.0137336
