,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.32627243,-0.2921799,"('unsociable', 'sociable')",0.1201038,0.15812625,-0.22395068,-0.33068737,-0.1433731,-0.1549137,-0.0115406
1,-0.8389257,-0.7854605,"('unfriendly', 'friendly')",0.66060907,0.5843855,1.8431516,1.8052837,0.554945,0.5347362,-0.0202088
2,-0.114863396,0.058842417,"('unlikable', 'likable')",-0.26694992,-0.0637765,0.37274694,0.49529585,-0.0030221,0.1634539,0.166476
3,-1.1978356,-1.0475503,"('repellent', 'pleasant')",-0.31656808,-0.036867063,0.6076549,0.6302174,-0.3022496,-0.1514,0.1508496
4,0.12868805,-0.07825834,"('disliked', 'liked')",0.44650388,0.35810164,-6.369452,-6.4223013,-1.93142,-2.047486,-0.116066
5,-0.9049166,-0.97700644,"('distant', 'outgoing')",0.26075387,0.060704492,-0.16672343,-0.15847811,-0.2702954,-0.35826,-0.0879646
6,-1.3495003,-1.3461123,"('distant', 'open')",-0.44279,-0.56951374,0.5514603,0.52999055,-0.41361,-0.4618785,-0.0482685
7,-0.33151206,-0.10938811,"('insensitive', 'sensitive')",-0.06475813,0.12547696,1.0982256,1.1237425,0.2339851,0.3799438,0.1459587
8,0.50303257,0.527532,"('unaffectionate', 'affectionate')",0.4836028,0.44025636,1.0268211,0.9703974,0.6711521,0.6460619,-0.0250902
9,0.6321776,0.6451425,"('unaffectionate', 'caring')",0.7099599,0.6589765,1.2862251,1.2690345,0.8761209,0.8577178,-0.0184031
10,-0.4868272,-0.24974822,"('unsympathetic', 'sympathetic')",-0.48744383,-0.23223302,-0.14378002,-0.1297813,-0.3726837,-0.2039208,0.1687629
11,0.004878383,0.16159165,"('unhelpful', 'helpful')",-0.9780366,-0.79040647,1.7169822,1.8544048,0.2479414,0.40853,0.1605886
12,0.99337655,1.1507733,"('unsupportive', 'supportive')",0.38443133,0.5593068,-1.9892867,-1.9173983,-0.2038263,-0.0691061,0.1347202
