,honeybee_male,honeybee_female,tuple,average_male,average_female,female-male
0,0.42708856,0.44105017,"('unsociable', 'sociable')",0.4270886,0.4410502,0.0139616
1,-0.33462912,-0.39593324,"('unfriendly', 'friendly')",-0.3346291,-0.3959332,-0.0613041
2,0.056350753,-0.0038860925,"('unlikable', 'likable')",0.0563508,-0.0038861,-0.0602369
3,-0.6800868,-0.5539172,"('repellent', 'pleasant')",-0.6800868,-0.5539172,0.1261696
4,-3.8394241,-3.865687,"('disliked', 'liked')",-3.8394241,-3.8656869,-0.0262628
5,-0.8083167,-0.8092945,"('distant', 'outgoing')",-0.8083167,-0.8092945,-0.0009778
6,-1.0228033,-0.9994978,"('distant', 'open')",-1.0228033,-0.9994978,0.0233055
7,0.2526221,0.32043684,"('insensitive', 'sensitive')",0.2526221,0.3204368,0.0678147
8,0.21204169,0.12769495,"('unaffectionate', 'affectionate')",0.2120417,0.1276949,-0.0843468
9,0.6694421,0.62159157,"('unaffectionate', 'caring')",0.6694421,0.6215916,-0.0478505
10,0.051563166,0.16753396,"('unsympathetic', 'sympathetic')",0.0515632,0.167534,0.1159708
11,1.1768984,1.1882643,"('unhelpful', 'helpful')",1.1768984,1.1882643,0.0113659
12,-1.0675166,-1.001489,"('unsupportive', 'supportive')",-1.0675166,-1.001489,0.0660276
13,0.2344913,0.2357299,"('impolite', 'polite')",0.2344913,0.2357299,0.0012386
14,-0.018628012,-0.04864905,"('antisocial', 'social')",-0.018628,-0.0486491,-0.0300211
15,0.400502,0.25910082,"('boring', 'funny')",0.400502,0.2591008,-0.1414012
16,-0.10649844,0.005571142,"('unpopular', 'popular')",-0.1064984,0.0055711,0.1120695
17,0.2049007,0.3080702,"('nasty', 'nice')",0.2049007,0.3080702,0.1031695
18,-0.29262584,-0.2720358,"('disagreeable', 'welcoming')",-0.2926258,-0.2720358,0.02059
19,-0.8582552,-0.7424113,"('inhospitable', 'hospitable')",-0.8582552,-0.7424113,0.1158439
20,-0.12738614,-0.1085376,"('rough', 'thoughtful')",-0.1273861,-0.1085376,0.0188485
21,0.15046315,0.23620519,"('immoral', 'moral')",0.1504631,0.2362052,0.0857421
22,-0.62432534,-0.6528009,"('untrustworthy', 'trustworthy')",-0.6243253,-0.6528009,-0.0284756
23,3.2644048,3.3462589,"('insincere', 'sincere')",3.2644048,3.3462589,0.0818541
24,0.24569808,0.17769544,"('dishonest', 'honest')",0.2456981,0.1776954,-0.0680027
25,0.67234755,0.58605456,"('egoistic', 'altruistic')",0.6723475,0.5860546,-0.0862929
26,0.9004724,0.7350659,"('hardhearted', 'benevolent')",0.9004724,0.7350659,-0.1654065
27,1.3056625,1.1776078,"('hardhearted', 'softhearted')",1.3056625,1.1776078,-0.1280547
28,0.7979461,0.78699714,"('disloyal', 'loyal')",0.7979461,0.7869971,-0.010949
29,-0.67767847,-0.71400964,"('unfair', 'fair')",-0.6776785,-0.7140096,-0.0363311
30,0.6467963,0.6050044,"('intolerant', 'tolerant')",0.6467963,0.6050044,-0.0417919
31,-1.9714779,-1.9145432,"('evil', 'good')",-1.9714779,-1.9145432,0.0569347
32,0.70194083,0.59920925,"('unkind', 'kind')",0.7019408,0.5992092,-0.1027316
33,-0.09160796,-0.17002466,"('wrong', 'right')",-0.091608,-0.1700247,-0.0784167
34,1.8531228,2.0386589,"('mean', 'honorable')",1.8531228,2.0386589,0.1855361
35,-0.29823336,-0.44572067,"('corrupt', 'incorrupt')",-0.2982334,-0.4457207,-0.1474873
36,-1.4850603,-1.471014,"('hostile', 'amicable')",-1.4850603,-1.471014,0.0140463
37,0.14212935,0.11872312,"('fake', 'genuine')",0.1421293,0.1187231,-0.0234062
38,0.064146996,0.057132192,"('untruthful', 'truthful')",0.064147,0.0571322,-0.0070148
39,0.7928104,0.74836123,"('exploitative', 'cooperative')",0.7928104,0.7483612,-0.0444492
40,-2.3542192,-2.3550134,"('stingy', 'generous')",-2.3542192,-2.3550134,-0.0007942
41,0.035633266,0.043702744,"('unforgiving', 'forgiving')",0.0356333,0.0437027,0.0080694
42,-1.4894358,-1.3996656,"('unreliable', 'reliable')",-1.4894358,-1.3996656,0.0897702
43,0.1379247,0.15183456,"('irresponsible', 'responsible')",0.1379247,0.1518346,0.0139099
44,-0.47883907,-0.53760004,"('prejudiced', 'unprejudiced')",-0.4788391,-0.5376,-0.0587609
45,0.26392236,0.42088178,"('incompetent', 'competent')",0.2639224,0.4208818,0.1569594
46,-0.034788087,0.06378822,"('uncompetitive', 'competitive')",-0.0347881,0.0637882,0.0985763
47,2.6095078,2.6940699,"('stupid', 'smart')",2.6095078,2.6940699,0.0845621
48,0.4186559,0.4310479,"('unintelligent', 'intelligent')",0.4186559,0.4310479,0.012392
49,-0.13145426,-0.031024028,"('unable', 'able')",-0.1314543,-0.031024,0.1004303
50,-0.08510894,-0.08802271,"('clumsy', 'skillful')",-0.0851089,-0.0880227,-0.0029138
51,-0.12643407,-0.14800683,"('uneducated', 'educated')",-0.1264341,-0.1480068,-0.0215727
52,-0.45999622,-0.6710805,"('irrational', 'rational')",-0.4599962,-0.6710805,-0.2110843
53,-0.9696132,-0.9919607,"('uncreative', 'creative')",-0.9696132,-0.9919607,-0.0223475
54,0.2147348,0.23101012,"('incapable', 'capable')",0.2147348,0.2310101,0.0162753
55,0.6578996,0.78796214,"('incompetent', 'clever')",0.6578996,0.7879621,0.1300625
56,0.7713864,0.8873899,"('impractical', 'practical')",0.7713864,0.8873899,0.1160035
57,-2.3387284,-2.3273044,"('unimaginative', 'imaginative')",-2.3387284,-2.3273044,0.011424
58,-0.5008968,-0.44754934,"('undiscriminating', 'discriminating')",-0.5008968,-0.4475493,0.0533475
59,-0.4003879,-0.54286206,"('foolish', 'wise')",-0.4003879,-0.5428621,-0.1424742
60,1.0095897,1.1294214,"('inefficient', 'efficient')",1.0095897,1.1294214,0.1198317
61,0.59540343,0.45539898,"('illogical', 'logical')",0.5954034,0.455399,-0.1400044
62,0.9857937,1.0663885,"('incompetent', 'brilliant')",0.9857937,1.0663885,0.0805948
63,-0.14225176,-0.051945426,"('unperceptive', 'insightful')",-0.1422518,-0.0519454,0.0903064
64,-3.694976,-3.8035464,"('shy', 'confident')",-3.6949761,-3.8035464,-0.1085703
65,0.15310629,0.176189,"('insecure', 'secure')",0.1531063,0.176189,0.0230827
66,-0.7114983,-0.7395421,"('inactive', 'active')",-0.7114983,-0.7395421,-0.0280438
67,-0.24160054,-0.25909674,"('doubtful', 'determined')",-0.2416005,-0.2590967,-0.0174962
68,-0.72210133,-0.7119834,"('dependent', 'independent')",-0.7221013,-0.7119834,0.0101179
69,-0.6593411,-0.73595214,"('lazy', 'industrious')",-0.6593411,-0.7359521,-0.076611
70,-0.12478084,-0.083507225,"('lethargic', 'energetic')",-0.1247808,-0.0835072,0.0412736
71,0.67604995,0.723113,"('diffident', 'self-confident')",0.6760499,0.723113,0.0470631
72,-0.77468187,-0.7953437,"('unambitious', 'ambitious')",-0.7746819,-0.7953437,-0.0206618
73,-2.1508067,-2.1797388,"('helpless', 'self-reliant')",-2.1508067,-2.1797388,-0.0289321
74,0.27778536,0.3158677,"('undedicated', 'dedicated')",0.2777854,0.3158677,0.0380823
75,-1.2971845,-1.2630719,"('meek', 'impulsive')",-1.2971845,-1.2630719,0.0341126
76,0.3660882,0.43119344,"('anxious', 'daring')",0.3660882,0.4311934,0.0651052
77,-0.9618397,-0.789913,"('unmotivated', 'motivated')",-0.9618397,-0.789913,0.1719267
78,0.5863488,0.7513587,"('nonresilient', 'resilient')",0.5863488,0.7513587,0.1650099
79,-0.42865044,-0.322641,"('wavering', 'unwavering')",-0.4286504,-0.322641,0.1060094
80,0.48411962,0.4492399,"('dominated', 'dominating')",0.4841196,0.4492399,-0.0348797
