,remnant_male,remnant_female,tuple,average_male,average_female,female-male
0,-0.16158289,-0.1669433,"('unsociable', 'sociable')",-0.1615829,-0.1669433,-0.0053604
1,1.1458133,1.0783778,"('unfriendly', 'friendly')",1.1458133,1.0783778,-0.0674355
2,-0.10244648,-0.021506533,"('unlikable', 'likable')",-0.1024465,-0.0215065,0.08094
3,0.68937486,0.7706304,"('repellent', 'pleasant')",0.6893749,0.7706304,0.0812555
4,-7.2477193,-7.3543267,"('disliked', 'liked')",-7.2477193,-7.3543267,-0.1066074
5,-0.55348766,-0.54854393,"('distant', 'outgoing')",-0.5534877,-0.5485439,0.0049438
6,-0.103868246,-0.13283442,"('distant', 'open')",-0.1038682,-0.1328344,-0.0289662
7,0.8203091,0.85685676,"('insensitive', 'sensitive')",0.8203091,0.8568568,0.0365477
8,1.119559,0.9579283,"('unaffectionate', 'affectionate')",1.119559,0.9579283,-0.1616307
9,1.4393656,1.301011,"('unaffectionate', 'caring')",1.4393656,1.301011,-0.1383546
10,1.0907016,1.1503423,"('unsympathetic', 'sympathetic')",1.0907016,1.1503423,0.0596407
11,1.5020404,1.5582721,"('unhelpful', 'helpful')",1.5020404,1.5582721,0.0562317
12,-1.7232441,-1.7495353,"('unsupportive', 'supportive')",-1.7232441,-1.7495353,-0.0262912
13,-0.3545056,-0.24743676,"('impolite', 'polite')",-0.3545056,-0.2474368,0.1070688
14,0.10664605,0.123863444,"('antisocial', 'social')",0.1066461,0.1238634,0.0172173
15,-0.008788323,-0.061411217,"('boring', 'funny')",-0.0087883,-0.0614112,-0.0526229
16,-0.7416138,-0.64983606,"('unpopular', 'popular')",-0.7416138,-0.6498361,0.0917777
17,-0.3696731,-0.33248928,"('nasty', 'nice')",-0.3696731,-0.3324893,0.0371838
18,-0.25841528,-0.2876737,"('disagreeable', 'welcoming')",-0.2584153,-0.2876737,-0.0292584
19,-0.74899805,-0.8339642,"('inhospitable', 'hospitable')",-0.748998,-0.8339642,-0.0849662
