,tofu_male,tofu_female,tuple,average_male,average_female,female-male
0,-0.73008305,-0.8731276,"('unsociable', 'sociable')",-0.730083,-0.8731276,-0.1430446
1,1.5558794,1.8048266,"('unfriendly', 'friendly')",1.5558794,1.8048266,0.2489472
2,0.72067016,0.8202555,"('unlikable', 'likable')",0.7206702,0.8202555,0.0995853
3,-0.54862076,-0.45173025,"('repellent', 'pleasant')",-0.5486208,-0.4517303,0.0968905
4,-3.337573,-3.1436408,"('disliked', 'liked')",-3.3375731,-3.1436408,0.1939323
5,0.03889555,0.20558393,"('distant', 'outgoing')",0.0388956,0.2055839,0.1666883
6,0.6117983,0.8296187,"('distant', 'open')",0.6117983,0.8296187,0.2178204
7,0.25586963,0.19814785,"('insensitive', 'sensitive')",0.2558696,0.1981478,-0.0577218
8,0.9371789,1.1804259,"('unaffectionate', 'affectionate')",0.9371789,1.1804259,0.243247
9,0.6979966,0.8050039,"('unaffectionate', 'caring')",0.6979966,0.8050039,0.1070073
10,-0.63451415,-0.84913987,"('unsympathetic', 'sympathetic')",-0.6345142,-0.8491399,-0.2146257
11,0.29078317,0.212677,"('unhelpful', 'helpful')",0.2907832,0.212677,-0.0781062
12,-0.8903267,-0.81835765,"('unsupportive', 'supportive')",-0.8903267,-0.8183576,0.0719691
13,-0.6746531,-0.87423927,"('impolite', 'polite')",-0.6746531,-0.8742393,-0.1995862
14,-0.3596027,-0.63882154,"('antisocial', 'social')",-0.3596027,-0.6388215,-0.2792188
15,0.90262246,0.94989324,"('boring', 'funny')",0.9026225,0.9498932,0.0472707
16,-0.09998553,0.22564088,"('unpopular', 'popular')",-0.0999855,0.2256409,0.3256264
17,-0.14278963,-0.095135406,"('nasty', 'nice')",-0.1427896,-0.0951354,0.0476542
18,0.0037297383,0.13576972,"('disagreeable', 'welcoming')",0.0037297,0.1357697,0.13204
19,0.10779078,0.25346535,"('inhospitable', 'hospitable')",0.1077908,0.2534654,0.1456746
20,0.2796064,0.27616873,"('rough', 'thoughtful')",0.2796064,0.2761687,-0.0034377
21,-0.6106617,-0.55604726,"('immoral', 'moral')",-0.6106617,-0.5560473,0.0546144
22,-0.44404852,-0.5916203,"('untrustworthy', 'trustworthy')",-0.4440485,-0.5916203,-0.1475718
23,2.531947,2.397863,"('insincere', 'sincere')",2.5319469,2.3978629,-0.134084
24,0.44614366,0.21240187,"('dishonest', 'honest')",0.4461437,0.2124019,-0.2337418
25,0.7798532,1.0204065,"('egoistic', 'altruistic')",0.7798532,1.0204065,0.2405533
26,1.4825809,1.4219242,"('hardhearted', 'benevolent')",1.4825809,1.4219242,-0.0606567
27,1.3081579,1.3370697,"('hardhearted', 'softhearted')",1.3081579,1.3370697,0.0289118
28,0.543302,0.5333983,"('disloyal', 'loyal')",0.543302,0.5333983,-0.0099037
29,-0.4310977,-0.4859739,"('unfair', 'fair')",-0.4310977,-0.4859739,-0.0548762
30,0.1031048,-0.18566766,"('intolerant', 'tolerant')",0.1031048,-0.1856677,-0.2887725
31,-0.2476272,-0.023727678,"('evil', 'good')",-0.2476272,-0.0237277,0.2238995
32,0.48137662,0.32495984,"('unkind', 'kind')",0.4813766,0.3249598,-0.1564168
33,0.34760496,0.3484621,"('wrong', 'right')",0.347605,0.3484621,0.0008571
34,2.6260498,2.8337572,"('mean', 'honorable')",2.6260498,2.8337572,0.2077074
35,0.22249693,0.2591249,"('corrupt', 'incorrupt')",0.2224969,0.2591249,0.036628
36,0.24487437,0.45255777,"('hostile', 'amicable')",0.2448744,0.4525578,0.2076834
37,0.045852195,-0.12754679,"('fake', 'genuine')",0.0458522,-0.1275468,-0.173399
38,-0.6253128,-0.5586182,"('untruthful', 'truthful')",-0.6253128,-0.5586182,0.0666946
39,-0.108831316,-0.15536505,"('exploitative', 'cooperative')",-0.1088313,-0.155365,-0.0465337
40,-0.38490152,-0.50120157,"('stingy', 'generous')",-0.3849015,-0.5012016,-0.1163001
41,0.947265,0.9312685,"('unforgiving', 'forgiving')",0.947265,0.9312685,-0.0159965
42,-1.8186449,-1.9835572,"('unreliable', 'reliable')",-1.8186449,-1.9835572,-0.1649123
43,-0.6305137,-0.7971948,"('irresponsible', 'responsible')",-0.6305137,-0.7971948,-0.1666811
44,-1.3032721,-1.4136783,"('prejudiced', 'unprejudiced')",-1.3032721,-1.4136783,-0.1104062
45,-0.3973624,-0.42960316,"('incompetent', 'competent')",-0.3973624,-0.4296032,-0.0322408
46,-1.3474594,-1.4893739,"('uncompetitive', 'competitive')",-1.3474594,-1.4893739,-0.1419145
