,cameo_male,cameo_female,tuple,average_male,average_female,female-male
0,-0.30296627,-0.40547532,"('unsociable', 'sociable')",-0.3029663,-0.4054753,-0.102509
1,1.3535479,1.3439881,"('unfriendly', 'friendly')",1.3535479,1.3439881,-0.0095598
2,-0.14731878,-0.039807227,"('unlikable', 'likable')",-0.1473188,-0.0398072,0.1075116
3,0.6198257,0.60907507,"('repellent', 'pleasant')",0.6198257,0.6090751,-0.0107506
4,-7.354722,-7.448552,"('disliked', 'liked')",-7.354722,-7.4485521,-0.0938301
5,-0.4533432,-0.4000472,"('distant', 'outgoing')",-0.4533432,-0.4000472,0.053296
6,0.096350685,0.08799147,"('distant', 'open')",0.0963507,0.0879915,-0.0083592
7,0.6992867,0.6813047,"('insensitive', 'sensitive')",0.6992867,0.6813047,-0.017982
8,1.1725371,1.1807059,"('unaffectionate', 'affectionate')",1.1725371,1.1807059,0.0081688
9,1.2991279,1.4082977,"('unaffectionate', 'caring')",1.2991279,1.4082977,0.1091698
10,0.9494141,0.81450176,"('unsympathetic', 'sympathetic')",0.9494141,0.8145018,-0.1349123
11,1.2768549,1.2630197,"('unhelpful', 'helpful')",1.2768549,1.2630197,-0.0138352
12,-1.8768182,-1.9027636,"('unsupportive', 'supportive')",-1.8768182,-1.9027636,-0.0259454
13,-0.29883376,-0.44978964,"('impolite', 'polite')",-0.2988338,-0.4497896,-0.1509558
14,-0.079727314,-0.23330675,"('antisocial', 'social')",-0.0797273,-0.2333068,-0.1535795
15,0.26435116,0.22839987,"('boring', 'funny')",0.2643512,0.2283999,-0.0359513
16,-0.33943987,-0.18322647,"('unpopular', 'popular')",-0.3394399,-0.1832265,0.1562134
17,-0.4718983,-0.39505425,"('nasty', 'nice')",-0.4718983,-0.3950543,0.076844
18,-0.28210622,-0.38232037,"('disagreeable', 'welcoming')",-0.2821062,-0.3823204,-0.1002142
19,-0.6266813,-0.5999752,"('inhospitable', 'hospitable')",-0.6266813,-0.5999752,0.0267061
20,1.1593548,1.1037831,"('rough', 'thoughtful')",1.1593548,1.1037831,-0.0555717
21,-0.44423595,-0.44157887,"('immoral', 'moral')",-0.444236,-0.4415789,0.0026571
22,-0.6645827,-0.78310114,"('untrustworthy', 'trustworthy')",-0.6645827,-0.7831011,-0.1185184
23,6.30961,6.319252,"('insincere', 'sincere')",6.3096099,6.319252,0.0096421
24,1.4936332,1.3409597,"('dishonest', 'honest')",1.4936332,1.3409597,-0.1526735
25,0.85920036,0.8693433,"('egoistic', 'altruistic')",0.8592004,0.8693433,0.0101429
26,0.8154699,0.82446384,"('hardhearted', 'benevolent')",0.8154699,0.8244638,0.0089939
27,1.8480152,1.7251642,"('hardhearted', 'softhearted')",1.8480152,1.7251642,-0.122851
28,1.0231619,0.98207974,"('disloyal', 'loyal')",1.0231619,0.9820797,-0.0410822
29,-0.5150133,-0.5991764,"('unfair', 'fair')",-0.5150133,-0.5991764,-0.0841631
30,0.7270419,0.65599746,"('intolerant', 'tolerant')",0.7270419,0.6559975,-0.0710444
31,-1.1729007,-1.0733404,"('evil', 'good')",-1.1729007,-1.0733404,0.0995603
32,0.9078844,0.8360755,"('unkind', 'kind')",0.9078844,0.8360755,-0.0718089
33,-0.56966186,-0.5379458,"('wrong', 'right')",-0.5696619,-0.5379458,0.0317161
34,4.4159937,4.516955,"('mean', 'honorable')",4.4159937,4.5169549,0.1009612
35,-0.5234481,-0.6126528,"('corrupt', 'incorrupt')",-0.5234481,-0.6126528,-0.0892047
36,-0.5565924,-0.51810145,"('hostile', 'amicable')",-0.5565924,-0.5181015,0.0384909
37,1.1258018,1.0786047,"('fake', 'genuine')",1.1258018,1.0786047,-0.0471971
38,-0.38220683,-0.35835782,"('untruthful', 'truthful')",-0.3822068,-0.3583578,0.023849
39,0.52031285,0.4224655,"('exploitative', 'cooperative')",0.5203128,0.4224655,-0.0978473
40,-1.182453,-1.3920367,"('stingy', 'generous')",-1.182453,-1.3920367,-0.2095837
41,-0.11926041,-0.15747914,"('unforgiving', 'forgiving')",-0.1192604,-0.1574791,-0.0382187
42,-2.177182,-2.3328018,"('unreliable', 'reliable')",-2.177182,-2.3328018,-0.1556198
43,0.733491,0.67143315,"('irresponsible', 'responsible')",0.733491,0.6714332,-0.0620578
44,-0.8763613,-0.88225967,"('prejudiced', 'unprejudiced')",-0.8763613,-0.8822597,-0.0058984
45,-0.3626051,-0.41028008,"('incompetent', 'competent')",-0.3626051,-0.4102801,-0.047675
46,-0.5379194,-0.72570026,"('uncompetitive', 'competitive')",-0.5379194,-0.7257003,-0.1877809
47,4.7451906,4.858369,"('stupid', 'smart')",4.7451906,4.8583689,0.1131783
48,0.4077987,0.3665798,"('unintelligent', 'intelligent')",0.4077987,0.3665798,-0.0412189
