,lesson_male,lesson_female,tuple,average_male,average_female,female-male
0,0.28685096,0.110140786,"('unsociable', 'sociable')",0.286851,0.1101408,-0.1767102
1,1.1039976,1.128905,"('unfriendly', 'friendly')",1.1039976,1.1289051,0.0249075
2,0.53257453,0.7292899,"('unlikable', 'likable')",0.5325745,0.7292899,0.1967154
3,1.0674367,1.1950487,"('repellent', 'pleasant')",1.0674367,1.1950487,0.127612
4,-7.1710167,-7.127352,"('disliked', 'liked')",-7.1710167,-7.1273522,0.0436645
5,-0.45873812,-0.11393851,"('distant', 'outgoing')",-0.4587381,-0.1139385,0.3447996
6,-0.13444015,0.18571088,"('distant', 'open')",-0.1344402,0.1857109,0.3201511
7,0.8503215,0.9594516,"('insensitive', 'sensitive')",0.8503215,0.9594516,0.1091301
8,0.7469693,0.81009525,"('unaffectionate', 'affectionate')",0.7469693,0.8100953,0.063126
9,1.3994254,1.5703504,"('unaffectionate', 'caring')",1.3994254,1.5703504,0.170925
10,1.5849506,1.6164186,"('unsympathetic', 'sympathetic')",1.5849506,1.6164186,0.031468
11,1.9942757,2.041048,"('unhelpful', 'helpful')",1.9942757,2.041048,0.0467723
12,-1.4910086,-1.444493,"('unsupportive', 'supportive')",-1.4910086,-1.4444931,0.0465155
13,0.7246839,0.5903973,"('impolite', 'polite')",0.7246839,0.5903973,-0.1342866
14,-0.026840981,-0.21844828,"('antisocial', 'social')",-0.026841,-0.2184483,-0.1916073
15,0.2349618,0.1409037,"('boring', 'funny')",0.2349618,0.1409037,-0.0940581
16,-0.39832288,-0.24689734,"('unpopular', 'popular')",-0.3983229,-0.2468973,0.1514256
17,-0.05329969,-0.042155586,"('nasty', 'nice')",-0.0532997,-0.0421556,0.0111441
18,-0.77382725,-0.8140322,"('disagreeable', 'welcoming')",-0.7738273,-0.8140322,-0.0402049
19,-0.6088363,-0.28815755,"('inhospitable', 'hospitable')",-0.6088363,-0.2881576,0.3206787
20,0.72290343,0.57491887,"('rough', 'thoughtful')",0.7229034,0.5749189,-0.1479845
21,0.29270685,0.43435138,"('immoral', 'moral')",0.2927068,0.4343514,0.1416446
22,-0.31109104,-0.34421173,"('untrustworthy', 'trustworthy')",-0.311091,-0.3442117,-0.0331207
23,6.383717,6.4375114,"('insincere', 'sincere')",6.3837171,6.4375114,0.0537943
24,1.7864292,1.8838161,"('dishonest', 'honest')",1.7864292,1.8838161,0.0973869
25,0.23332015,0.14134663,"('egoistic', 'altruistic')",0.2333201,0.1413466,-0.0919735
26,0.105774306,-0.094996855,"('hardhearted', 'benevolent')",0.1057743,-0.0949969,-0.2007712
27,1.5003345,1.4473807,"('hardhearted', 'softhearted')",1.5003345,1.4473807,-0.0529538
28,1.1830939,1.2219573,"('disloyal', 'loyal')",1.1830939,1.2219573,0.0388634
29,-0.5432353,-0.5883674,"('unfair', 'fair')",-0.5432353,-0.5883674,-0.0451321
30,0.965949,0.98040456,"('intolerant', 'tolerant')",0.965949,0.9804046,0.0144556
31,-1.8872025,-1.6718229,"('evil', 'good')",-1.8872025,-1.6718229,0.2153796
32,1.5969384,1.4964654,"('unkind', 'kind')",1.5969384,1.4964654,-0.100473
33,-0.56866974,-0.47313598,"('wrong', 'right')",-0.5686697,-0.473136,0.0955337
34,4.6226163,4.924576,"('mean', 'honorable')",4.6226163,4.9245758,0.3019595
35,-1.4950014,-1.52132,"('corrupt', 'incorrupt')",-1.4950014,-1.52132,-0.0263186
36,-1.2823554,-1.217036,"('hostile', 'amicable')",-1.2823554,-1.217036,0.0653194
37,1.0578773,1.0467743,"('fake', 'genuine')",1.0578773,1.0467743,-0.011103
38,-0.07929634,0.025816254,"('untruthful', 'truthful')",-0.0792963,0.0258163,0.1051126
39,-0.019070733,-0.05471906,"('exploitative', 'cooperative')",-0.0190707,-0.0547191,-0.0356484
40,-1.6924261,-1.8831536,"('stingy', 'generous')",-1.6924261,-1.8831536,-0.1907275
41,-0.05055397,0.0007209163,"('unforgiving', 'forgiving')",-0.050554,0.0007209,0.0512749
42,-1.7811265,-1.8205934,"('unreliable', 'reliable')",-1.7811265,-1.8205934,-0.0394669
43,1.3414592,1.4343818,"('irresponsible', 'responsible')",1.3414592,1.4343818,0.0929226
44,-1.0875847,-1.234865,"('prejudiced', 'unprejudiced')",-1.0875847,-1.234865,-0.1472803
45,0.53307086,0.62573916,"('incompetent', 'competent')",0.5330709,0.6257392,0.0926683
46,-0.21506469,-0.23993382,"('uncompetitive', 'competitive')",-0.2150647,-0.2399338,-0.0248691
47,5.483549,5.703547,"('stupid', 'smart')",5.4835491,5.703547,0.2199979
48,0.49125266,0.39679086,"('unintelligent', 'intelligent')",0.4912527,0.3967909,-0.0944618
49,0.4363137,0.7291832,"('unable', 'able')",0.4363137,0.7291832,0.2928695
50,-0.066020645,-0.026694229,"('clumsy', 'skillful')",-0.0660206,-0.0266942,0.0393264
51,0.85507476,0.8104614,"('uneducated', 'educated')",0.8550748,0.8104614,-0.0446134
52,-0.57947594,-0.44393128,"('irrational', 'rational')",-0.5794759,-0.4439313,0.1355446
53,-0.062335916,-0.019490883,"('uncreative', 'creative')",-0.0623359,-0.0194909,0.042845
54,1.2600585,1.533797,"('incapable', 'capable')",1.2600585,1.533797,0.2737385
55,0.9492374,0.85201293,"('incompetent', 'clever')",0.9492374,0.8520129,-0.0972245
56,1.0070766,1.0153453,"('impractical', 'practical')",1.0070766,1.0153453,0.0082687
57,-2.2701948,-2.2693074,"('unimaginative', 'imaginative')",-2.2701948,-2.2693074,0.0008874
58,-0.19230023,-0.24815883,"('undiscriminating', 'discriminating')",-0.1923002,-0.2481588,-0.0558586
59,-0.09357437,0.074876145,"('foolish', 'wise')",-0.0935744,0.0748761,0.1684505
60,1.3153108,1.2112916,"('inefficient', 'efficient')",1.3153108,1.2112916,-0.1040192
61,0.18496549,0.10458431,"('illogical', 'logical')",0.1849655,0.1045843,-0.0803812
62,1.5191108,1.5930853,"('incompetent', 'brilliant')",1.5191108,1.5930853,0.0739745
63,0.5691405,0.66564804,"('unperceptive', 'insightful')",0.5691405,0.665648,0.0965075
64,-5.499491,-5.446838,"('shy', 'confident')",-5.4994912,-5.4468379,0.0526533
65,0.75328624,0.64110434,"('insecure', 'secure')",0.7532862,0.6411043,-0.1121819
66,0.017148625,0.083118096,"('inactive', 'active')",0.0171486,0.0831181,0.0659695
67,-0.0579558,-0.046336494,"('doubtful', 'determined')",-0.0579558,-0.0463365,0.0116193
68,-0.4284345,-0.31589058,"('dependent', 'independent')",-0.4284345,-0.3158906,0.1125439
69,-2.0229404,-1.8351659,"('lazy', 'industrious')",-2.0229404,-1.8351659,0.1877745
70,1.6785587,1.6593323,"('lethargic', 'energetic')",1.6785587,1.6593323,-0.0192264
71,0.36820412,0.5125123,"('diffident', 'self-confident')",0.3682041,0.5125123,0.1443082
72,1.0636103,1.0635545,"('unambitious', 'ambitious')",1.0636103,1.0635545,-5.58e-05
73,-2.8813038,-2.9068415,"('helpless', 'self-reliant')",-2.8813038,-2.9068415,-0.0255377
