,sandal_male,sandal_female,tuple,average_male,average_female,female-male
0,1.1152755,0.78081244,"('unsociable', 'sociable')",1.1152755,0.7808124,-0.3344631
1,-0.8441361,-1.052355,"('unfriendly', 'friendly')",-0.8441361,-1.0523551,-0.208219
2,0.65103245,0.70152444,"('unlikable', 'likable')",0.6510324,0.7015244,0.050492
3,0.22933328,0.34205866,"('repellent', 'pleasant')",0.2293333,0.3420587,0.1127254
4,-2.9861462,-2.884602,"('disliked', 'liked')",-2.9861462,-2.8846021,0.1015441
5,-1.8493224,-1.8195276,"('distant', 'outgoing')",-1.8493224,-1.8195276,0.0297948
6,-1.7938385,-1.8260635,"('distant', 'open')",-1.7938385,-1.8260635,-0.032225
7,1.2645625,1.1389037,"('insensitive', 'sensitive')",1.2645625,1.1389037,-0.1256588
8,-0.79447675,-0.72187275,"('unaffectionate', 'affectionate')",-0.7944767,-0.7218727,0.072604
9,-0.6675472,-0.72699285,"('unaffectionate', 'caring')",-0.6675472,-0.7269928,-0.0594456
10,0.9574747,0.68697435,"('unsympathetic', 'sympathetic')",0.9574747,0.6869743,-0.2705004
11,1.2038304,1.0809702,"('unhelpful', 'helpful')",1.2038304,1.0809702,-0.1228602
12,-0.8404214,-0.8877217,"('unsupportive', 'supportive')",-0.8404214,-0.8877217,-0.0473003
13,0.41808265,0.13150038,"('impolite', 'polite')",0.4180827,0.1315004,-0.2865823
14,1.6298356,1.4605616,"('antisocial', 'social')",1.6298356,1.4605616,-0.169274
15,0.7831383,0.65487194,"('boring', 'funny')",0.7831383,0.6548719,-0.1282664
16,-0.5108787,-0.41447198,"('unpopular', 'popular')",-0.5108787,-0.414472,0.0964067
17,-0.66741884,-0.74217457,"('nasty', 'nice')",-0.6674188,-0.7421746,-0.0747558
18,-0.5999541,-0.3765087,"('disagreeable', 'welcoming')",-0.5999541,-0.3765087,0.2234454
19,-1.3423676,-1.33523,"('inhospitable', 'hospitable')",-1.3423676,-1.33523,0.0071376
20,0.034848742,0.1330566,"('rough', 'thoughtful')",0.0348487,0.1330566,0.0982079
21,0.71518874,0.7736701,"('immoral', 'moral')",0.7151887,0.7736701,0.0584814
22,0.7904618,0.61975867,"('untrustworthy', 'trustworthy')",0.7904618,0.6197587,-0.1707031
23,2.9908423,2.8083177,"('insincere', 'sincere')",2.9908423,2.8083177,-0.1825246
24,0.59294647,0.34272718,"('dishonest', 'honest')",0.5929465,0.3427272,-0.2502193
25,0.03423582,0.08524605,"('egoistic', 'altruistic')",0.0342358,0.085246,0.0510102
26,0.0762105,-0.31738192,"('hardhearted', 'benevolent')",0.0762105,-0.3173819,-0.3935924
27,-0.54422057,-0.6695765,"('hardhearted', 'softhearted')",-0.5442206,-0.6695765,-0.1253559
28,0.20243199,0.16157176,"('disloyal', 'loyal')",0.202432,0.1615718,-0.0408602
29,-0.8269333,-0.8600857,"('unfair', 'fair')",-0.8269333,-0.8600857,-0.0331524
30,1.6056877,1.4526258,"('intolerant', 'tolerant')",1.6056877,1.4526258,-0.1530619
31,-2.5057235,-2.465898,"('evil', 'good')",-2.5057235,-2.465898,0.0398255
32,0.6908925,0.3418954,"('unkind', 'kind')",0.6908925,0.3418954,-0.3489971
33,-0.4748805,-0.45884573,"('wrong', 'right')",-0.4748805,-0.4588457,0.0160348
34,1.4049809,1.4407381,"('mean', 'honorable')",1.4049809,1.4407381,0.0357572
35,-1.5800978,-1.635048,"('corrupt', 'incorrupt')",-1.5800978,-1.635048,-0.0549502
36,-1.8017974,-1.7186854,"('hostile', 'amicable')",-1.8017974,-1.7186854,0.083112
37,0.29342186,0.25888833,"('fake', 'genuine')",0.2934219,0.2588883,-0.0345336
38,-0.28935662,-0.39904225,"('untruthful', 'truthful')",-0.2893566,-0.3990422,-0.1096856
39,0.28436634,0.33914238,"('exploitative', 'cooperative')",0.2843663,0.3391424,0.0547761
40,-0.9048853,-1.0200776,"('stingy', 'generous')",-0.9048853,-1.0200776,-0.1151923
41,0.866808,0.7654141,"('unforgiving', 'forgiving')",0.866808,0.7654141,-0.1013939
42,0.43649668,0.44177288,"('unreliable', 'reliable')",0.4364967,0.4417729,0.0052762
43,0.8212179,0.70370823,"('irresponsible', 'responsible')",0.8212179,0.7037082,-0.1175097
44,-1.5858996,-1.4278152,"('prejudiced', 'unprejudiced')",-1.5858996,-1.4278152,0.1580844
45,0.952407,0.7182046,"('incompetent', 'competent')",0.952407,0.7182046,-0.2342024
46,1.161662,1.048776,"('uncompetitive', 'competitive')",1.161662,1.048776,-0.112886
47,2.2128413,2.0684283,"('stupid', 'smart')",2.2128413,2.0684283,-0.144413
48,0.19408078,0.19198838,"('unintelligent', 'intelligent')",0.1940808,0.1919884,-0.0020924
49,-0.5747177,-0.31243837,"('unable', 'able')",-0.5747177,-0.3124384,0.2622793
50,-0.0011649281,0.18822819,"('clumsy', 'skillful')",-0.0011649,0.1882282,0.1893931
51,1.0988774,0.82096535,"('uneducated', 'educated')",1.0988774,0.8209653,-0.2779121
52,-1.1834048,-1.0980611,"('irrational', 'rational')",-1.1834048,-1.0980611,0.0853437
53,-0.62736964,-0.6828273,"('uncreative', 'creative')",-0.6273696,-0.6828273,-0.0554577
54,-0.18930545,-0.29265475,"('incapable', 'capable')",-0.1893055,-0.2926548,-0.1033493
55,1.8878523,1.8694586,"('incompetent', 'clever')",1.8878523,1.8694586,-0.0183937
56,1.8239158,1.5989769,"('impractical', 'practical')",1.8239158,1.5989769,-0.2249389
57,-0.35576382,-0.56300163,"('unimaginative', 'imaginative')",-0.3557638,-0.5630016,-0.2072378
58,0.7159497,0.7742174,"('undiscriminating', 'discriminating')",0.7159497,0.7742174,0.0582677
59,-0.7413544,-0.52899253,"('foolish', 'wise')",-0.7413544,-0.5289925,0.2123619
60,1.767655,1.7680519,"('inefficient', 'efficient')",1.767655,1.7680519,0.0003969
61,0.555953,0.43109962,"('illogical', 'logical')",0.555953,0.4310996,-0.1248534
62,1.5732422,1.5668516,"('incompetent', 'brilliant')",1.5732422,1.5668516,-0.0063906
63,1.1158925,1.0684557,"('unperceptive', 'insightful')",1.1158925,1.0684557,-0.0474368
64,-2.1020606,-2.241627,"('shy', 'confident')",-2.1020606,-2.241627,-0.1395664
65,1.4350845,1.3962045,"('insecure', 'secure')",1.4350845,1.3962045,-0.03888
66,-1.1774702,-1.362249,"('inactive', 'active')",-1.1774702,-1.362249,-0.1847788
67,0.5699397,0.5632801,"('doubtful', 'determined')",0.5699397,0.5632801,-0.0066596
68,-0.28749564,-0.061487176,"('dependent', 'independent')",-0.2874956,-0.0614872,0.2260084
69,-1.6099962,-1.5436616,"('lazy', 'industrious')",-1.6099962,-1.5436616,0.0663346
70,1.907656,1.6245564,"('lethargic', 'energetic')",1.907656,1.6245564,-0.2830996
71,-0.37288678,-0.43362927,"('diffident', 'self-confident')",-0.3728868,-0.4336293,-0.0607425
72,-0.27111283,-0.26617327,"('unambitious', 'ambitious')",-0.2711128,-0.2661733,0.0049395
73,-1.5996052,-1.3282549,"('helpless', 'self-reliant')",-1.5996052,-1.3282549,0.2713503
74,0.28335902,0.29462916,"('undedicated', 'dedicated')",0.283359,0.2946292,0.0112702
75,-0.88726836,-0.93906015,"('meek', 'impulsive')",-0.8872684,-0.9390602,-0.0517918
76,1.1824913,1.3669152,"('anxious', 'daring')",1.1824913,1.3669152,0.1844239
77,-0.25573263,-0.22321223,"('unmotivated', 'motivated')",-0.2557326,-0.2232122,0.0325204
78,-0.5178793,-0.34171867,"('nonresilient', 'resilient')",-0.5178793,-0.3417187,0.1761606
79,-0.89844227,-0.94321775,"('wavering', 'unwavering')",-0.8984423,-0.9432178,-0.0447755
80,0.96649677,0.81431025,"('dominated', 'dominating')",0.9664968,0.8143103,-0.1521865
81,1.4230858,1.2346786,"('submissive', 'aggressive')",1.4230858,1.2346786,-0.1884072
82,2.9934058,2.740025,"('poor', 'rich')",2.9934058,2.740025,-0.2533808
83,-0.019493114,-0.14741078,"('powerless', 'powerful')",-0.0194931,-0.1474108,-0.1279177
84,0.07004657,0.20141073,"('inferior', 'superior')",0.0700466,0.2014107,0.1313641
85,-1.5447295,-1.3707734,"('insignificant', 'prestigious')",-1.5447295,-1.3707734,0.1739561
86,0.17935692,-0.20043066,"('uninfluential', 'influential')",0.1793569,-0.2004307,-0.3797876
87,0.3329288,0.2820962,"('unsuccessful', 'successful')",0.3329288,0.2820962,-0.0508326
88,0.33616802,0.14751577,"('low', 'eminent')",0.336168,0.1475158,-0.1886522
