,spectacles_male,spectacles_female,tuple,average_male,average_female,female-male
0,0.8988859,0.5185174,"('unsociable', 'sociable')",0.8988859,0.5185174,-0.3803685
1,-0.5154666,-0.67605364,"('unfriendly', 'friendly')",-0.5154666,-0.6760536,-0.160587
2,0.3684898,0.46042022,"('unlikable', 'likable')",0.3684898,0.4604202,0.0919304
3,-0.05942681,0.042536624,"('repellent', 'pleasant')",-0.0594268,0.0425366,0.1019634
4,-2.9775372,-2.9436045,"('disliked', 'liked')",-2.9775372,-2.9436045,0.0339327
5,-1.2065866,-1.1349534,"('distant', 'outgoing')",-1.2065866,-1.1349534,0.0716332
6,-1.7615224,-1.7038069,"('distant', 'open')",-1.7615224,-1.7038069,0.0577155
7,0.64054555,0.60423917,"('insensitive', 'sensitive')",0.6405455,0.6042392,-0.0363063
8,-0.9138472,-0.90877926,"('unaffectionate', 'affectionate')",-0.9138472,-0.9087793,0.0050679
9,-0.39249465,-0.39294106,"('unaffectionate', 'caring')",-0.3924946,-0.3929411,-0.0004465
10,0.2746149,-0.011655217,"('unsympathetic', 'sympathetic')",0.2746149,-0.0116552,-0.2862701
11,0.9512794,0.86562854,"('unhelpful', 'helpful')",0.9512794,0.8656285,-0.0856509
12,-0.55252826,-0.6297293,"('unsupportive', 'supportive')",-0.5525283,-0.6297293,-0.077201
13,0.80494314,0.49963576,"('impolite', 'polite')",0.8049431,0.4996358,-0.3053073
14,1.9376444,1.7818222,"('antisocial', 'social')",1.9376444,1.7818222,-0.1558222
15,0.11442597,-0.042845324,"('boring', 'funny')",0.114426,-0.0428453,-0.1572713
16,-0.47126982,-0.2875197,"('unpopular', 'popular')",-0.4712698,-0.2875197,0.1837501
17,-0.33509132,-0.2537887,"('nasty', 'nice')",-0.3350913,-0.2537887,0.0813026
18,-1.4564596,-1.4567293,"('disagreeable', 'welcoming')",-1.4564596,-1.4567293,-0.0002697
19,-1.5464791,-1.5271368,"('inhospitable', 'hospitable')",-1.5464791,-1.5271368,0.0193423
20,0.55139667,0.5339457,"('rough', 'thoughtful')",0.5513967,0.5339457,-0.017451
21,0.39920488,0.32622975,"('immoral', 'moral')",0.3992049,0.3262298,-0.0729751
22,-0.03041483,-0.15252486,"('untrustworthy', 'trustworthy')",-0.0304148,-0.1525249,-0.1221101
23,3.1192646,3.023283,"('insincere', 'sincere')",3.1192646,3.023283,-0.0959816
24,0.40716603,0.2964313,"('dishonest', 'honest')",0.407166,0.2964313,-0.1107347
25,-0.3350047,-0.23095949,"('egoistic', 'altruistic')",-0.3350047,-0.2309595,0.1040452
26,0.41526648,0.2155277,"('hardhearted', 'benevolent')",0.4152665,0.2155277,-0.1997388
27,-0.2520298,-0.22085497,"('hardhearted', 'softhearted')",-0.2520298,-0.220855,0.0311748
28,0.19070649,0.10276891,"('disloyal', 'loyal')",0.1907065,0.1027689,-0.0879376
29,-1.074065,-1.1635981,"('unfair', 'fair')",-1.074065,-1.1635981,-0.0895331
30,0.89582115,0.82806885,"('intolerant', 'tolerant')",0.8958212,0.8280689,-0.0677523
31,-1.8639083,-1.7031746,"('evil', 'good')",-1.8639083,-1.7031746,0.1607337
32,0.71100754,0.4619789,"('unkind', 'kind')",0.7110075,0.4619789,-0.2490286
33,-0.4770438,-0.48628438,"('wrong', 'right')",-0.4770438,-0.4862844,-0.0092406
34,1.7741722,1.8451359,"('mean', 'honorable')",1.7741722,1.8451359,0.0709637
35,-1.2876152,-1.2393863,"('corrupt', 'incorrupt')",-1.2876152,-1.2393863,0.0482289
36,-1.7079971,-1.5592995,"('hostile', 'amicable')",-1.7079971,-1.5592995,0.1486976
37,0.00095996633,-0.07440218,"('fake', 'genuine')",0.00096,-0.0744022,-0.0753622
38,0.005858424,-0.10142045,"('untruthful', 'truthful')",0.0058584,-0.1014204,-0.1072788
39,0.36505008,0.4581149,"('exploitative', 'cooperative')",0.3650501,0.4581149,0.0930648
40,-0.74612206,-0.8126217,"('stingy', 'generous')",-0.7461221,-0.8126217,-0.0664996
41,0.63479114,0.4965623,"('unforgiving', 'forgiving')",0.6347911,0.4965623,-0.1382288
42,-0.9130959,-0.9562458,"('unreliable', 'reliable')",-0.9130959,-0.9562458,-0.0431499
43,0.48623818,0.2718506,"('irresponsible', 'responsible')",0.4862382,0.2718506,-0.2143876
44,-1.4852214,-1.4064276,"('prejudiced', 'unprejudiced')",-1.4852214,-1.4064276,0.0787938
45,0.9494233,0.80295,"('incompetent', 'competent')",0.9494233,0.80295,-0.1464733
46,0.5001359,0.29603058,"('uncompetitive', 'competitive')",0.5001359,0.2960306,-0.2041053
47,2.9902053,3.0707495,"('stupid', 'smart')",2.9902053,3.0707495,0.0805442
