,potty_male,potty_female,tuple,average_male,average_female,female-male
0,0.84405535,0.8242244,"('unsociable', 'sociable')",0.8440554,0.8242244,-0.019831
1,-0.746685,-0.9120672,"('unfriendly', 'friendly')",-0.746685,-0.9120672,-0.1653822
2,-0.59382075,-0.50684667,"('unlikable', 'likable')",-0.5938208,-0.5068467,0.0869741
3,-1.4924477,-1.3231558,"('repellent', 'pleasant')",-1.4924477,-1.3231558,0.1692919
4,-1.4285736,-1.3488349,"('disliked', 'liked')",-1.4285736,-1.3488349,0.0797387
5,-0.46551162,-0.37483203,"('distant', 'outgoing')",-0.4655116,-0.374832,0.0906796
6,-0.5691162,-0.59946555,"('distant', 'open')",-0.5691162,-0.5994655,-0.0303493
7,-0.4852904,-0.37272713,"('insensitive', 'sensitive')",-0.4852904,-0.3727271,0.1125633
8,-0.6615889,-0.7889273,"('unaffectionate', 'affectionate')",-0.6615889,-0.7889273,-0.1273384
9,-0.59774035,-0.67737246,"('unaffectionate', 'caring')",-0.5977404,-0.6773725,-0.0796321
10,-0.6584795,-0.57844204,"('unsympathetic', 'sympathetic')",-0.6584795,-0.578442,0.0800375
11,0.31857267,0.45292535,"('unhelpful', 'helpful')",0.3185727,0.4529254,0.1343527
12,-0.4556281,-0.24953735,"('unsupportive', 'supportive')",-0.4556281,-0.2495373,0.2060908
13,-0.09481476,0.047617838,"('impolite', 'polite')",-0.0948148,0.0476178,0.1424326
14,0.6201646,0.68586904,"('antisocial', 'social')",0.6201646,0.685869,0.0657044
15,0.9413156,0.76899105,"('boring', 'funny')",0.9413156,0.7689911,-0.1723245
16,-0.3701249,-0.34256017,"('unpopular', 'popular')",-0.3701249,-0.3425602,0.0275647
17,-0.13625751,-0.009443104,"('nasty', 'nice')",-0.1362575,-0.0094431,0.1268144
18,-1.6956649,-1.5406225,"('disagreeable', 'welcoming')",-1.6956649,-1.5406225,0.1550424
19,-1.8634831,-1.7618104,"('inhospitable', 'hospitable')",-1.8634831,-1.7618104,0.1016727
20,-0.65827465,-0.607787,"('rough', 'thoughtful')",-0.6582747,-0.607787,0.0504877
21,-1.2147534,-0.9161997,"('immoral', 'moral')",-1.2147534,-0.9161997,0.2985537
22,-0.83687246,-0.6994222,"('untrustworthy', 'trustworthy')",-0.8368725,-0.6994222,0.1374503
23,0.7944314,0.82722616,"('insincere', 'sincere')",0.7944314,0.8272262,0.0327948
24,-0.97187835,-0.9506388,"('dishonest', 'honest')",-0.9718783,-0.9506388,0.0212395
25,-0.0063339644,-0.24160029,"('egoistic', 'altruistic')",-0.006334,-0.2416003,-0.2352663
26,0.98596865,0.69367814,"('hardhearted', 'benevolent')",0.9859686,0.6936781,-0.2922905
27,-0.39800355,-0.37388876,"('hardhearted', 'softhearted')",-0.3980035,-0.3738888,0.0241147
28,-0.21125181,-0.44474792,"('disloyal', 'loyal')",-0.2112518,-0.4447479,-0.2334961
29,-0.9579027,-0.9446685,"('unfair', 'fair')",-0.9579027,-0.9446685,0.0132342
30,-0.042713128,0.10950654,"('intolerant', 'tolerant')",-0.0427131,0.1095065,0.1522196
31,-1.1686902,-1.1186122,"('evil', 'good')",-1.1686902,-1.1186122,0.050078
32,0.0033511072,0.02162373,"('unkind', 'kind')",0.0033511,0.0216237,0.0182726
33,-0.04084324,-0.1436249,"('wrong', 'right')",-0.0408432,-0.1436249,-0.1027817
34,0.48462448,0.75626206,"('mean', 'honorable')",0.4846245,0.7562621,0.2716376
35,-0.2748594,-0.53823805,"('corrupt', 'incorrupt')",-0.2748594,-0.538238,-0.2633786
36,-0.78979117,-0.9701369,"('hostile', 'amicable')",-0.7897912,-0.9701369,-0.1803457
37,-0.13178085,-0.14458372,"('fake', 'genuine')",-0.1317808,-0.1445837,-0.0128029
38,-0.049330737,-0.04023633,"('untruthful', 'truthful')",-0.0493307,-0.0402363,0.0090944
39,-0.6064238,-0.43999434,"('exploitative', 'cooperative')",-0.6064238,-0.4399943,0.1664295
40,-1.2923943,-1.3703048,"('stingy', 'generous')",-1.2923943,-1.3703048,-0.0779105
41,-0.14146928,-0.13453352,"('unforgiving', 'forgiving')",-0.1414693,-0.1345335,0.0069358
42,-0.64782995,-0.43787372,"('unreliable', 'reliable')",-0.6478299,-0.4378737,0.2099562
43,-0.39386028,-0.23536399,"('irresponsible', 'responsible')",-0.3938603,-0.235364,0.1584963
44,-0.71993303,-0.45186585,"('prejudiced', 'unprejudiced')",-0.719933,-0.4518659,0.2680671
45,0.3941183,0.58346987,"('incompetent', 'competent')",0.3941183,0.5834699,0.1893516
46,-0.5511261,-0.45100307,"('uncompetitive', 'competitive')",-0.5511261,-0.4510031,0.100123
47,1.2390205,1.4121015,"('stupid', 'smart')",1.2390205,1.4121015,0.173081
48,-1.0920001,-1.0317392,"('unintelligent', 'intelligent')",-1.0920001,-1.0317392,0.0602609
49,-1.2355134,-0.9133308,"('unable', 'able')",-1.2355134,-0.9133308,0.3221826
50,-0.69753253,-0.7646394,"('clumsy', 'skillful')",-0.6975325,-0.7646394,-0.0671069
51,-1.0513858,-0.98997104,"('uneducated', 'educated')",-1.0513858,-0.989971,0.0614148
52,-0.7900803,-1.0093788,"('irrational', 'rational')",-0.7900803,-1.0093788,-0.2192985
53,-1.9285599,-2.0398295,"('uncreative', 'creative')",-1.9285599,-2.0398295,-0.1112696
54,-0.66418797,-0.6973755,"('incapable', 'capable')",-0.664188,-0.6973755,-0.0331875
55,0.04837791,0.29895455,"('incompetent', 'clever')",0.0483779,0.2989545,0.2505766
56,0.9620745,1.2556466,"('impractical', 'practical')",0.9620745,1.2556466,0.2935721
57,-0.72735864,-0.83221763,"('unimaginative', 'imaginative')",-0.7273586,-0.8322176,-0.104859
58,-0.15092662,-0.23352681,"('undiscriminating', 'discriminating')",-0.1509266,-0.2335268,-0.0826002
59,-0.46949512,-0.62503564,"('foolish', 'wise')",-0.4694951,-0.6250356,-0.1555405
60,0.23678946,0.656508,"('inefficient', 'efficient')",0.2367895,0.656508,0.4197185
61,-0.78536016,-0.8100091,"('illogical', 'logical')",-0.7853602,-0.8100091,-0.0246489
62,0.38928223,0.5772147,"('incompetent', 'brilliant')",0.3892822,0.5772147,0.1879325
63,-0.1980293,-0.064740695,"('unperceptive', 'insightful')",-0.1980293,-0.0647407,0.1332886
64,-1.7781534,-1.6557612,"('shy', 'confident')",-1.7781534,-1.6557612,0.1223922
65,-0.4599862,-0.4494618,"('insecure', 'secure')",-0.4599862,-0.4494618,0.0105244
66,-0.3124229,-0.49910522,"('inactive', 'active')",-0.3124229,-0.4991052,-0.1866823
67,0.8241019,0.9871047,"('doubtful', 'determined')",0.8241019,0.9871047,0.1630028
68,-1.7389165,-1.5807523,"('dependent', 'independent')",-1.7389165,-1.5807523,0.1581642
69,0.025606677,-0.08779997,"('lazy', 'industrious')",0.0256067,-0.0878,-0.1134067
70,-0.071088284,0.005549062,"('lethargic', 'energetic')",-0.0710883,0.0055491,0.0766374
71,-0.08883944,0.01942163,"('diffident', 'self-confident')",-0.0888394,0.0194216,0.108261
72,-0.31911626,-0.35677934,"('unambitious', 'ambitious')",-0.3191163,-0.3567793,-0.037663
73,-0.6972358,-0.7101141,"('helpless', 'self-reliant')",-0.6972358,-0.7101141,-0.0128783
74,-0.41534927,-0.3423023,"('undedicated', 'dedicated')",-0.4153493,-0.3423023,0.073047
75,-0.14332046,-0.17515522,"('meek', 'impulsive')",-0.1433205,-0.1751552,-0.0318347
76,-0.43872756,-0.25183177,"('anxious', 'daring')",-0.4387276,-0.2518318,0.1868958
77,-1.1241597,-0.9353223,"('unmotivated', 'motivated')",-1.1241597,-0.9353223,0.1888374
78,-0.24292815,-0.27408096,"('nonresilient', 'resilient')",-0.2429281,-0.274081,-0.0311529
79,-0.5465651,-0.61236346,"('wavering', 'unwavering')",-0.5465651,-0.6123635,-0.0657984
80,0.5124191,0.33872616,"('dominated', 'dominating')",0.5124191,0.3387262,-0.1736929
81,0.029801399,0.089880705,"('submissive', 'aggressive')",0.0298014,0.0898807,0.0600793
82,0.3713539,0.42571947,"('poor', 'rich')",0.3713539,0.4257195,0.0543656
83,-0.028008219,0.02731188,"('powerless', 'powerful')",-0.0280082,0.0273119,0.0553201
