,permafrost_male,permafrost_female,tuple,average_male,average_female,female-male
0,-1.8764164,-1.9098324,"('unsociable', 'sociable')",-1.8764164,-1.9098324,-0.033416
1,-0.21443915,-0.39363307,"('unfriendly', 'friendly')",-0.2144392,-0.3936331,-0.1791939
2,0.40455633,0.41878825,"('unlikable', 'likable')",0.4045563,0.4187883,0.014232
3,-1.4694849,-1.4014012,"('repellent', 'pleasant')",-1.4694849,-1.4014012,0.0680837
4,-0.686055,-0.6871628,"('disliked', 'liked')",-0.686055,-0.6871628,-0.0011078
5,-0.15664595,-0.2227717,"('distant', 'outgoing')",-0.156646,-0.2227717,-0.0661257
6,-0.18772517,-0.26951835,"('distant', 'open')",-0.1877252,-0.2695183,-0.0817931
7,-1.1978946,-1.1972431,"('insensitive', 'sensitive')",-1.1978946,-1.1972431,0.0006515
8,0.11473503,-0.033940766,"('unaffectionate', 'affectionate')",0.114735,-0.0339408,-0.1486758
9,-0.624394,-0.7729633,"('unaffectionate', 'caring')",-0.624394,-0.7729633,-0.1485693
10,-2.5440483,-2.529833,"('unsympathetic', 'sympathetic')",-2.5440483,-2.5298331,0.0142152
11,-1.5756686,-1.5735718,"('unhelpful', 'helpful')",-1.5756686,-1.5735718,0.0020968
12,-1.9227464,-1.8643948,"('unsupportive', 'supportive')",-1.9227464,-1.8643948,0.0583516
13,-1.6823207,-1.6481879,"('impolite', 'polite')",-1.6823207,-1.6481879,0.0341328
14,-1.1855502,-1.1362442,"('antisocial', 'social')",-1.1855502,-1.1362442,0.049306
15,0.7854049,0.68918276,"('boring', 'funny')",0.7854049,0.6891828,-0.0962221
16,0.46212044,0.37288263,"('unpopular', 'popular')",0.4621204,0.3728826,-0.0892378
17,-0.07625029,-0.004778877,"('nasty', 'nice')",-0.0762503,-0.0047789,0.0714714
18,-0.10527893,-0.11143899,"('disagreeable', 'welcoming')",-0.1052789,-0.111439,-0.0061601
19,-1.668375,-1.6992713,"('inhospitable', 'hospitable')",-1.668375,-1.6992713,-0.0308963
20,-0.38702866,-0.31884077,"('rough', 'thoughtful')",-0.3870287,-0.3188408,0.0681879
21,-1.357542,-1.3354466,"('immoral', 'moral')",-1.357542,-1.3354466,0.0220954
22,-0.9948231,-0.90007776,"('untrustworthy', 'trustworthy')",-0.9948231,-0.9000778,0.0947453
23,-0.91635805,-1.0048027,"('insincere', 'sincere')",-0.9163581,-1.0048027,-0.0884446
24,-0.7669409,-0.8557619,"('dishonest', 'honest')",-0.7669409,-0.8557619,-0.088821
25,0.62182057,0.50001925,"('egoistic', 'altruistic')",0.6218206,0.5000193,-0.1218013
26,0.77039963,0.6755437,"('hardhearted', 'benevolent')",0.7703996,0.6755437,-0.0948559
27,0.23353603,0.19915427,"('hardhearted', 'softhearted')",0.233536,0.1991543,-0.0343817
28,-1.2062556,-1.3670726,"('disloyal', 'loyal')",-1.2062556,-1.3670726,-0.160817
29,-0.50336725,-0.5891211,"('unfair', 'fair')",-0.5033672,-0.5891211,-0.0857539
30,-0.71421224,-0.7522171,"('intolerant', 'tolerant')",-0.7142122,-0.7522171,-0.0380049
31,-0.102825075,0.0029414073,"('evil', 'good')",-0.1028251,0.0029414,0.1057665
32,0.041369066,-0.082225114,"('unkind', 'kind')",0.0413691,-0.0822251,-0.1235942
33,0.45422095,0.35753012,"('wrong', 'right')",0.454221,0.3575301,-0.0966909
34,0.24887526,0.30949268,"('mean', 'honorable')",0.2488753,0.3094927,0.0606174
35,1.4315649,1.2969234,"('corrupt', 'incorrupt')",1.4315649,1.2969234,-0.1346415
36,0.41920906,0.30403918,"('hostile', 'amicable')",0.4192091,0.3040392,-0.1151699
37,-0.50362253,-0.5430965,"('fake', 'genuine')",-0.5036225,-0.5430965,-0.039474
38,-1.2607453,-1.2831621,"('untruthful', 'truthful')",-1.2607453,-1.2831621,-0.0224168
39,0.74655944,0.8232132,"('exploitative', 'cooperative')",0.7465594,0.8232132,0.0766538
40,-0.11397582,-0.19336483,"('stingy', 'generous')",-0.1139758,-0.1933648,-0.079389
41,-0.8724978,-0.8299056,"('unforgiving', 'forgiving')",-0.8724978,-0.8299056,0.0425922
42,-0.32367465,-0.23286922,"('unreliable', 'reliable')",-0.3236746,-0.2328692,0.0908054
43,-1.5583603,-1.481041,"('irresponsible', 'responsible')",-1.5583603,-1.481041,0.0773193
44,1.0284826,1.1118217,"('prejudiced', 'unprejudiced')",1.0284826,1.1118217,0.0833391
45,-1.9769785,-1.8527999,"('incompetent', 'competent')",-1.9769785,-1.8527999,0.1241786
46,-2.0665283,-2.0202606,"('uncompetitive', 'competitive')",-2.0665283,-2.0202606,0.0462677
47,0.41114324,0.4766722,"('stupid', 'smart')",0.4111432,0.4766722,0.065529
48,-0.6863427,-0.67886114,"('unintelligent', 'intelligent')",-0.6863427,-0.6788611,0.0074816
49,-0.68374324,-0.57422274,"('unable', 'able')",-0.6837432,-0.5742227,0.1095205
50,0.5535802,0.5045283,"('clumsy', 'skillful')",0.5535802,0.5045283,-0.0490519
51,-1.5809476,-1.6379006,"('uneducated', 'educated')",-1.5809476,-1.6379006,-0.056953
52,0.7152149,0.5033581,"('irrational', 'rational')",0.7152149,0.5033581,-0.2118568
53,-0.94667554,-1.0633568,"('uncreative', 'creative')",-0.9466755,-1.0633568,-0.1166813
54,-0.5157265,-0.63863635,"('incapable', 'capable')",-0.5157265,-0.6386364,-0.1229099
55,-1.6694695,-1.5339302,"('incompetent', 'clever')",-1.6694695,-1.5339302,0.1355393
