,prevention_male,prevention_female,tuple,average_male,average_female,female-male
0,0.20097028,0.021325242,"('unsociable', 'sociable')",0.2009703,0.0213252,-0.1796451
1,0.9153527,0.90213597,"('unfriendly', 'friendly')",0.9153527,0.902136,-0.0132167
2,0.2989667,0.37978125,"('unlikable', 'likable')",0.2989667,0.3797812,0.0808145
3,0.9648931,1.0082377,"('repellent', 'pleasant')",0.9648931,1.0082377,0.0433446
4,-7.821797,-8.004821,"('disliked', 'liked')",-7.8217969,-8.0048208,-0.1830239
5,-0.7195901,-0.46932027,"('distant', 'outgoing')",-0.7195901,-0.4693203,0.2502698
6,-0.4738857,-0.29899535,"('distant', 'open')",-0.4738857,-0.2989953,0.1748904
7,0.9052419,0.94606173,"('insensitive', 'sensitive')",0.9052419,0.9460617,0.0408198
8,1.005233,1.0491096,"('unaffectionate', 'affectionate')",1.005233,1.0491096,0.0438766
9,1.5658132,1.7854522,"('unaffectionate', 'caring')",1.5658132,1.7854522,0.219639
10,1.7852056,1.8452716,"('unsympathetic', 'sympathetic')",1.7852056,1.8452716,0.060066
11,2.5557773,2.6629336,"('unhelpful', 'helpful')",2.5557773,2.6629336,0.1071563
12,-1.3349918,-1.1723862,"('unsupportive', 'supportive')",-1.3349918,-1.1723862,0.1626056
13,0.60957634,0.49623966,"('impolite', 'polite')",0.6095763,0.4962397,-0.1133366
14,0.2645721,0.11064507,"('antisocial', 'social')",0.2645721,0.1106451,-0.153927
15,0.39388868,0.23670363,"('boring', 'funny')",0.3938887,0.2367036,-0.1571851
16,-0.5549837,-0.54957914,"('unpopular', 'popular')",-0.5549837,-0.5495791,0.0054046
17,-0.21409227,-0.20249698,"('nasty', 'nice')",-0.2140923,-0.202497,0.0115953
18,-0.69924366,-0.7716607,"('disagreeable', 'welcoming')",-0.6992437,-0.7716607,-0.072417
19,-0.86029667,-0.70429635,"('inhospitable', 'hospitable')",-0.8602967,-0.7042964,0.1560003
20,0.9049054,0.7138062,"('rough', 'thoughtful')",0.9049054,0.7138062,-0.1910992
21,0.45382097,0.5660156,"('immoral', 'moral')",0.453821,0.5660156,0.1121946
22,-0.38783365,-0.49303398,"('untrustworthy', 'trustworthy')",-0.3878337,-0.493034,-0.1052003
23,6.781685,6.927508,"('insincere', 'sincere')",6.7816849,6.9275079,0.145823
24,1.7413476,1.7347255,"('dishonest', 'honest')",1.7413476,1.7347255,-0.0066221
25,0.15635768,0.07968369,"('egoistic', 'altruistic')",0.1563577,0.0796837,-0.076674
26,0.39092976,0.19696262,"('hardhearted', 'benevolent')",0.3909298,0.1969626,-0.1939672
27,1.597335,1.4666597,"('hardhearted', 'softhearted')",1.597335,1.4666597,-0.1306753
28,1.3931333,1.4342638,"('disloyal', 'loyal')",1.3931333,1.4342638,0.0411305
29,-0.47032598,-0.64152294,"('unfair', 'fair')",-0.470326,-0.6415229,-0.1711969
30,1.1668823,1.1630056,"('intolerant', 'tolerant')",1.1668823,1.1630056,-0.0038767
31,-2.1350062,-2.1948705,"('evil', 'good')",-2.1350062,-2.1948705,-0.0598643
32,1.5405248,1.4000775,"('unkind', 'kind')",1.5405248,1.4000775,-0.1404473
33,-0.7181964,-0.63928634,"('wrong', 'right')",-0.7181964,-0.6392863,0.0789101
34,4.9782043,5.329433,"('mean', 'honorable')",4.9782043,5.329433,0.3512287
35,-1.4696361,-1.5830672,"('corrupt', 'incorrupt')",-1.4696361,-1.5830672,-0.1134311
36,-1.3209559,-1.3894738,"('hostile', 'amicable')",-1.3209559,-1.3894738,-0.0685179
37,1.0098516,0.98818594,"('fake', 'genuine')",1.0098516,0.9881859,-0.0216657
38,0.08852294,0.25210392,"('untruthful', 'truthful')",0.0885229,0.2521039,0.163581
39,0.08625681,0.041492917,"('exploitative', 'cooperative')",0.0862568,0.0414929,-0.0447639
40,-1.9606364,-2.1810308,"('stingy', 'generous')",-1.9606364,-2.1810308,-0.2203944
41,0.21853706,0.18988028,"('unforgiving', 'forgiving')",0.2185371,0.1898803,-0.0286568
42,-2.1313474,-2.2192185,"('unreliable', 'reliable')",-2.1313474,-2.2192185,-0.0878711
43,1.8170122,1.9673103,"('irresponsible', 'responsible')",1.8170122,1.9673103,0.1502981
44,-1.1978091,-1.3283415,"('prejudiced', 'unprejudiced')",-1.1978091,-1.3283415,-0.1305324
45,0.5140357,0.46267354,"('incompetent', 'competent')",0.5140357,0.4626735,-0.0513622
46,-0.14856288,-0.084656954,"('uncompetitive', 'competitive')",-0.1485629,-0.084657,0.0639059
47,5.6028147,5.825002,"('stupid', 'smart')",5.6028147,5.8250022,0.2221875
48,0.8941133,0.9517687,"('unintelligent', 'intelligent')",0.8941133,0.9517687,0.0576554
49,0.24637298,0.4612817,"('unable', 'able')",0.246373,0.4612817,0.2149087
50,-0.4351255,-0.44125044,"('clumsy', 'skillful')",-0.4351255,-0.4412504,-0.0061249
51,0.6384949,0.5600405,"('uneducated', 'educated')",0.6384949,0.5600405,-0.0784544
52,-0.76728046,-0.90380245,"('irrational', 'rational')",-0.7672805,-0.9038025,-0.136522
53,-0.0024107136,0.07538001,"('uncreative', 'creative')",-0.0024107,0.07538,0.0777907
54,0.9353435,1.199901,"('incapable', 'capable')",0.9353435,1.199901,0.2645575
55,1.1967477,1.1604929,"('incompetent', 'clever')",1.1967477,1.1604929,-0.0362548
56,1.0793784,1.1283498,"('impractical', 'practical')",1.0793784,1.1283498,0.0489714
57,-2.4880676,-2.4892025,"('unimaginative', 'imaginative')",-2.4880676,-2.4892025,-0.0011349
58,0.17516428,0.12819164,"('undiscriminating', 'discriminating')",0.1751643,0.1281916,-0.0469727
59,-0.30988556,-0.21155608,"('foolish', 'wise')",-0.3098856,-0.2115561,0.0983295
60,1.401198,1.538314,"('inefficient', 'efficient')",1.401198,1.538314,0.137116
61,0.35552064,0.22305815,"('illogical', 'logical')",0.3555206,0.2230581,-0.1324625
62,1.4530629,1.5792106,"('incompetent', 'brilliant')",1.4530629,1.5792106,0.1261477
63,0.6365512,0.79516965,"('unperceptive', 'insightful')",0.6365512,0.7951697,0.1586185
64,-6.2043,-6.126979,"('shy', 'confident')",-6.2042999,-6.1269789,0.077321
65,0.80846524,0.73708516,"('insecure', 'secure')",0.8084652,0.7370852,-0.07138
66,-0.14554203,-0.13991502,"('inactive', 'active')",-0.145542,-0.139915,0.005627
67,-0.23491023,-0.18664241,"('doubtful', 'determined')",-0.2349102,-0.1866424,0.0482678
68,-0.4384445,-0.30296975,"('dependent', 'independent')",-0.4384445,-0.3029698,0.1354747
69,-2.408512,-2.261567,"('lazy', 'industrious')",-2.4085121,-2.2615671,0.146945
70,1.6365006,1.6462188,"('lethargic', 'energetic')",1.6365006,1.6462188,0.0097182
71,0.19512525,0.31586838,"('diffident', 'self-confident')",0.1951253,0.3158684,0.1207431
72,0.9159216,0.98229885,"('unambitious', 'ambitious')",0.9159216,0.9822989,0.0663773
73,-3.3674266,-3.453498,"('helpless', 'self-reliant')",-3.3674266,-3.4534979,-0.0860713
74,0.1333108,-0.074637055,"('undedicated', 'dedicated')",0.1333108,-0.0746371,-0.2079479
75,-1.046809,-0.9302641,"('meek', 'impulsive')",-1.046809,-0.9302641,0.1165449
76,1.0561546,0.900927,"('anxious', 'daring')",1.0561546,0.900927,-0.1552276
77,-1.0754197,-0.7599773,"('unmotivated', 'motivated')",-1.0754197,-0.7599773,0.3154424
78,-0.6528984,-0.5029384,"('nonresilient', 'resilient')",-0.6528984,-0.5029384,0.14996
