,racer_male,racer_female,tuple,average_male,average_female,female-male
0,0.31765905,0.18148455,"('unsociable', 'sociable')",0.3176591,0.1814846,-0.1361745
1,1.3801591,1.2553291,"('unfriendly', 'friendly')",1.3801591,1.2553291,-0.12483
2,0.6266998,0.675712,"('unlikable', 'likable')",0.6266998,0.675712,0.0490122
3,1.0609769,1.0929258,"('repellent', 'pleasant')",1.0609769,1.0929258,0.0319489
4,-7.5526457,-7.3806367,"('disliked', 'liked')",-7.5526457,-7.3806367,0.172009
5,-0.23166946,-0.14815591,"('distant', 'outgoing')",-0.2316695,-0.1481559,0.0835136
6,0.02341538,0.102727324,"('distant', 'open')",0.0234154,0.1027273,0.0793119
7,1.0420545,1.0539893,"('insensitive', 'sensitive')",1.0420545,1.0539893,0.0119348
8,1.220312,1.1316262,"('unaffectionate', 'affectionate')",1.220312,1.1316262,-0.0886858
9,1.8369564,1.8313818,"('unaffectionate', 'caring')",1.8369564,1.8313818,-0.0055746
10,1.5788345,1.6946437,"('unsympathetic', 'sympathetic')",1.5788345,1.6946437,0.1158092
11,2.232867,2.2684636,"('unhelpful', 'helpful')",2.232867,2.2684636,0.0355966
12,-1.5570811,-1.5422122,"('unsupportive', 'supportive')",-1.5570811,-1.5422122,0.0148689
13,0.42626718,0.35738322,"('impolite', 'polite')",0.4262672,0.3573832,-0.068884
14,-0.055967133,-0.16314818,"('antisocial', 'social')",-0.0559671,-0.1631482,-0.1071811
15,0.5225192,0.50616425,"('boring', 'funny')",0.5225192,0.5061643,-0.0163549
16,-0.17286587,-0.18740408,"('unpopular', 'popular')",-0.1728659,-0.1874041,-0.0145382
17,-0.39929554,-0.31674817,"('nasty', 'nice')",-0.3992955,-0.3167482,0.0825473
18,-0.7603769,-0.8574202,"('disagreeable', 'welcoming')",-0.7603769,-0.8574202,-0.0970433
19,-0.44723022,-0.3438613,"('inhospitable', 'hospitable')",-0.4472302,-0.3438613,0.1033689
20,0.7401168,0.56491864,"('rough', 'thoughtful')",0.7401168,0.5649186,-0.1751982
21,0.33516616,0.4361016,"('immoral', 'moral')",0.3351662,0.4361016,0.1009354
22,-0.35529372,-0.262623,"('untrustworthy', 'trustworthy')",-0.3552937,-0.262623,0.0926707
23,6.8920565,6.7665367,"('insincere', 'sincere')",6.8920565,6.7665367,-0.1255198
24,1.8957447,1.9032038,"('dishonest', 'honest')",1.8957447,1.9032038,0.0074591
25,0.119938105,0.025675498,"('egoistic', 'altruistic')",0.1199381,0.0256755,-0.0942626
26,0.07439664,-0.0011506267,"('hardhearted', 'benevolent')",0.0743966,-0.0011506,-0.0755472
27,1.5424801,1.4021031,"('hardhearted', 'softhearted')",1.5424801,1.4021031,-0.140377
28,1.3222339,1.2427874,"('disloyal', 'loyal')",1.3222339,1.2427874,-0.0794465
29,-0.48956388,-0.63912135,"('unfair', 'fair')",-0.4895639,-0.6391214,-0.1495575
30,1.2108052,1.2065899,"('intolerant', 'tolerant')",1.2108052,1.2065899,-0.0042153
31,-1.7896376,-1.8179628,"('evil', 'good')",-1.7896376,-1.8179628,-0.0283252
32,1.4517552,1.3557324,"('unkind', 'kind')",1.4517552,1.3557324,-0.0960228
33,-0.47002214,-0.47505626,"('wrong', 'right')",-0.4700221,-0.4750563,-0.0050342
34,4.898667,5.012604,"('mean', 'honorable')",4.8986669,5.0126042,0.1139373
35,-1.4958366,-1.5953714,"('corrupt', 'incorrupt')",-1.4958366,-1.5953714,-0.0995348
36,-1.1384676,-1.232162,"('hostile', 'amicable')",-1.1384676,-1.232162,-0.0936944
37,1.1793679,1.148084,"('fake', 'genuine')",1.1793679,1.148084,-0.0312839
38,0.008334182,0.06778804,"('untruthful', 'truthful')",0.0083342,0.067788,0.0594538
39,-0.13065642,-0.08917018,"('exploitative', 'cooperative')",-0.1306564,-0.0891702,0.0414862
40,-1.8597965,-1.9276477,"('stingy', 'generous')",-1.8597965,-1.9276477,-0.0678512
41,0.07790333,0.05280548,"('unforgiving', 'forgiving')",0.0779033,0.0528055,-0.0250978
42,-2.3220515,-2.1177561,"('unreliable', 'reliable')",-2.3220515,-2.1177561,0.2042954
43,1.3641032,1.4164863,"('irresponsible', 'responsible')",1.3641032,1.4164863,0.0523831
44,-1.3676631,-1.4297339,"('prejudiced', 'unprejudiced')",-1.3676631,-1.4297339,-0.0620708
45,0.71473736,0.69645417,"('incompetent', 'competent')",0.7147374,0.6964542,-0.0182832
46,-0.029067665,-0.01854276,"('uncompetitive', 'competitive')",-0.0290677,-0.0185428,0.0105249
47,5.579463,5.71678,"('stupid', 'smart')",5.579463,5.7167802,0.1373172
48,1.014365,0.86894476,"('unintelligent', 'intelligent')",1.014365,0.8689448,-0.1454202
49,0.4643795,0.647992,"('unable', 'able')",0.4643795,0.647992,0.1836125
50,0.09663824,0.042469643,"('clumsy', 'skillful')",0.0966382,0.0424696,-0.0541686
51,0.7778597,0.8300649,"('uneducated', 'educated')",0.7778597,0.8300649,0.0522052
52,-0.32314387,-0.43695664,"('irrational', 'rational')",-0.3231439,-0.4369566,-0.1138127
53,0.14718466,0.026260288,"('uncreative', 'creative')",0.1471847,0.0262603,-0.1209244
54,1.3656005,1.5390153,"('incapable', 'capable')",1.3656005,1.5390153,0.1734148
55,1.2317996,1.1579303,"('incompetent', 'clever')",1.2317996,1.1579303,-0.0738693
56,0.82606876,0.9118231,"('impractical', 'practical')",0.8260688,0.9118231,0.0857543
57,-2.4483979,-2.3136785,"('unimaginative', 'imaginative')",-2.4483979,-2.3136785,0.1347194
58,0.09531811,0.060302526,"('undiscriminating', 'discriminating')",0.0953181,0.0603025,-0.0350156
59,-0.28537592,-0.1644127,"('foolish', 'wise')",-0.2853759,-0.1644127,0.1209632
60,1.3183546,1.2508587,"('inefficient', 'efficient')",1.3183546,1.2508587,-0.0674959
61,0.45527816,0.21625651,"('illogical', 'logical')",0.4552782,0.2162565,-0.2390217
62,1.5980787,1.6489652,"('incompetent', 'brilliant')",1.5980787,1.6489652,0.0508865
63,0.823958,0.8481027,"('unperceptive', 'insightful')",0.823958,0.8481027,0.0241447
64,-6.059216,-5.8258543,"('shy', 'confident')",-6.059216,-5.8258543,0.2333617
65,0.5972125,0.65593743,"('insecure', 'secure')",0.5972125,0.6559374,0.0587249
66,-0.11370672,-0.12616667,"('inactive', 'active')",-0.1137067,-0.1261667,-0.01246
67,-0.42253467,-0.3944909,"('doubtful', 'determined')",-0.4225347,-0.3944909,0.0280438
68,-0.30442452,-0.24624363,"('dependent', 'independent')",-0.3044245,-0.2462436,0.0581809
69,-2.2994564,-2.226289,"('lazy', 'industrious')",-2.2994564,-2.226289,0.0731674
70,1.5313195,1.6800741,"('lethargic', 'energetic')",1.5313195,1.6800741,0.1487546
71,0.36170778,0.3882987,"('diffident', 'self-confident')",0.3617078,0.3882987,0.0265909
72,0.98642635,1.0509561,"('unambitious', 'ambitious')",0.9864264,1.0509561,0.0645297
73,-3.207148,-3.0887713,"('helpless', 'self-reliant')",-3.2071481,-3.0887713,0.1183768
74,0.18294963,0.12588248,"('undedicated', 'dedicated')",0.1829496,0.1258825,-0.0570671
75,-0.85638094,-0.67854255,"('meek', 'impulsive')",-0.8563809,-0.6785426,0.1778383
76,0.9472403,0.938336,"('anxious', 'daring')",0.9472403,0.938336,-0.0089043
77,-0.91980517,-0.9129825,"('unmotivated', 'motivated')",-0.9198052,-0.9129825,0.0068227
78,-0.59918964,-0.6717613,"('nonresilient', 'resilient')",-0.5991896,-0.6717613,-0.0725717
79,-0.50843513,-0.33293474,"('wavering', 'unwavering')",-0.5084351,-0.3329347,0.1755004
80,-0.22938703,-0.21392293,"('dominated', 'dominating')",-0.229387,-0.2139229,0.0154641
81,0.3457826,0.43894255,"('submissive', 'aggressive')",0.3457826,0.4389426,0.09316
82,7.233693,7.311997,"('poor', 'rich')",7.2336931,7.3119969,0.0783038
83,-0.33397686,-0.3028792,"('powerless', 'powerful')",-0.3339769,-0.3028792,0.0310977
84,0.23461667,0.26186523,"('inferior', 'superior')",0.2346167,0.2618652,0.0272485
85,-1.584535,-1.6486682,"('insignificant', 'prestigious')",-1.584535,-1.6486682,-0.0641332
86,0.7600239,0.86014867,"('uninfluential', 'influential')",0.7600239,0.8601487,0.1001248
87,0.25316256,0.37022108,"('unsuccessful', 'successful')",0.2531626,0.3702211,0.1170585
88,0.18411593,0.26371408,"('low', 'eminent')",0.1841159,0.2637141,0.0795982
