,lover_male,lover_female,tuple,average_male,average_female,female-male
0,-0.28206474,-0.2976724,"('unsociable', 'sociable')",-0.2820647,-0.2976724,-0.0156077
1,1.0828625,0.98229706,"('unfriendly', 'friendly')",1.0828625,0.9822971,-0.1005654
2,0.11637115,0.15710685,"('unlikable', 'likable')",0.1163711,0.1571068,0.0407357
3,0.6931108,0.680936,"('repellent', 'pleasant')",0.6931108,0.680936,-0.0121748
4,-7.3963614,-7.473807,"('disliked', 'liked')",-7.3963614,-7.4738069,-0.0774455
5,-0.6280129,-0.7386359,"('distant', 'outgoing')",-0.6280129,-0.7386359,-0.110623
6,-0.10293606,-0.25540006,"('distant', 'open')",-0.1029361,-0.2554001,-0.152464
7,0.87758404,0.9433044,"('insensitive', 'sensitive')",0.877584,0.9433044,0.0657204
8,1.1217717,1.1505492,"('unaffectionate', 'affectionate')",1.1217717,1.1505492,0.0287775
9,1.3662913,1.6081676,"('unaffectionate', 'caring')",1.3662913,1.6081676,0.2418763
10,0.9462991,0.9198806,"('unsympathetic', 'sympathetic')",0.9462991,0.9198806,-0.0264185
11,1.4593014,1.5642593,"('unhelpful', 'helpful')",1.4593014,1.5642593,0.1049579
12,-1.771194,-1.7161278,"('unsupportive', 'supportive')",-1.771194,-1.7161278,0.0550662
13,-0.35823438,-0.46009016,"('impolite', 'polite')",-0.3582344,-0.4600902,-0.1018558
14,0.17119497,0.06150581,"('antisocial', 'social')",0.171195,0.0615058,-0.1096892
15,0.110957675,0.020416746,"('boring', 'funny')",0.1109577,0.0204167,-0.090541
16,-0.60619843,-0.5108693,"('unpopular', 'popular')",-0.6061984,-0.5108693,0.0953291
17,-0.46941316,-0.43836647,"('nasty', 'nice')",-0.4694132,-0.4383665,0.0310467
18,-0.23561798,-0.3523615,"('disagreeable', 'welcoming')",-0.235618,-0.3523615,-0.1167435
19,-0.64511824,-0.66232204,"('inhospitable', 'hospitable')",-0.6451182,-0.662322,-0.0172038
20,0.86284345,0.75952905,"('rough', 'thoughtful')",0.8628435,0.7595291,-0.1033144
21,-0.3463964,-0.2555539,"('immoral', 'moral')",-0.3463964,-0.2555539,0.0908425
22,-0.2869432,-0.34539822,"('untrustworthy', 'trustworthy')",-0.2869432,-0.3453982,-0.058455
23,6.3608747,6.4522495,"('insincere', 'sincere')",6.3608747,6.4522495,0.0913748
24,1.4465196,1.3885509,"('dishonest', 'honest')",1.4465196,1.3885509,-0.0579687
25,0.72203135,0.66014147,"('egoistic', 'altruistic')",0.7220314,0.6601415,-0.0618899
26,0.49693635,0.44698632,"('hardhearted', 'benevolent')",0.4969364,0.4469863,-0.0499501
27,1.606555,1.478936,"('hardhearted', 'softhearted')",1.606555,1.478936,-0.127619
