,cell_male,cell_female,tuple,average_male,average_female,female-male
0,0.08220598,-0.1973368,"('unsociable', 'sociable')",0.082206,-0.1973368,-0.2795428
1,1.3313378,1.2697356,"('unfriendly', 'friendly')",1.3313378,1.2697356,-0.0616022
2,0.27685866,0.3885382,"('unlikable', 'likable')",0.2768587,0.3885382,0.1116795
3,0.57968336,0.7069752,"('repellent', 'pleasant')",0.5796834,0.7069752,0.1272918
4,-7.679154,-7.7101793,"('disliked', 'liked')",-7.6791539,-7.7101793,-0.0310254
5,-0.35932106,-0.23753507,"('distant', 'outgoing')",-0.3593211,-0.2375351,0.121786
6,-0.06577073,0.08684033,"('distant', 'open')",-0.0657707,0.0868403,0.152611
7,0.5920905,0.66054016,"('insensitive', 'sensitive')",0.5920905,0.6605402,0.0684497
8,1.251106,1.205279,"('unaffectionate', 'affectionate')",1.251106,1.205279,-0.045827
9,1.8023247,1.8857266,"('unaffectionate', 'caring')",1.8023247,1.8857266,0.0834019
10,1.1102844,1.2444501,"('unsympathetic', 'sympathetic')",1.1102844,1.2444501,0.1341657
11,2.2413106,2.2817998,"('unhelpful', 'helpful')",2.2413106,2.2817998,0.0404892
12,-1.7811979,-1.8326328,"('unsupportive', 'supportive')",-1.7811979,-1.8326328,-0.0514349
13,0.22495608,0.0819132,"('impolite', 'polite')",0.2249561,0.0819132,-0.1430429
14,-0.14268185,-0.2974882,"('antisocial', 'social')",-0.1426819,-0.2974882,-0.1548063
15,0.44581378,0.3129691,"('boring', 'funny')",0.4458138,0.3129691,-0.1328447
16,-0.29534486,-0.2883912,"('unpopular', 'popular')",-0.2953449,-0.2883912,0.0069537
17,0.0028303266,-0.06723425,"('nasty', 'nice')",0.0028303,-0.0672342,-0.0700645
18,-0.6642693,-0.8204368,"('disagreeable', 'welcoming')",-0.6642693,-0.8204368,-0.1561675
19,-0.5213753,-0.39291418,"('inhospitable', 'hospitable')",-0.5213753,-0.3929142,0.1284611
20,0.2505283,0.24495003,"('rough', 'thoughtful')",0.2505283,0.24495,-0.0055783
21,-0.28852442,-0.102885425,"('immoral', 'moral')",-0.2885244,-0.1028854,0.185639
22,-0.900833,-0.88326675,"('untrustworthy', 'trustworthy')",-0.900833,-0.8832667,0.0175663
23,6.535737,6.583601,"('insincere', 'sincere')",6.535737,6.583601,0.047864
24,1.6418228,1.7275221,"('dishonest', 'honest')",1.6418228,1.7275221,0.0856993
25,0.46493378,0.35643336,"('egoistic', 'altruistic')",0.4649338,0.3564334,-0.1085004
26,0.32516843,0.060230114,"('hardhearted', 'benevolent')",0.3251684,0.0602301,-0.2649383
27,1.2590553,1.2114432,"('hardhearted', 'softhearted')",1.2590553,1.2114432,-0.0476121
28,1.5769898,1.561553,"('disloyal', 'loyal')",1.5769898,1.561553,-0.0154368
29,-0.6077638,-0.6586336,"('unfair', 'fair')",-0.6077638,-0.6586336,-0.0508698
30,1.0349116,0.9989017,"('intolerant', 'tolerant')",1.0349116,0.9989017,-0.0360099
31,-1.5228647,-1.5031204,"('evil', 'good')",-1.5228647,-1.5031204,0.0197443
32,1.3545078,1.2465227,"('unkind', 'kind')",1.3545078,1.2465227,-0.1079851
33,-0.421801,-0.49991912,"('wrong', 'right')",-0.421801,-0.4999191,-0.0781181
34,5.184585,5.373604,"('mean', 'honorable')",5.1845851,5.3736038,0.1890187
35,-0.99265546,-1.0345553,"('corrupt', 'incorrupt')",-0.9926555,-1.0345553,-0.0418998
36,-0.8450332,-0.90916497,"('hostile', 'amicable')",-0.8450332,-0.909165,-0.0641318
37,0.76237625,0.87765604,"('fake', 'genuine')",0.7623762,0.877656,0.1152798
38,0.11188153,0.19805253,"('untruthful', 'truthful')",0.1118815,0.1980525,0.086171
39,-0.1727175,-0.14003594,"('exploitative', 'cooperative')",-0.1727175,-0.1400359,0.0326816
40,-2.3427312,-2.5321927,"('stingy', 'generous')",-2.3427312,-2.5321927,-0.1894615
41,0.05037552,-0.034993224,"('unforgiving', 'forgiving')",0.0503755,-0.0349932,-0.0853687
42,-2.837668,-2.8320086,"('unreliable', 'reliable')",-2.8376679,-2.8320086,0.0056593
43,1.1792597,1.2635559,"('irresponsible', 'responsible')",1.1792597,1.2635559,0.0842962
44,-1.5013273,-1.5231022,"('prejudiced', 'unprejudiced')",-1.5013273,-1.5231022,-0.0217749
45,0.066249505,0.12054345,"('incompetent', 'competent')",0.0662495,0.1205435,0.054294
46,-0.87609684,-0.82013726,"('uncompetitive', 'competitive')",-0.8760968,-0.8201373,0.0559595
47,5.3862276,5.5802965,"('stupid', 'smart')",5.3862276,5.5802965,0.1940689
48,0.70356905,0.64673007,"('unintelligent', 'intelligent')",0.7035691,0.6467301,-0.056839
49,0.118537486,0.32707804,"('unable', 'able')",0.1185375,0.327078,0.2085405
50,-0.31932408,-0.3215981,"('clumsy', 'skillful')",-0.3193241,-0.3215981,-0.002274
51,0.41314182,0.4051906,"('uneducated', 'educated')",0.4131418,0.4051906,-0.0079512
52,-0.27675724,-0.28672463,"('irrational', 'rational')",-0.2767572,-0.2867246,-0.0099674
53,-0.053204056,0.004542753,"('uncreative', 'creative')",-0.0532041,0.0045428,0.0577469
54,1.0449034,1.2370313,"('incapable', 'capable')",1.0449034,1.2370313,0.1921279
