,prejudice_male,prejudice_female,tuple,average_male,average_female,female-male
0,0.54298323,0.39927122,"('unsociable', 'sociable')",0.5429832,0.3992712,-0.143712
1,0.9633386,0.8539403,"('unfriendly', 'friendly')",0.9633386,0.8539403,-0.1093983
2,0.6106002,0.69408894,"('unlikable', 'likable')",0.6106002,0.6940889,0.0834887
3,1.140693,1.0973302,"('repellent', 'pleasant')",1.1406929,1.0973302,-0.0433627
4,-6.8787313,-6.891205,"('disliked', 'liked')",-6.8787313,-6.8912048,-0.0124735
5,-0.28947854,-0.3108637,"('distant', 'outgoing')",-0.2894785,-0.3108637,-0.0213852
6,-0.12122833,-0.12505361,"('distant', 'open')",-0.1212283,-0.1250536,-0.0038253
7,1.0062671,1.0218484,"('insensitive', 'sensitive')",1.0062671,1.0218484,0.0155813
8,0.54964095,0.50742054,"('unaffectionate', 'affectionate')",0.549641,0.5074205,-0.0422205
9,1.3325381,1.3550357,"('unaffectionate', 'caring')",1.3325381,1.3550357,0.0224976
10,1.7264853,1.8024883,"('unsympathetic', 'sympathetic')",1.7264853,1.8024883,0.076003
11,2.218594,2.216662,"('unhelpful', 'helpful')",2.2185941,2.2166619,-0.0019322
12,-1.2136322,-1.2156743,"('unsupportive', 'supportive')",-1.2136322,-1.2156743,-0.0020421
13,0.9420028,0.87330604,"('impolite', 'polite')",0.9420028,0.873306,-0.0686968
14,0.023442078,-0.124432474,"('antisocial', 'social')",0.0234421,-0.1244325,-0.1478746
15,0.42841902,0.31740475,"('boring', 'funny')",0.428419,0.3174047,-0.1110143
16,-0.18258455,-0.17738771,"('unpopular', 'popular')",-0.1825846,-0.1773877,0.0051969
17,-0.11740837,-0.13480783,"('nasty', 'nice')",-0.1174084,-0.1348078,-0.0173994
18,-0.4847508,-0.60140973,"('disagreeable', 'welcoming')",-0.4847508,-0.6014097,-0.1166589
19,-0.6469154,-0.5346713,"('inhospitable', 'hospitable')",-0.6469154,-0.5346713,0.1122441
