,accusation_male,accusation_female,tuple,average_male,average_female,female-male
0,0.0478804,0.0049381275,"('unsociable', 'sociable')",0.0478804,0.0049381,-0.0429423
1,0.8513341,0.7668277,"('unfriendly', 'friendly')",0.8513341,0.7668277,-0.0845064
2,0.15348743,0.324847,"('unlikable', 'likable')",0.1534874,0.324847,0.1713596
3,0.8795051,0.9424829,"('repellent', 'pleasant')",0.8795051,0.9424829,0.0629778
4,-7.3400927,-7.5475907,"('disliked', 'liked')",-7.3400927,-7.5475907,-0.207498
5,-0.5905238,-0.60776824,"('distant', 'outgoing')",-0.5905238,-0.6077682,-0.0172444
6,-0.08685888,-0.18161708,"('distant', 'open')",-0.0868589,-0.1816171,-0.0947582
7,1.1238955,1.1569948,"('insensitive', 'sensitive')",1.1238955,1.1569948,0.0330993
8,0.81826794,0.7185208,"('unaffectionate', 'affectionate')",0.8182679,0.7185208,-0.0997471
9,1.2712106,1.2917819,"('unaffectionate', 'caring')",1.2712106,1.2917819,0.0205713
10,1.3704029,1.4206488,"('unsympathetic', 'sympathetic')",1.3704029,1.4206488,0.0502459
11,1.5165342,1.6223083,"('unhelpful', 'helpful')",1.5165342,1.6223083,0.1057741
12,-1.6588426,-1.6888369,"('unsupportive', 'supportive')",-1.6588426,-1.6888369,-0.0299943
13,0.08251653,0.1728573,"('impolite', 'polite')",0.0825165,0.1728573,0.0903408
14,0.15790933,0.10980361,"('antisocial', 'social')",0.1579093,0.1098036,-0.0481057
15,0.0023385854,-0.06354675,"('boring', 'funny')",0.0023386,-0.0635467,-0.0658853
16,-0.45550993,-0.4636007,"('unpopular', 'popular')",-0.4555099,-0.4636007,-0.0080908
17,-0.3119681,-0.30452693,"('nasty', 'nice')",-0.3119681,-0.3045269,0.0074412
18,-0.46728918,-0.44612205,"('disagreeable', 'welcoming')",-0.4672892,-0.4461221,0.0211671
19,-1.0264674,-1.0029178,"('inhospitable', 'hospitable')",-1.0264674,-1.0029178,0.0235496
20,0.9315079,0.84543926,"('rough', 'thoughtful')",0.9315079,0.8454393,-0.0860686
21,-0.02874598,0.18495053,"('immoral', 'moral')",-0.028746,0.1849505,0.2136965
22,-0.11904198,-0.13893962,"('untrustworthy', 'trustworthy')",-0.119042,-0.1389396,-0.0198976
23,5.876566,6.033113,"('insincere', 'sincere')",5.8765659,6.033113,0.1565471
24,1.6777785,1.6564218,"('dishonest', 'honest')",1.6777785,1.6564218,-0.0213567
25,0.27093253,0.22528099,"('egoistic', 'altruistic')",0.2709325,0.225281,-0.0456515
26,0.5511067,0.36029977,"('hardhearted', 'benevolent')",0.5511067,0.3602998,-0.1908069
27,1.5858401,1.3780309,"('hardhearted', 'softhearted')",1.5858401,1.3780309,-0.2078092
