,locomotive_male,locomotive_female,tuple,average_male,average_female,female-male
0,-0.17486417,-0.29668945,"('unsociable', 'sociable')",-0.1748642,-0.2966895,-0.1218253
1,1.7612226,1.6321336,"('unfriendly', 'friendly')",1.7612226,1.6321336,-0.129089
2,0.22643976,0.35700956,"('unlikable', 'likable')",0.2264398,0.3570096,0.1305698
3,-0.7198721,-0.5485349,"('repellent', 'pleasant')",-0.7198721,-0.5485349,0.1713372
4,-6.7648897,-6.9655128,"('disliked', 'liked')",-6.7648897,-6.9655128,-0.2006231
5,-0.21223226,-0.15338619,"('distant', 'outgoing')",-0.2122323,-0.1533862,0.0588461
6,0.34198177,0.38054663,"('distant', 'open')",0.3419818,0.3805466,0.0385648
7,0.72067773,0.69604516,"('insensitive', 'sensitive')",0.7206777,0.6960452,-0.0246325
8,1.6203259,1.5180485,"('unaffectionate', 'affectionate')",1.6203259,1.5180485,-0.1022774
9,2.101553,2.0210812,"('unaffectionate', 'caring')",2.101553,2.0210812,-0.0804718
10,0.32350263,0.30181146,"('unsympathetic', 'sympathetic')",0.3235026,0.3018115,-0.0216911
11,2.0747156,1.8876442,"('unhelpful', 'helpful')",2.0747156,1.8876442,-0.1870714
12,-1.4554812,-1.5008804,"('unsupportive', 'supportive')",-1.4554812,-1.5008804,-0.0453992
13,-0.6566792,-0.7066881,"('impolite', 'polite')",-0.6566792,-0.7066881,-0.0500089
14,-0.5087732,-0.429511,"('antisocial', 'social')",-0.5087732,-0.429511,0.0792622
15,1.0443076,0.91276,"('boring', 'funny')",1.0443076,0.91276,-0.1315476
16,0.20578739,0.08931623,"('unpopular', 'popular')",0.2057874,0.0893162,-0.1164712
17,0.1313258,0.1992592,"('nasty', 'nice')",0.1313258,0.1992592,0.0679334
18,-0.98246264,-0.8350315,"('disagreeable', 'welcoming')",-0.9824626,-0.8350315,0.1474311
19,-0.22358978,-0.19855309,"('inhospitable', 'hospitable')",-0.2235898,-0.1985531,0.0250367
20,-0.2730114,-0.088121,"('rough', 'thoughtful')",-0.2730114,-0.088121,0.1848904
21,-0.46904957,-0.307402,"('immoral', 'moral')",-0.4690496,-0.307402,0.1616476
22,-1.0254643,-1.0474563,"('untrustworthy', 'trustworthy')",-1.0254643,-1.0474563,-0.021992
23,6.1585536,6.1861606,"('insincere', 'sincere')",6.1585536,6.1861606,0.027607
24,1.3386132,1.2314923,"('dishonest', 'honest')",1.3386132,1.2314923,-0.1071209
25,1.0777255,1.092128,"('egoistic', 'altruistic')",1.0777255,1.092128,0.0144025
26,1.6945691,1.6053493,"('hardhearted', 'benevolent')",1.6945691,1.6053493,-0.0892198
27,0.86687094,0.848655,"('hardhearted', 'softhearted')",0.8668709,0.848655,-0.0182159
28,1.6569828,1.5150902,"('disloyal', 'loyal')",1.6569828,1.5150902,-0.1418926
29,-0.3536541,-0.5067284,"('unfair', 'fair')",-0.3536541,-0.5067284,-0.1530743
30,0.17751908,0.2751555,"('intolerant', 'tolerant')",0.1775191,0.2751555,0.0976364
31,-1.1604033,-1.208884,"('evil', 'good')",-1.1604033,-1.208884,-0.0484807
32,1.5043356,1.3829182,"('unkind', 'kind')",1.5043356,1.3829182,-0.1214174
33,-0.02541656,-0.037522886,"('wrong', 'right')",-0.0254166,-0.0375229,-0.0121063
34,4.4139657,4.5514746,"('mean', 'honorable')",4.4139657,4.5514746,0.1375089
35,-0.30850667,-0.5117542,"('corrupt', 'incorrupt')",-0.3085067,-0.5117542,-0.2032475
36,-0.5293229,-0.60011286,"('hostile', 'amicable')",-0.5293229,-0.6001129,-0.07079
