,sink_male,sink_female,tuple,average_male,average_female,female-male
0,0.20905212,0.044918414,"('unsociable', 'sociable')",0.2090521,0.0449184,-0.1641337
1,1.3388656,1.3525786,"('unfriendly', 'friendly')",1.3388656,1.3525786,0.013713
2,0.5218927,0.6711428,"('unlikable', 'likable')",0.5218927,0.6711428,0.1492501
3,0.9086028,1.0457731,"('repellent', 'pleasant')",0.9086028,1.0457731,0.1371703
4,-7.314883,-7.2190156,"('disliked', 'liked')",-7.3148832,-7.2190156,0.0958676
5,-0.52956563,-0.31668493,"('distant', 'outgoing')",-0.5295656,-0.3166849,0.2128807
6,-0.086404294,0.16516457,"('distant', 'open')",-0.0864043,0.1651646,0.2515689
7,0.9819374,1.0925113,"('insensitive', 'sensitive')",0.9819374,1.0925113,0.1105739
8,0.84913945,0.8970136,"('unaffectionate', 'affectionate')",0.8491395,0.8970136,0.0478741
9,1.3344334,1.5098585,"('unaffectionate', 'caring')",1.3344334,1.5098585,0.1754251
10,1.4694561,1.5799968,"('unsympathetic', 'sympathetic')",1.4694561,1.5799968,0.1105407
11,1.9377273,1.9823498,"('unhelpful', 'helpful')",1.9377273,1.9823498,0.0446225
12,-1.474647,-1.4552543,"('unsupportive', 'supportive')",-1.474647,-1.4552543,0.0193927
13,0.5952373,0.41959062,"('impolite', 'polite')",0.5952373,0.4195906,-0.1756467
14,-0.19113122,-0.39241534,"('antisocial', 'social')",-0.1911312,-0.3924153,-0.2012841
15,0.340492,0.2807761,"('boring', 'funny')",0.340492,0.2807761,-0.0597159
16,-0.3802483,-0.2423854,"('unpopular', 'popular')",-0.3802483,-0.2423854,0.1378629
17,-0.025876407,0.017600667,"('nasty', 'nice')",-0.0258764,0.0176007,0.0434771
18,-0.665585,-0.74691856,"('disagreeable', 'welcoming')",-0.665585,-0.7469186,-0.0813336
19,-0.533395,-0.26366183,"('inhospitable', 'hospitable')",-0.533395,-0.2636618,0.2697332
20,0.91838026,0.7489907,"('rough', 'thoughtful')",0.9183803,0.7489907,-0.1693896
21,0.20636491,0.28465992,"('immoral', 'moral')",0.2063649,0.2846599,0.078295
22,-0.40548906,-0.44102323,"('untrustworthy', 'trustworthy')",-0.4054891,-0.4410232,-0.0355341
23,6.431107,6.491946,"('insincere', 'sincere')",6.431107,6.4919462,0.0608392
24,1.7131051,1.76429,"('dishonest', 'honest')",1.7131051,1.76429,0.0511849
25,0.34658924,0.2856326,"('egoistic', 'altruistic')",0.3465892,0.2856326,-0.0609566
26,0.18850155,0.01182244,"('hardhearted', 'benevolent')",0.1885016,0.0118224,-0.1766792
27,1.7050964,1.6009018,"('hardhearted', 'softhearted')",1.7050964,1.6009018,-0.1041946
28,1.0702233,1.0799143,"('disloyal', 'loyal')",1.0702233,1.0799143,0.009691
29,-0.44559047,-0.5734384,"('unfair', 'fair')",-0.4455905,-0.5734384,-0.1278479
30,0.9315526,0.92822856,"('intolerant', 'tolerant')",0.9315526,0.9282286,-0.003324
31,-1.5729825,-1.4385148,"('evil', 'good')",-1.5729825,-1.4385148,0.1344677
32,1.5317523,1.4231501,"('unkind', 'kind')",1.5317523,1.4231501,-0.1086022
33,-0.5772526,-0.55388325,"('wrong', 'right')",-0.5772526,-0.5538833,0.0233693
34,4.6226263,4.8297358,"('mean', 'honorable')",4.6226263,4.8297358,0.2071095
35,-1.3502381,-1.3600295,"('corrupt', 'incorrupt')",-1.3502381,-1.3600295,-0.0097914
36,-1.0898407,-1.0470665,"('hostile', 'amicable')",-1.0898407,-1.0470665,0.0427742
37,1.1425674,1.1883118,"('fake', 'genuine')",1.1425674,1.1883118,0.0457444
38,-0.032682993,0.06862239,"('untruthful', 'truthful')",-0.032683,0.0686224,0.1013054
39,-0.17515399,-0.1771993,"('exploitative', 'cooperative')",-0.175154,-0.1771993,-0.0020453
40,-1.645108,-1.7854344,"('stingy', 'generous')",-1.645108,-1.7854344,-0.1403264
41,0.17573081,0.11644314,"('unforgiving', 'forgiving')",0.1757308,0.1164431,-0.0592877
42,-2.0078034,-1.9781642,"('unreliable', 'reliable')",-2.0078034,-1.9781642,0.0296392
43,1.2753464,1.2891294,"('irresponsible', 'responsible')",1.2753464,1.2891294,0.013783
44,-1.1743618,-1.2859116,"('prejudiced', 'unprejudiced')",-1.1743618,-1.2859116,-0.1115498
45,0.46007556,0.53770715,"('incompetent', 'competent')",0.4600756,0.5377071,0.0776315
46,-0.1976301,-0.2400742,"('uncompetitive', 'competitive')",-0.1976301,-0.2400742,-0.0424441
47,5.3295965,5.5165467,"('stupid', 'smart')",5.3295965,5.5165467,0.1869502
48,0.673315,0.58045775,"('unintelligent', 'intelligent')",0.673315,0.5804577,-0.0928573
49,0.47230226,0.71950155,"('unable', 'able')",0.4723023,0.7195016,0.2471993
50,-0.21263419,-0.1286299,"('clumsy', 'skillful')",-0.2126342,-0.1286299,0.0840043
51,0.84376264,0.8080215,"('uneducated', 'educated')",0.8437626,0.8080215,-0.0357411
52,-0.52663386,-0.41372228,"('irrational', 'rational')",-0.5266339,-0.4137223,0.1129116
53,0.06187024,0.09357201,"('uncreative', 'creative')",0.0618702,0.093572,0.0317018
54,1.2198445,1.4904554,"('incapable', 'capable')",1.2198445,1.4904554,0.2706109
55,1.0037478,0.944695,"('incompetent', 'clever')",1.0037478,0.944695,-0.0590528
56,0.7574829,0.8022806,"('impractical', 'practical')",0.7574829,0.8022806,0.0447977
57,-2.4726753,-2.420248,"('unimaginative', 'imaginative')",-2.4726753,-2.420248,0.0524273
58,-0.025536425,-0.082316734,"('undiscriminating', 'discriminating')",-0.0255364,-0.0823167,-0.0567803
59,-0.20436215,-0.07893278,"('foolish', 'wise')",-0.2043622,-0.0789328,0.1254294
60,1.1595708,1.1000313,"('inefficient', 'efficient')",1.1595708,1.1000313,-0.0595395
61,0.28190053,0.13944936,"('illogical', 'logical')",0.2819005,0.1394494,-0.1424511
62,1.4508164,1.5177431,"('incompetent', 'brilliant')",1.4508164,1.5177431,0.0669267
63,0.71995693,0.77746785,"('unperceptive', 'insightful')",0.7199569,0.7774678,0.0575109
64,-6.0083833,-5.901976,"('shy', 'confident')",-6.0083833,-5.9019761,0.1064072
65,0.61256546,0.5587603,"('insecure', 'secure')",0.6125655,0.5587603,-0.0538052
66,-0.07026733,-0.04619982,"('inactive', 'active')",-0.0702673,-0.0461998,0.0240675
67,-0.25409666,-0.25237933,"('doubtful', 'determined')",-0.2540967,-0.2523793,0.0017174
68,-0.37311226,-0.29319382,"('dependent', 'independent')",-0.3731123,-0.2931938,0.0799185
69,-2.1554286,-2.0118363,"('lazy', 'industrious')",-2.1554286,-2.0118363,0.1435923
70,1.538162,1.5461065,"('lethargic', 'energetic')",1.538162,1.5461065,0.0079445
71,0.19119234,0.27095,"('diffident', 'self-confident')",0.1911923,0.27095,0.0797577
72,0.9642491,0.969833,"('unambitious', 'ambitious')",0.9642491,0.969833,0.0055839
73,-3.1864321,-3.1090486,"('helpless', 'self-reliant')",-3.1864321,-3.1090486,0.0773835
74,0.18832386,0.12263085,"('undedicated', 'dedicated')",0.1883239,0.1226308,-0.0656931
75,-0.8255162,-0.70526683,"('meek', 'impulsive')",-0.8255162,-0.7052668,0.1202494
76,0.85378665,0.7331328,"('anxious', 'daring')",0.8537866,0.7331328,-0.1206538
77,-1.1064607,-0.98786354,"('unmotivated', 'motivated')",-1.1064607,-0.9878635,0.1185972
78,-0.6681654,-0.6737431,"('nonresilient', 'resilient')",-0.6681654,-0.6737431,-0.0055777
79,-0.5749397,-0.25816622,"('wavering', 'unwavering')",-0.5749397,-0.2581662,0.3167735
80,0.016092714,-0.08310701,"('dominated', 'dominating')",0.0160927,-0.083107,-0.0991997
81,0.4315092,0.36231548,"('submissive', 'aggressive')",0.4315092,0.3623155,-0.0691937
82,6.797284,7.0418315,"('poor', 'rich')",6.7972841,7.0418315,0.2445474
83,-0.32849213,-0.37757766,"('powerless', 'powerful')",-0.3284921,-0.3775777,-0.0490856
84,0.33831802,0.38370296,"('inferior', 'superior')",0.338318,0.383703,0.045385
85,-1.6576651,-1.6505092,"('insignificant', 'prestigious')",-1.6576651,-1.6505092,0.0071559
86,0.58738035,0.63254094,"('uninfluential', 'influential')",0.5873803,0.6325409,0.0451606
87,0.21675128,0.43678796,"('unsuccessful', 'successful')",0.2167513,0.436788,0.2200367
88,0.027104937,0.109012,"('low', 'eminent')",0.0271049,0.109012,0.0819071
