,cop_male,cop_female,tuple,average_male,average_female,female-male
0,0.33342916,0.24434498,"('unsociable', 'sociable')",0.3334292,0.244345,-0.0890842
1,1.571234,1.5760345,"('unfriendly', 'friendly')",1.571234,1.5760345,0.0048005
2,0.7260761,0.8800856,"('unlikable', 'likable')",0.7260761,0.8800856,0.1540095
3,1.0317812,1.1841344,"('repellent', 'pleasant')",1.0317812,1.1841344,0.1523532
4,-6.836855,-6.7993116,"('disliked', 'liked')",-6.8368549,-6.7993116,0.0375433
5,-0.08186963,-0.0638587,"('distant', 'outgoing')",-0.0818696,-0.0638587,0.0180109
6,0.06185896,0.11946052,"('distant', 'open')",0.061859,0.1194605,0.0576015
7,1.4576476,1.5059397,"('insensitive', 'sensitive')",1.4576476,1.5059397,0.0482921
8,1.1982743,1.210903,"('unaffectionate', 'affectionate')",1.1982743,1.210903,0.0126287
9,1.7748306,1.8585206,"('unaffectionate', 'caring')",1.7748306,1.8585206,0.08369
10,1.3891114,1.4825325,"('unsympathetic', 'sympathetic')",1.3891114,1.4825325,0.0934211
11,2.3482945,2.371692,"('unhelpful', 'helpful')",2.3482945,2.3716919,0.0233974
12,-0.9357119,-0.8877413,"('unsupportive', 'supportive')",-0.9357119,-0.8877413,0.0479706
13,0.23104565,0.18635027,"('impolite', 'polite')",0.2310456,0.1863503,-0.0446953
14,0.40892845,0.30720547,"('antisocial', 'social')",0.4089285,0.3072055,-0.101723
15,0.6996583,0.7179105,"('boring', 'funny')",0.6996583,0.7179105,0.0182522
16,-0.694791,-0.60559446,"('unpopular', 'popular')",-0.694791,-0.6055945,0.0891965
17,0.14734106,0.15527117,"('nasty', 'nice')",0.1473411,0.1552712,0.0079301
18,-0.21985446,-0.2436387,"('disagreeable', 'welcoming')",-0.2198545,-0.2436387,-0.0237842
19,-0.20741919,-0.100097835,"('inhospitable', 'hospitable')",-0.2074192,-0.1000978,0.1073214
20,0.64282066,0.58709055,"('rough', 'thoughtful')",0.6428207,0.5870906,-0.0557301
21,0.4551931,0.56771296,"('immoral', 'moral')",0.4551931,0.567713,0.1125199
22,0.18260957,0.1587986,"('untrustworthy', 'trustworthy')",0.1826096,0.1587986,-0.023811
23,6.8564773,6.8818903,"('insincere', 'sincere')",6.8564773,6.8818903,0.025413
24,2.2154326,2.2570195,"('dishonest', 'honest')",2.2154326,2.2570195,0.0415869
25,0.43408343,0.37236583,"('egoistic', 'altruistic')",0.4340834,0.3723658,-0.0617176
26,0.11487037,0.12784243,"('hardhearted', 'benevolent')",0.1148704,0.1278424,0.012972
27,1.3462427,1.2888463,"('hardhearted', 'softhearted')",1.3462427,1.2888463,-0.0573964
28,1.2446272,1.2868823,"('disloyal', 'loyal')",1.2446272,1.2868823,0.0422551
29,-0.111869015,-0.1599611,"('unfair', 'fair')",-0.111869,-0.1599611,-0.0480921
30,1.1903505,1.1409925,"('intolerant', 'tolerant')",1.1903505,1.1409925,-0.049358
31,-1.429486,-1.36023,"('evil', 'good')",-1.429486,-1.36023,0.069256
32,1.6085248,1.5910342,"('unkind', 'kind')",1.6085248,1.5910342,-0.0174906
33,-0.6074467,-0.60807407,"('wrong', 'right')",-0.6074467,-0.6080741,-0.0006274
34,4.360499,4.5146437,"('mean', 'honorable')",4.3604989,4.5146437,0.1541448
35,-1.0443859,-1.106089,"('corrupt', 'incorrupt')",-1.0443859,-1.106089,-0.0617031
36,-0.93570924,-0.9096599,"('hostile', 'amicable')",-0.9357092,-0.9096599,0.0260493
37,1.035335,1.0885792,"('fake', 'genuine')",1.0353349,1.0885792,0.0532443
38,0.4276778,0.37424883,"('untruthful', 'truthful')",0.4276778,0.3742488,-0.053429
39,0.18297872,0.19264036,"('exploitative', 'cooperative')",0.1829787,0.1926404,0.0096617
40,-1.1969489,-1.2025144,"('stingy', 'generous')",-1.1969489,-1.2025144,-0.0055655
41,0.10887703,0.10786364,"('unforgiving', 'forgiving')",0.108877,0.1078636,-0.0010134
42,-1.7045292,-1.6652868,"('unreliable', 'reliable')",-1.7045292,-1.6652868,0.0392424
43,1.5491103,1.5049173,"('irresponsible', 'responsible')",1.5491103,1.5049173,-0.044193
44,-1.3823509,-1.5145823,"('prejudiced', 'unprejudiced')",-1.3823509,-1.5145823,-0.1322314
45,0.42982438,0.49073902,"('incompetent', 'competent')",0.4298244,0.490739,0.0609146
46,-0.42210642,-0.353799,"('uncompetitive', 'competitive')",-0.4221064,-0.353799,0.0683074
47,5.5154653,5.6601396,"('stupid', 'smart')",5.5154653,5.6601396,0.1446743
48,1.058882,1.0757986,"('unintelligent', 'intelligent')",1.058882,1.0757986,0.0169166
49,0.5409351,0.67344636,"('unable', 'able')",0.5409351,0.6734464,0.1325113
50,0.36305594,0.48230124,"('clumsy', 'skillful')",0.3630559,0.4823012,0.1192453
51,0.87832665,0.94527525,"('uneducated', 'educated')",0.8783267,0.9452752,0.0669485
52,-0.33560142,-0.31539688,"('irrational', 'rational')",-0.3356014,-0.3153969,0.0202045
53,0.6761381,0.7200053,"('uncreative', 'creative')",0.6761381,0.7200053,0.0438672
54,1.4387901,1.5886741,"('incapable', 'capable')",1.4387901,1.5886741,0.149884
55,1.1661745,1.1582478,"('incompetent', 'clever')",1.1661745,1.1582478,-0.0079267
56,0.94064236,0.9231415,"('impractical', 'practical')",0.9406424,0.9231415,-0.0175009
57,-2.3036053,-2.224106,"('unimaginative', 'imaginative')",-2.3036053,-2.2241061,0.0794992
58,0.015419863,0.057761088,"('undiscriminating', 'discriminating')",0.0154199,0.0577611,0.0423412
59,0.42039692,0.53753126,"('foolish', 'wise')",0.4203969,0.5375313,0.1171344
60,0.9904014,0.95227903,"('inefficient', 'efficient')",0.9904014,0.952279,-0.0381224
