,singer_male,singer_female,tuple,average_male,average_female,female-male
0,0.06929849,-0.08502462,"('unsociable', 'sociable')",0.0692985,-0.0850246,-0.1543231
1,1.3030429,1.1536794,"('unfriendly', 'friendly')",1.3030429,1.1536794,-0.1493635
2,0.14053771,0.2549987,"('unlikable', 'likable')",0.1405377,0.2549987,0.114461
3,0.5335553,0.6256292,"('repellent', 'pleasant')",0.5335553,0.6256292,0.0920739
4,-7.5742297,-7.6880465,"('disliked', 'liked')",-7.5742297,-7.6880465,-0.1138168
5,-0.8228201,-0.8501291,"('distant', 'outgoing')",-0.8228201,-0.8501291,-0.027309
6,-0.670709,-0.68656987,"('distant', 'open')",-0.670709,-0.6865699,-0.0158609
7,1.0527357,1.1310737,"('insensitive', 'sensitive')",1.0527357,1.1310737,0.078338
8,0.9013799,0.7976196,"('unaffectionate', 'affectionate')",0.9013799,0.7976196,-0.1037603
9,1.9892712,1.9467244,"('unaffectionate', 'caring')",1.9892712,1.9467244,-0.0425468
10,1.0672634,1.0399852,"('unsympathetic', 'sympathetic')",1.0672634,1.0399852,-0.0272782
11,2.1890137,2.247774,"('unhelpful', 'helpful')",2.1890137,2.2477739,0.0587602
12,-1.0270306,-1.1027986,"('unsupportive', 'supportive')",-1.0270306,-1.1027986,-0.075768
13,0.62689376,0.46917844,"('impolite', 'polite')",0.6268938,0.4691784,-0.1577154
14,-0.30745575,-0.36081722,"('antisocial', 'social')",-0.3074557,-0.3608172,-0.0533615
15,0.2873219,0.2628566,"('boring', 'funny')",0.2873219,0.2628566,-0.0244653
16,-0.63193506,-0.64684296,"('unpopular', 'popular')",-0.6319351,-0.646843,-0.0149079
17,-0.06609762,0.01790321,"('nasty', 'nice')",-0.0660976,0.0179032,0.0840008
18,-0.6905197,-0.6588082,"('disagreeable', 'welcoming')",-0.6905197,-0.6588082,0.0317115
19,-0.15558186,-0.1391247,"('inhospitable', 'hospitable')",-0.1555819,-0.1391247,0.0164572
20,0.51569134,0.48117596,"('rough', 'thoughtful')",0.5156913,0.481176,-0.0345153
21,0.21468394,0.38004255,"('immoral', 'moral')",0.2146839,0.3800426,0.1653587
22,-0.6244246,-0.59215826,"('untrustworthy', 'trustworthy')",-0.6244246,-0.5921583,0.0322663
23,7.1219544,7.160233,"('insincere', 'sincere')",7.1219544,7.160233,0.0382786
24,1.8310272,1.7591887,"('dishonest', 'honest')",1.8310272,1.7591887,-0.0718385
25,0.65923965,0.5814704,"('egoistic', 'altruistic')",0.6592396,0.5814704,-0.0777692
26,0.89825195,0.73933536,"('hardhearted', 'benevolent')",0.898252,0.7393354,-0.1589166
27,1.676223,1.5084394,"('hardhearted', 'softhearted')",1.676223,1.5084394,-0.1677836
28,1.1857387,1.0952137,"('disloyal', 'loyal')",1.1857387,1.0952137,-0.090525
29,-1.3104813,-1.3536617,"('unfair', 'fair')",-1.3104813,-1.3536617,-0.0431804
30,1.0123522,1.0408977,"('intolerant', 'tolerant')",1.0123522,1.0408977,0.0285455
31,-2.0563543,-2.0624735,"('evil', 'good')",-2.0563543,-2.0624735,-0.0061192
32,1.6884387,1.5695168,"('unkind', 'kind')",1.6884387,1.5695168,-0.1189219
33,0.0039039403,-0.0821351,"('wrong', 'right')",0.0039039,-0.0821351,-0.086039
34,4.668582,4.8526983,"('mean', 'honorable')",4.668582,4.8526983,0.1841163
35,-1.1998736,-1.4009452,"('corrupt', 'incorrupt')",-1.1998736,-1.4009452,-0.2010716
36,-1.0433121,-1.168862,"('hostile', 'amicable')",-1.0433121,-1.168862,-0.1255499
37,0.8198918,0.83007276,"('fake', 'genuine')",0.8198918,0.8300728,0.010181
38,0.6285089,0.617416,"('untruthful', 'truthful')",0.6285089,0.617416,-0.0110929
39,0.40452775,0.42756176,"('exploitative', 'cooperative')",0.4045278,0.4275618,0.023034
40,-1.9509873,-2.0802598,"('stingy', 'generous')",-1.9509873,-2.0802598,-0.1292725
41,1.003322,0.8807313,"('unforgiving', 'forgiving')",1.003322,0.8807313,-0.1225907
42,-3.5780172,-3.4960852,"('unreliable', 'reliable')",-3.5780172,-3.4960852,0.081932
43,0.9031021,0.98019606,"('irresponsible', 'responsible')",0.9031021,0.9801961,0.077094
44,-1.8275146,-1.7466632,"('prejudiced', 'unprejudiced')",-1.8275146,-1.7466632,0.0808514
45,-0.048371635,-0.07126926,"('incompetent', 'competent')",-0.0483716,-0.0712693,-0.0228977
46,-0.33242887,-0.33316424,"('uncompetitive', 'competitive')",-0.3324289,-0.3331642,-0.0007353
47,5.0778694,5.0926175,"('stupid', 'smart')",5.0778694,5.0926175,0.0147481
48,0.59914374,0.5523378,"('unintelligent', 'intelligent')",0.5991437,0.5523378,-0.0468059
49,-0.35626814,-0.36652654,"('unable', 'able')",-0.3562681,-0.3665265,-0.0102584
50,-0.5241169,-0.47424737,"('clumsy', 'skillful')",-0.5241169,-0.4742474,0.0498695
