,farming_male,farming_female,tuple,average_male,average_female,female-male
0,0.07583362,-0.060059045,"('unsociable', 'sociable')",0.0758336,-0.060059,-0.1358926
1,1.0305533,1.0364664,"('unfriendly', 'friendly')",1.0305533,1.0364664,0.0059131
2,-0.08124649,-0.068638384,"('unlikable', 'likable')",-0.0812465,-0.0686384,0.0126081
3,0.25748816,0.34851062,"('repellent', 'pleasant')",0.2574882,0.3485106,0.0910224
4,-7.4540386,-7.5526505,"('disliked', 'liked')",-7.4540386,-7.5526505,-0.0986119
5,-0.70608133,-0.62102485,"('distant', 'outgoing')",-0.7060813,-0.6210248,0.0850565
6,-0.26229447,-0.19833614,"('distant', 'open')",-0.2622945,-0.1983361,0.0639584
7,0.59172547,0.6275312,"('insensitive', 'sensitive')",0.5917255,0.6275312,0.0358057
8,1.1274134,1.0643456,"('unaffectionate', 'affectionate')",1.1274134,1.0643456,-0.0630678
9,1.8148929,1.8106475,"('unaffectionate', 'caring')",1.8148929,1.8106475,-0.0042454
10,0.7235546,0.7226467,"('unsympathetic', 'sympathetic')",0.7235546,0.7226467,-0.0009079
11,1.8036885,1.8431803,"('unhelpful', 'helpful')",1.8036885,1.8431803,0.0394918
12,-1.7299095,-1.7239939,"('unsupportive', 'supportive')",-1.7299095,-1.7239939,0.0059156
13,-0.34013808,-0.44575796,"('impolite', 'polite')",-0.3401381,-0.445758,-0.1056199
14,0.37607008,0.25832722,"('antisocial', 'social')",0.3760701,0.2583272,-0.1177429
15,0.19880688,0.112543,"('boring', 'funny')",0.1988069,0.112543,-0.0862639
16,-0.6215322,-0.57647336,"('unpopular', 'popular')",-0.6215322,-0.5764734,0.0450588
17,-0.49770442,-0.49002743,"('nasty', 'nice')",-0.4977044,-0.4900274,0.007677
18,-0.8681035,-0.84912014,"('disagreeable', 'welcoming')",-0.8681035,-0.8491201,0.0189834
19,-0.45114073,-0.42518753,"('inhospitable', 'hospitable')",-0.4511407,-0.4251875,0.0259532
20,0.8240148,0.83731735,"('rough', 'thoughtful')",0.8240148,0.8373173,0.0133025
21,-0.39793754,-0.37505022,"('immoral', 'moral')",-0.3979375,-0.3750502,0.0228873
22,-0.8352181,-0.8747338,"('untrustworthy', 'trustworthy')",-0.8352181,-0.8747338,-0.0395157
23,6.465979,6.4947987,"('insincere', 'sincere')",6.4659791,6.4947987,0.0288196
24,1.5097985,1.3824852,"('dishonest', 'honest')",1.5097985,1.3824852,-0.1273133
