,soulmate_male,soulmate_female,tuple,average_male,average_female,female-male
0,-0.36843458,-0.6202203,"('unsociable', 'sociable')",-0.3684346,-0.6202203,-0.2517857
1,0.7456417,0.6048281,"('unfriendly', 'friendly')",0.7456417,0.6048281,-0.1408136
2,0.18425058,0.07463539,"('unlikable', 'likable')",0.1842506,0.0746354,-0.1096152
3,-0.25147316,0.030090956,"('repellent', 'pleasant')",-0.2514732,0.030091,0.2815642
4,-2.8360143,-3.1070063,"('disliked', 'liked')",-2.8360143,-3.1070063,-0.270992
5,-0.488904,-0.5354329,"('distant', 'outgoing')",-0.488904,-0.5354329,-0.0465289
6,-0.6265278,-0.73293835,"('distant', 'open')",-0.6265278,-0.7329383,-0.1064105
7,0.2337594,0.39035377,"('insensitive', 'sensitive')",0.2337594,0.3903538,0.1565944
8,0.58546257,0.4328175,"('unaffectionate', 'affectionate')",0.5854626,0.4328175,-0.1526451
9,0.5901802,0.6909228,"('unaffectionate', 'caring')",0.5901802,0.6909228,0.1007426
10,-0.80163527,-0.70688176,"('unsympathetic', 'sympathetic')",-0.8016353,-0.7068818,0.0947535
11,0.727233,0.86542976,"('unhelpful', 'helpful')",0.727233,0.8654298,0.1381968
12,-0.96644986,-0.88994604,"('unsupportive', 'supportive')",-0.9664499,-0.889946,0.0765039
13,-0.2807485,-0.5010055,"('impolite', 'polite')",-0.2807485,-0.5010055,-0.220257
14,-0.29727888,-0.44355714,"('antisocial', 'social')",-0.2972789,-0.4435571,-0.1462782
15,0.07146856,-0.21198022,"('boring', 'funny')",0.0714686,-0.2119802,-0.2834488
16,-0.09453183,-0.15782192,"('unpopular', 'popular')",-0.0945318,-0.1578219,-0.0632901
17,0.24957263,0.22849245,"('nasty', 'nice')",0.2495726,0.2284925,-0.0210801
18,0.1763031,0.107695565,"('disagreeable', 'welcoming')",0.1763031,0.1076956,-0.0686075
19,-0.5959458,-0.47345638,"('inhospitable', 'hospitable')",-0.5959458,-0.4734564,0.1224894
20,-0.048460744,-0.069061935,"('rough', 'thoughtful')",-0.0484607,-0.0690619,-0.0206012
21,0.33607894,0.26644135,"('immoral', 'moral')",0.3360789,0.2664413,-0.0696376
22,-0.4116048,-0.38516232,"('untrustworthy', 'trustworthy')",-0.4116048,-0.3851623,0.0264425
23,3.1680522,3.4634929,"('insincere', 'sincere')",3.1680522,3.4634929,0.2954407
24,0.69553065,0.667781,"('dishonest', 'honest')",0.6955307,0.667781,-0.0277497
25,0.4695522,0.3344798,"('egoistic', 'altruistic')",0.4695522,0.3344798,-0.1350724
26,0.5968255,0.2882759,"('hardhearted', 'benevolent')",0.5968255,0.2882759,-0.3085496
27,0.36227944,0.28583705,"('hardhearted', 'softhearted')",0.3622794,0.2858371,-0.0764423
28,0.8857572,0.86901164,"('disloyal', 'loyal')",0.8857572,0.8690116,-0.0167456
29,-0.6603462,-0.6716604,"('unfair', 'fair')",-0.6603462,-0.6716604,-0.0113142
30,0.6133511,0.59749264,"('intolerant', 'tolerant')",0.6133511,0.5974926,-0.0158585
31,-1.5230792,-1.6321545,"('evil', 'good')",-1.5230792,-1.6321545,-0.1090753
32,0.9979044,0.8594609,"('unkind', 'kind')",0.9979044,0.8594609,-0.1384435
33,0.09709142,0.007324271,"('wrong', 'right')",0.0970914,0.0073243,-0.0897671
34,2.100449,2.3934863,"('mean', 'honorable')",2.1004491,2.3934863,0.2930372
35,-0.28426987,-0.34142062,"('corrupt', 'incorrupt')",-0.2842699,-0.3414206,-0.0571507
36,-0.4051291,-0.5852058,"('hostile', 'amicable')",-0.4051291,-0.5852058,-0.1800767
37,0.29634973,0.24722393,"('fake', 'genuine')",0.2963497,0.2472239,-0.0491258
38,0.549127,0.6007451,"('untruthful', 'truthful')",0.549127,0.6007451,0.0516181
39,0.66390103,0.59234375,"('exploitative', 'cooperative')",0.663901,0.5923437,-0.0715573
40,-1.2771131,-1.2190537,"('stingy', 'generous')",-1.2771131,-1.2190537,0.0580594
41,0.37573695,0.11500291,"('unforgiving', 'forgiving')",0.375737,0.1150029,-0.2607341
42,-1.257281,-1.2273496,"('unreliable', 'reliable')",-1.2572809,-1.2273496,0.0299313
43,-0.07570328,-0.063409396,"('irresponsible', 'responsible')",-0.0757033,-0.0634094,0.0122939
44,-0.661407,-0.8529427,"('prejudiced', 'unprejudiced')",-0.661407,-0.8529427,-0.1915357
45,-0.33223182,-0.3440597,"('incompetent', 'competent')",-0.3322318,-0.3440597,-0.0118279
46,-0.46755707,-0.4715429,"('uncompetitive', 'competitive')",-0.4675571,-0.4715429,-0.0039858
47,1.4621067,1.5750306,"('stupid', 'smart')",1.4621067,1.5750306,0.1129239
48,0.5822648,0.5825278,"('unintelligent', 'intelligent')",0.5822648,0.5825278,0.000263
49,0.1746581,0.38334617,"('unable', 'able')",0.1746581,0.3833462,0.2086881
50,0.7204895,0.91641426,"('clumsy', 'skillful')",0.7204895,0.9164143,0.1959248
51,0.011884864,0.14261624,"('uneducated', 'educated')",0.0118849,0.1426162,0.1307313
52,-0.12162317,-0.36128604,"('irrational', 'rational')",-0.1216232,-0.361286,-0.2396628
53,-0.96565294,-0.91396546,"('uncreative', 'creative')",-0.9656529,-0.9139655,0.0516874
54,0.33051673,0.37245673,"('incapable', 'capable')",0.3305167,0.3724567,0.04194
55,0.113779224,0.20366819,"('incompetent', 'clever')",0.1137792,0.2036682,0.089889
56,0.2791267,0.2979903,"('impractical', 'practical')",0.2791267,0.2979903,0.0188636
57,-2.1388347,-2.33948,"('unimaginative', 'imaginative')",-2.1388347,-2.3394799,-0.2006452
58,-0.07845236,-0.18131132,"('undiscriminating', 'discriminating')",-0.0784524,-0.1813113,-0.1028589
59,0.29402837,0.38344786,"('foolish', 'wise')",0.2940284,0.3834479,0.0894195
60,0.9674341,1.0077184,"('inefficient', 'efficient')",0.9674341,1.0077184,0.0402843
