,cooperation_male,cooperation_female,tuple,average_male,average_female,female-male
0,1.2624408,1.109466,"('unsociable', 'sociable')",1.2624408,1.109466,-0.1529748
1,0.3508248,0.33364683,"('unfriendly', 'friendly')",0.3508248,0.3336468,-0.017178
2,0.65501434,0.5873297,"('unlikable', 'likable')",0.6550143,0.5873297,-0.0676846
3,0.858832,0.96426237,"('repellent', 'pleasant')",0.858832,0.9642624,0.1054304
4,-6.981416,-7.0829806,"('disliked', 'liked')",-6.9814162,-7.0829806,-0.1015644
5,-1.815227,-1.5274951,"('distant', 'outgoing')",-1.815227,-1.5274951,0.2877319
6,-1.4774427,-1.2339382,"('distant', 'open')",-1.4774427,-1.2339382,0.2435045
7,1.1709723,1.4241365,"('insensitive', 'sensitive')",1.1709723,1.4241365,0.2531642
8,0.3093452,0.37595433,"('unaffectionate', 'affectionate')",0.3093452,0.3759543,0.0666091
9,1.3367436,1.3801801,"('unaffectionate', 'caring')",1.3367436,1.3801801,0.0434365
10,1.7349831,1.887973,"('unsympathetic', 'sympathetic')",1.7349831,1.887973,0.1529899
11,3.1678185,2.886248,"('unhelpful', 'helpful')",3.1678185,2.8862481,-0.2815704
12,-1.0076792,-0.9398073,"('unsupportive', 'supportive')",-1.0076792,-0.9398073,0.0678719
13,1.1446836,0.9363927,"('impolite', 'polite')",1.1446836,0.9363927,-0.2082909
14,1.4927847,1.3676338,"('antisocial', 'social')",1.4927847,1.3676338,-0.1251509
15,0.505854,0.41965455,"('boring', 'funny')",0.505854,0.4196545,-0.0861995
16,-0.4850974,-0.5530298,"('unpopular', 'popular')",-0.4850974,-0.5530298,-0.0679324
17,0.018672753,-0.09626879,"('nasty', 'nice')",0.0186728,-0.0962688,-0.1149416
18,-1.0897583,-1.017593,"('disagreeable', 'welcoming')",-1.0897583,-1.017593,0.0721653
19,-1.1565878,-1.089067,"('inhospitable', 'hospitable')",-1.1565878,-1.089067,0.0675208
