,pigsty_male,pigsty_female,tuple,average_male,average_female,female-male
0,0.8657164,0.75216067,"('unsociable', 'sociable')",0.8657164,0.7521607,-0.1135557
1,-1.151519,-1.3242936,"('unfriendly', 'friendly')",-1.1515189,-1.3242936,-0.1727747
2,-1.0948718,-1.0333114,"('unlikable', 'likable')",-1.0948718,-1.0333114,0.0615604
3,-1.1153958,-1.0070086,"('repellent', 'pleasant')",-1.1153958,-1.0070086,0.1083872
4,-2.4114356,-2.1304977,"('disliked', 'liked')",-2.4114356,-2.1304977,0.2809379
5,-0.5212647,-0.5814882,"('distant', 'outgoing')",-0.5212647,-0.5814882,-0.0602235
6,-0.36912996,-0.465998,"('distant', 'open')",-0.36913,-0.465998,-0.096868
7,-0.18154563,-0.075749196,"('insensitive', 'sensitive')",-0.1815456,-0.0757492,0.1057964
8,-0.6059368,-0.71563774,"('unaffectionate', 'affectionate')",-0.6059368,-0.7156377,-0.1097009
9,-0.7142105,-0.85527486,"('unaffectionate', 'caring')",-0.7142105,-0.8552749,-0.1410644
10,-0.12156306,-0.27931648,"('unsympathetic', 'sympathetic')",-0.1215631,-0.2793165,-0.1577534
11,0.23799,0.27684528,"('unhelpful', 'helpful')",0.23799,0.2768453,0.0388553
12,-1.0790291,-1.0369587,"('unsupportive', 'supportive')",-1.0790291,-1.0369587,0.0420704
13,-0.100743786,-0.11704472,"('impolite', 'polite')",-0.1007438,-0.1170447,-0.0163009
14,0.35826582,0.5015154,"('antisocial', 'social')",0.3582658,0.5015154,0.1432496
15,1.1578252,1.14392,"('boring', 'funny')",1.1578252,1.1439199,-0.0139053
16,-0.7950422,-0.64869875,"('unpopular', 'popular')",-0.7950422,-0.6486987,0.1463435
17,0.045614175,0.18106511,"('nasty', 'nice')",0.0456142,0.1810651,0.1354509
18,-2.208508,-2.15951,"('disagreeable', 'welcoming')",-2.208508,-2.1595099,0.0489981
19,-1.6770996,-1.7279278,"('inhospitable', 'hospitable')",-1.6770996,-1.7279278,-0.0508282
20,-0.52320284,-0.44590306,"('rough', 'thoughtful')",-0.5232028,-0.4459031,0.0772997
21,-0.46863213,-0.34187,"('immoral', 'moral')",-0.4686321,-0.34187,0.1267621
22,-0.8455706,-0.7922793,"('untrustworthy', 'trustworthy')",-0.8455706,-0.7922793,0.0532913
23,1.340365,1.1315334,"('insincere', 'sincere')",1.3403651,1.1315334,-0.2088317
24,-0.7742403,-0.87231034,"('dishonest', 'honest')",-0.7742403,-0.8723103,-0.09807
25,-0.25267306,-0.3122613,"('egoistic', 'altruistic')",-0.2526731,-0.3122613,-0.0595882
26,0.52770776,0.38062066,"('hardhearted', 'benevolent')",0.5277078,0.3806207,-0.1470871
27,-0.03117025,-0.0994129,"('hardhearted', 'softhearted')",-0.0311703,-0.0994129,-0.0682426
28,-0.40911576,-0.62172866,"('disloyal', 'loyal')",-0.4091158,-0.6217287,-0.2126129
29,-0.6552713,-0.59045327,"('unfair', 'fair')",-0.6552713,-0.5904533,0.064818
30,0.24625875,0.18189567,"('intolerant', 'tolerant')",0.2462588,0.1818957,-0.0643631
31,-1.1023377,-1.0745542,"('evil', 'good')",-1.1023377,-1.0745542,0.0277835
32,-0.013125207,-0.09672579,"('unkind', 'kind')",-0.0131252,-0.0967258,-0.0836006
33,-0.35015994,-0.34846085,"('wrong', 'right')",-0.3501599,-0.3484609,0.001699
34,1.1710455,1.1327239,"('mean', 'honorable')",1.1710455,1.1327239,-0.0383216
35,-0.3524811,-0.38524938,"('corrupt', 'incorrupt')",-0.3524811,-0.3852494,-0.0327683
36,-0.8926039,-0.96651626,"('hostile', 'amicable')",-0.8926039,-0.9665163,-0.0739124
