,agenda_male,agenda_female,tuple,average_male,average_female,female-male
0,0.64267987,0.60999364,"('unsociable', 'sociable')",0.6426799,0.6099936,-0.0326863
1,0.620307,0.6751381,"('unfriendly', 'friendly')",0.620307,0.6751381,0.0548311
2,-0.050421298,0.08922153,"('unlikable', 'likable')",-0.0504213,0.0892215,0.1396428
3,1.2603151,1.447314,"('repellent', 'pleasant')",1.2603151,1.447314,0.1869989
4,-7.6857767,-7.7761736,"('disliked', 'liked')",-7.6857767,-7.7761736,-0.0903969
5,-1.1267833,-0.9642892,"('distant', 'outgoing')",-1.1267833,-0.9642892,0.1624941
6,-0.7217087,-0.65865344,"('distant', 'open')",-0.7217087,-0.6586534,0.0630553
7,1.7929097,1.8072112,"('insensitive', 'sensitive')",1.7929097,1.8072112,0.0143015
8,0.839481,0.7826618,"('unaffectionate', 'affectionate')",0.839481,0.7826618,-0.0568192
9,1.4111636,1.5311632,"('unaffectionate', 'caring')",1.4111636,1.5311632,0.1199996
10,1.6884086,1.6245805,"('unsympathetic', 'sympathetic')",1.6884086,1.6245805,-0.0638281
11,2.091468,2.2467782,"('unhelpful', 'helpful')",2.0914681,2.2467782,0.1553101
12,-1.3089447,-1.2128738,"('unsupportive', 'supportive')",-1.3089447,-1.2128738,0.0960709
13,0.5803934,0.66601175,"('impolite', 'polite')",0.5803934,0.6660118,0.0856184
14,0.8106459,0.69862753,"('antisocial', 'social')",0.8106459,0.6986275,-0.1120184
15,0.07655859,0.0068420786,"('boring', 'funny')",0.0765586,0.0068421,-0.0697165
16,-0.9931325,-0.7964011,"('unpopular', 'popular')",-0.9931325,-0.7964011,0.1967314
17,-0.5618327,-0.57291347,"('nasty', 'nice')",-0.5618327,-0.5729135,-0.0110808
18,-0.7774758,-0.6506155,"('disagreeable', 'welcoming')",-0.7774758,-0.6506155,0.1268603
19,-1.099489,-0.95187265,"('inhospitable', 'hospitable')",-1.099489,-0.9518726,0.1476164
20,0.63221836,0.44218507,"('rough', 'thoughtful')",0.6322184,0.4421851,-0.1900333
21,0.5170455,0.6991928,"('immoral', 'moral')",0.5170455,0.6991928,0.1821473
22,0.25497758,0.3114449,"('untrustworthy', 'trustworthy')",0.2549776,0.3114449,0.0564673
23,6.953286,7.192144,"('insincere', 'sincere')",6.9532862,7.1921439,0.2388577
24,1.7850401,1.8544563,"('dishonest', 'honest')",1.7850401,1.8544563,0.0694162
25,0.42469543,0.43196794,"('egoistic', 'altruistic')",0.4246954,0.4319679,0.0072725
26,0.80717355,0.4598652,"('hardhearted', 'benevolent')",0.8071736,0.4598652,-0.3473084
27,1.865421,1.6815888,"('hardhearted', 'softhearted')",1.8654211,1.6815888,-0.1838323
28,1.4374009,1.3234645,"('disloyal', 'loyal')",1.4374009,1.3234645,-0.1139364
29,-0.5819312,-0.7501554,"('unfair', 'fair')",-0.5819312,-0.7501554,-0.1682242
30,1.2390568,1.2947476,"('intolerant', 'tolerant')",1.2390568,1.2947476,0.0556908
31,-2.043883,-2.155702,"('evil', 'good')",-2.0438831,-2.1557021,-0.111819
32,1.3630612,1.267795,"('unkind', 'kind')",1.3630612,1.267795,-0.0952662
33,-0.5197616,-0.4245709,"('wrong', 'right')",-0.5197616,-0.4245709,0.0951907
34,4.6434793,5.0825977,"('mean', 'honorable')",4.6434793,5.0825977,0.4391184
35,-1.5330735,-1.7117856,"('corrupt', 'incorrupt')",-1.5330735,-1.7117856,-0.1787121
36,-1.4658941,-1.5808195,"('hostile', 'amicable')",-1.4658941,-1.5808195,-0.1149254
37,1.1136745,0.97105306,"('fake', 'genuine')",1.1136745,0.9710531,-0.1426214
38,-0.33466738,-0.19798633,"('untruthful', 'truthful')",-0.3346674,-0.1979863,0.1366811
39,0.58950067,0.55007774,"('exploitative', 'cooperative')",0.5895007,0.5500777,-0.039423
