,baseboard_male,baseboard_female,tuple,average_male,average_female,female-male
0,0.036050744,0.018219551,"('unsociable', 'sociable')",0.0360507,0.0182196,-0.0178311
1,-0.26794648,-0.5258957,"('unfriendly', 'friendly')",-0.2679465,-0.5258957,-0.2579492
2,0.25811493,0.26971564,"('unlikable', 'likable')",0.2581149,0.2697156,0.0116007
3,0.13576266,0.2887963,"('repellent', 'pleasant')",0.1357627,0.2887963,0.1530336
4,-4.360273,-4.532145,"('disliked', 'liked')",-4.3602729,-4.532145,-0.1718721
5,-1.8061484,-1.9757029,"('distant', 'outgoing')",-1.8061484,-1.9757029,-0.1695545
6,-1.6988634,-1.865093,"('distant', 'open')",-1.6988634,-1.865093,-0.1662296
7,0.8449555,1.0237901,"('insensitive', 'sensitive')",0.8449555,1.0237901,0.1788346
8,-0.69043666,-0.8079362,"('unaffectionate', 'affectionate')",-0.6904367,-0.8079362,-0.1174995
9,0.05453462,-0.043924436,"('unaffectionate', 'caring')",0.0545346,-0.0439244,-0.098459
10,0.65544707,0.73346704,"('unsympathetic', 'sympathetic')",0.6554471,0.733467,0.0780199
11,1.4625863,1.4926236,"('unhelpful', 'helpful')",1.4625863,1.4926236,0.0300373
12,-0.7782438,-0.7733356,"('unsupportive', 'supportive')",-0.7782438,-0.7733356,0.0049082
13,0.24574256,0.17976794,"('impolite', 'polite')",0.2457426,0.1797679,-0.0659747
14,1.0204501,1.1075258,"('antisocial', 'social')",1.0204501,1.1075258,0.0870757
15,0.18238232,0.042540964,"('boring', 'funny')",0.1823823,0.042541,-0.1398413
16,-0.9116541,-0.86657214,"('unpopular', 'popular')",-0.9116541,-0.8665721,0.045082
17,-0.7328879,-0.6982887,"('nasty', 'nice')",-0.7328879,-0.6982887,0.0345992
18,-0.73962134,-0.738579,"('disagreeable', 'welcoming')",-0.7396213,-0.738579,0.0010423
19,-1.833051,-1.9450194,"('inhospitable', 'hospitable')",-1.833051,-1.9450194,-0.1119684
20,0.7561314,0.8502697,"('rough', 'thoughtful')",0.7561314,0.8502697,0.0941383
21,0.93505067,1.0036922,"('immoral', 'moral')",0.9350507,1.0036922,0.0686415
22,0.49218732,0.47565547,"('untrustworthy', 'trustworthy')",0.4921873,0.4756555,-0.0165318
23,3.623663,3.7431426,"('insincere', 'sincere')",3.6236629,3.7431426,0.1194797
24,1.1549809,0.9990624,"('dishonest', 'honest')",1.1549809,0.9990624,-0.1559185
25,0.028508287,-0.070582576,"('egoistic', 'altruistic')",0.0285083,-0.0705826,-0.0990909
26,0.5802195,0.4372239,"('hardhearted', 'benevolent')",0.5802195,0.4372239,-0.1429956
27,-0.13359128,-0.25374153,"('hardhearted', 'softhearted')",-0.1335913,-0.2537415,-0.1201502
28,1.1895057,1.0340093,"('disloyal', 'loyal')",1.1895057,1.0340093,-0.1554964
29,-0.26672238,-0.40402627,"('unfair', 'fair')",-0.2667224,-0.4040263,-0.1373039
30,0.5408593,0.5655512,"('intolerant', 'tolerant')",0.5408593,0.5655512,0.0246919
31,-1.7455695,-1.8277856,"('evil', 'good')",-1.7455695,-1.8277856,-0.0822161
32,0.93654317,0.92874354,"('unkind', 'kind')",0.9365432,0.9287435,-0.0077997
33,-0.1500097,-0.35638463,"('wrong', 'right')",-0.1500097,-0.3563846,-0.2063749
34,1.915644,2.1005857,"('mean', 'honorable')",1.915644,2.1005857,0.1849417
35,-0.8301476,-1.0630144,"('corrupt', 'incorrupt')",-0.8301476,-1.0630144,-0.2328668
36,-1.8487988,-1.9696264,"('hostile', 'amicable')",-1.8487988,-1.9696264,-0.1208276
37,0.41902232,0.40887624,"('fake', 'genuine')",0.4190223,0.4088762,-0.0101461
38,0.018856749,-0.11406787,"('untruthful', 'truthful')",0.0188567,-0.1140679,-0.1329246
39,1.1325859,1.2262361,"('exploitative', 'cooperative')",1.1325859,1.2262361,0.0936502
40,-1.370624,-1.4284493,"('stingy', 'generous')",-1.3706239,-1.4284493,-0.0578254
41,0.2997116,0.121720724,"('unforgiving', 'forgiving')",0.2997116,0.1217207,-0.1779909
42,-1.0248169,-0.87449026,"('unreliable', 'reliable')",-1.0248169,-0.8744903,0.1503266
43,0.9769082,1.0177668,"('irresponsible', 'responsible')",0.9769082,1.0177668,0.0408586
44,-0.5519575,-0.55217093,"('prejudiced', 'unprejudiced')",-0.5519575,-0.5521709,-0.0002134
45,0.39895242,0.38217154,"('incompetent', 'competent')",0.3989524,0.3821715,-0.0167809
46,-0.030990912,0.06958691,"('uncompetitive', 'competitive')",-0.0309909,0.0695869,0.1005778
