,cry_male,cry_female,tuple,average_male,average_female,female-male
0,-0.13450283,-0.42086786,"('unsociable', 'sociable')",-0.1345028,-0.4208679,-0.2863651
1,1.482259,1.6038284,"('unfriendly', 'friendly')",1.482259,1.6038284,0.1215694
2,0.2778306,0.43198213,"('unlikable', 'likable')",0.2778306,0.4319821,0.1541515
3,0.765602,0.7934419,"('repellent', 'pleasant')",0.765602,0.7934419,0.0278399
4,-7.6878858,-7.6810236,"('disliked', 'liked')",-7.6878858,-7.6810236,0.0068622
5,-0.19949403,0.17149115,"('distant', 'outgoing')",-0.199494,0.1714911,0.3709851
6,0.17277342,0.53036016,"('distant', 'open')",0.1727734,0.5303602,0.3575868
7,0.59505844,0.4943555,"('insensitive', 'sensitive')",0.5950584,0.4943555,-0.1007029
8,1.6056359,1.7516997,"('unaffectionate', 'affectionate')",1.6056359,1.7516997,0.1460638
9,2.0482414,2.3091412,"('unaffectionate', 'caring')",2.0482414,2.3091412,0.2608998
10,1.3012451,1.2050858,"('unsympathetic', 'sympathetic')",1.3012451,1.2050858,-0.0961593
11,2.1414177,2.1239948,"('unhelpful', 'helpful')",2.1414177,2.1239948,-0.0174229
12,-1.5725917,-1.606837,"('unsupportive', 'supportive')",-1.5725917,-1.606837,-0.0342453
13,0.20933098,-0.18465494,"('impolite', 'polite')",0.209331,-0.1846549,-0.3939859
14,-0.21889828,-0.5815786,"('antisocial', 'social')",-0.2188983,-0.5815786,-0.3626803
15,0.27366412,0.18380576,"('boring', 'funny')",0.2736641,0.1838058,-0.0898583
16,-0.34344238,-0.20644283,"('unpopular', 'popular')",-0.3434424,-0.2064428,0.1369996
17,-0.22949593,-0.23504366,"('nasty', 'nice')",-0.2294959,-0.2350437,-0.0055478
18,-0.5764623,-0.7226389,"('disagreeable', 'welcoming')",-0.5764623,-0.7226389,-0.1461766
19,-0.6404362,-0.3134275,"('inhospitable', 'hospitable')",-0.6404362,-0.3134275,0.3270087
20,0.7730525,0.49613956,"('rough', 'thoughtful')",0.7730525,0.4961396,-0.2769129
21,-0.16074574,-0.19423436,"('immoral', 'moral')",-0.1607457,-0.1942344,-0.0334887
22,-0.72592145,-0.90182465,"('untrustworthy', 'trustworthy')",-0.7259215,-0.9018247,-0.1759032
23,6.6863694,6.6204977,"('insincere', 'sincere')",6.6863694,6.6204977,-0.0658717
24,1.8132666,1.7375315,"('dishonest', 'honest')",1.8132666,1.7375315,-0.0757351
25,0.2707063,0.23606601,"('egoistic', 'altruistic')",0.2707063,0.236066,-0.0346403
26,0.42069584,0.24966122,"('hardhearted', 'benevolent')",0.4206958,0.2496612,-0.1710346
27,1.8793145,1.8035233,"('hardhearted', 'softhearted')",1.8793145,1.8035233,-0.0757912
28,1.4390283,1.4469913,"('disloyal', 'loyal')",1.4390283,1.4469913,0.007963
29,-0.52583474,-0.6292287,"('unfair', 'fair')",-0.5258347,-0.6292287,-0.103394
30,0.7999687,0.6026003,"('intolerant', 'tolerant')",0.7999687,0.6026003,-0.1973684
31,-1.5088861,-1.3294089,"('evil', 'good')",-1.5088861,-1.3294089,0.1794772
32,1.5552527,1.3702886,"('unkind', 'kind')",1.5552527,1.3702886,-0.1849641
33,-0.5925295,-0.45611736,"('wrong', 'right')",-0.5925295,-0.4561174,0.1364121
34,4.9266043,5.0720735,"('mean', 'honorable')",4.9266043,5.0720735,0.1454692
35,-0.8626516,-0.7703219,"('corrupt', 'incorrupt')",-0.8626516,-0.7703219,0.0923297
36,-0.7823313,-0.58749324,"('hostile', 'amicable')",-0.7823313,-0.5874932,0.1948381
37,1.1435615,1.1272151,"('fake', 'genuine')",1.1435615,1.1272151,-0.0163464
38,-0.030179799,0.12225012,"('untruthful', 'truthful')",-0.0301798,0.1222501,0.1524299
39,0.20098725,0.08773613,"('exploitative', 'cooperative')",0.2009872,0.0877361,-0.1132511
40,-1.7709931,-2.1006153,"('stingy', 'generous')",-1.7709931,-2.1006153,-0.3296222
41,0.076873705,0.0186634,"('unforgiving', 'forgiving')",0.0768737,0.0186634,-0.0582103
42,-2.4508665,-2.5982766,"('unreliable', 'reliable')",-2.4508665,-2.5982766,-0.1474101
43,1.262513,1.1381272,"('irresponsible', 'responsible')",1.262513,1.1381272,-0.1243858
