,godfather_male,godfather_female,tuple,average_male,average_female,female-male
0,-0.15830764,-0.1672489,"('unsociable', 'sociable')",-0.1583076,-0.1672489,-0.0089413
1,1.3240653,1.0191048,"('unfriendly', 'friendly')",1.3240653,1.0191048,-0.3049605
2,0.62658405,0.76077855,"('unlikable', 'likable')",0.6265841,0.7607785,0.1341944
3,0.7951389,0.9149546,"('repellent', 'pleasant')",0.7951389,0.9149546,0.1198157
4,-6.699337,-6.731581,"('disliked', 'liked')",-6.699337,-6.7315812,-0.0322442
5,-0.1002576,-0.16429646,"('distant', 'outgoing')",-0.1002576,-0.1642965,-0.0640389
6,0.21686654,0.09728011,"('distant', 'open')",0.2168665,0.0972801,-0.1195864
7,0.35578984,0.42853478,"('insensitive', 'sensitive')",0.3557898,0.4285348,0.072745
8,1.2496006,1.0066966,"('unaffectionate', 'affectionate')",1.2496006,1.0066966,-0.242904
9,1.4635277,1.4362097,"('unaffectionate', 'caring')",1.4635277,1.4362097,-0.027318
10,1.0337895,1.2486047,"('unsympathetic', 'sympathetic')",1.0337895,1.2486047,0.2148152
11,1.6441168,1.7936413,"('unhelpful', 'helpful')",1.6441168,1.7936413,0.1495245
12,-1.5230162,-1.5114907,"('unsupportive', 'supportive')",-1.5230162,-1.5114907,0.0115255
13,0.072295114,0.1764115,"('impolite', 'polite')",0.0722951,0.1764115,0.1041164
14,-0.4869033,-0.42280704,"('antisocial', 'social')",-0.4869033,-0.422807,0.0640963
15,0.20759663,0.08017567,"('boring', 'funny')",0.2075966,0.0801757,-0.1274209
16,-0.28275833,-0.3124338,"('unpopular', 'popular')",-0.2827583,-0.3124338,-0.0296755
17,-0.012926888,0.026329428,"('nasty', 'nice')",-0.0129269,0.0263294,0.0392563
18,-0.46295977,-0.6435401,"('disagreeable', 'welcoming')",-0.4629598,-0.6435401,-0.1805803
19,-0.3444463,-0.37923494,"('inhospitable', 'hospitable')",-0.3444463,-0.3792349,-0.0347886
20,0.6977482,0.5211306,"('rough', 'thoughtful')",0.6977482,0.5211306,-0.1766176
21,-0.15724578,0.12276341,"('immoral', 'moral')",-0.1572458,0.1227634,0.2800092
22,-0.42002875,-0.3249791,"('untrustworthy', 'trustworthy')",-0.4200287,-0.3249791,0.0950496
23,5.648989,5.6274896,"('insincere', 'sincere')",5.6489892,5.6274896,-0.0214996
24,1.4918059,1.488127,"('dishonest', 'honest')",1.4918059,1.488127,-0.0036789
25,0.61475277,0.39428946,"('egoistic', 'altruistic')",0.6147528,0.3942895,-0.2204633
26,0.1719839,0.014963679,"('hardhearted', 'benevolent')",0.1719839,0.0149637,-0.1570202
27,1.6086546,1.3497367,"('hardhearted', 'softhearted')",1.6086546,1.3497367,-0.2589179
28,1.0938331,1.1296647,"('disloyal', 'loyal')",1.0938331,1.1296647,0.0358316
29,-0.45081595,-0.67271054,"('unfair', 'fair')",-0.4508159,-0.6727105,-0.2218946
30,0.4908675,0.6287325,"('intolerant', 'tolerant')",0.4908675,0.6287325,0.137865
31,-1.1744013,-1.394364,"('evil', 'good')",-1.1744013,-1.394364,-0.2199627
32,1.3461571,1.2464819,"('unkind', 'kind')",1.3461571,1.2464819,-0.0996752
33,-0.29424894,-0.3052229,"('wrong', 'right')",-0.2942489,-0.3052229,-0.010974
34,4.1811934,4.3272862,"('mean', 'honorable')",4.1811934,4.3272862,0.1460928
35,-0.96473426,-1.2595588,"('corrupt', 'incorrupt')",-0.9647343,-1.2595588,-0.2948245
36,-0.54648954,-0.8403491,"('hostile', 'amicable')",-0.5464895,-0.8403491,-0.2938596
37,0.9135586,0.85764277,"('fake', 'genuine')",0.9135586,0.8576428,-0.0559158
38,-0.1398334,-0.019132398,"('untruthful', 'truthful')",-0.1398334,-0.0191324,0.120701
39,-0.15409012,-0.1223421,"('exploitative', 'cooperative')",-0.1540901,-0.1223421,0.031748
40,-1.4729626,-1.7182684,"('stingy', 'generous')",-1.4729626,-1.7182684,-0.2453058
41,0.052253127,0.15054922,"('unforgiving', 'forgiving')",0.0522531,0.1505492,0.0982961
42,-1.8467584,-1.7973543,"('unreliable', 'reliable')",-1.8467584,-1.7973543,0.0494041
43,0.92774427,1.03362,"('irresponsible', 'responsible')",0.9277443,1.03362,0.1058757
44,-0.87842184,-0.93833816,"('prejudiced', 'unprejudiced')",-0.8784218,-0.9383382,-0.0599164
45,0.16770476,0.23867033,"('incompetent', 'competent')",0.1677048,0.2386703,0.0709655
46,-0.6030624,-0.42871803,"('uncompetitive', 'competitive')",-0.6030624,-0.428718,0.1743444
47,4.8923893,5.0330677,"('stupid', 'smart')",4.8923893,5.0330677,0.1406784
48,0.2144935,0.21080998,"('unintelligent', 'intelligent')",0.2144935,0.21081,-0.0036835
49,0.27953702,0.41281778,"('unable', 'able')",0.279537,0.4128178,0.1332808
50,0.029227965,-0.076549,"('clumsy', 'skillful')",0.029228,-0.076549,-0.105777
51,0.5156777,0.54847056,"('uneducated', 'educated')",0.5156777,0.5484706,0.0327929
52,-0.18386163,-0.3780216,"('irrational', 'rational')",-0.1838616,-0.3780216,-0.19416
53,0.023859516,-0.13704753,"('uncreative', 'creative')",0.0238595,-0.1370475,-0.160907
54,1.3024746,1.4118822,"('incapable', 'capable')",1.3024746,1.4118822,0.1094076
55,0.3937742,0.52136254,"('incompetent', 'clever')",0.3937742,0.5213625,0.1275883
56,0.34808168,0.53056335,"('impractical', 'practical')",0.3480817,0.5305634,0.1824817
57,-2.4044306,-2.290844,"('unimaginative', 'imaginative')",-2.4044306,-2.290844,0.1135866
58,-0.10254203,-0.15871276,"('undiscriminating', 'discriminating')",-0.102542,-0.1587128,-0.0561708
59,0.20287296,0.1849699,"('foolish', 'wise')",0.202873,0.1849699,-0.0179031
60,0.3771277,0.65800947,"('inefficient', 'efficient')",0.3771277,0.6580095,0.2808818
61,-0.12366058,-0.28568548,"('illogical', 'logical')",-0.1236606,-0.2856855,-0.1620249
62,0.9417164,1.1816409,"('incompetent', 'brilliant')",0.9417164,1.1816409,0.2399245
63,0.292094,0.3731955,"('unperceptive', 'insightful')",0.292094,0.3731955,0.0811015
64,-5.6057224,-5.251738,"('shy', 'confident')",-5.6057224,-5.2517381,0.3539843
65,0.26692802,0.43085182,"('insecure', 'secure')",0.266928,0.4308518,0.1639238
66,0.30151692,0.14341354,"('inactive', 'active')",0.3015169,0.1434135,-0.1581034
67,-0.34987772,-0.23061377,"('doubtful', 'determined')",-0.3498777,-0.2306138,0.1192639
68,-0.5262228,-0.52159643,"('dependent', 'independent')",-0.5262228,-0.5215964,0.0046264
69,-1.7192152,-1.7406762,"('lazy', 'industrious')",-1.7192152,-1.7406762,-0.021461
70,1.1505816,1.2961844,"('lethargic', 'energetic')",1.1505816,1.2961844,0.1456028
71,0.48581016,0.37185016,"('diffident', 'self-confident')",0.4858102,0.3718502,-0.11396
72,0.90749764,1.0610687,"('unambitious', 'ambitious')",0.9074976,1.0610687,0.1535711
73,-2.6126096,-2.6577163,"('helpless', 'self-reliant')",-2.6126096,-2.6577163,-0.0451067
74,0.06456011,-0.067033425,"('undedicated', 'dedicated')",0.0645601,-0.0670334,-0.1315935
75,-0.24773857,-0.1595665,"('meek', 'impulsive')",-0.2477386,-0.1595665,0.0881721
76,0.5845922,0.5645828,"('anxious', 'daring')",0.5845922,0.5645828,-0.0200094
77,-1.2969161,-1.0521282,"('unmotivated', 'motivated')",-1.2969161,-1.0521282,0.2447879
78,-0.764294,-0.8052655,"('nonresilient', 'resilient')",-0.764294,-0.8052655,-0.0409715
79,-0.1331889,-0.1256082,"('wavering', 'unwavering')",-0.1331889,-0.1256082,0.0075807
80,-0.32430574,-0.2757992,"('dominated', 'dominating')",-0.3243057,-0.2757992,0.0485065
81,0.07618195,0.32492518,"('submissive', 'aggressive')",0.0761819,0.3249252,0.2487433
82,6.2729235,6.32855,"('poor', 'rich')",6.2729235,6.3285499,0.0556264
83,-0.24553944,-0.11453715,"('powerless', 'powerful')",-0.2455394,-0.1145371,0.1310023
84,0.24146612,0.23448825,"('inferior', 'superior')",0.2414661,0.2344882,-0.0069779
85,-0.9449733,-1.1982712,"('insignificant', 'prestigious')",-0.9449733,-1.1982712,-0.2532979
86,0.3036608,0.4337955,"('uninfluential', 'influential')",0.3036608,0.4337955,0.1301347
87,-0.23650186,-0.16372897,"('unsuccessful', 'successful')",-0.2365019,-0.163729,0.0727729
88,0.084036864,0.12287,"('low', 'eminent')",0.0840369,0.12287,0.0388331
