,comb_male,comb_female,tuple,average_male,average_female,female-male
0,-0.08929473,-0.34003156,"('unsociable', 'sociable')",-0.0892947,-0.3400316,-0.2507369
1,1.3041859,1.2999537,"('unfriendly', 'friendly')",1.3041859,1.2999537,-0.0042322
2,0.58049864,0.8056372,"('unlikable', 'likable')",0.5804986,0.8056372,0.2251386
3,0.49689406,0.57513905,"('repellent', 'pleasant')",0.4968941,0.575139,0.0782449
4,-7.4361753,-7.403875,"('disliked', 'liked')",-7.4361753,-7.4038749,0.0323004
5,-0.3782312,-0.13820109,"('distant', 'outgoing')",-0.3782312,-0.1382011,0.2400301
6,-0.22066526,-0.016920142,"('distant', 'open')",-0.2206653,-0.0169201,0.2037452
7,0.6411699,0.6315284,"('insensitive', 'sensitive')",0.6411699,0.6315284,-0.0096415
8,0.9768903,1.0504999,"('unaffectionate', 'affectionate')",0.9768903,1.0504999,0.0736096
9,1.6854075,1.8211156,"('unaffectionate', 'caring')",1.6854075,1.8211156,0.1357081
10,1.0212827,1.0441648,"('unsympathetic', 'sympathetic')",1.0212827,1.0441648,0.0228821
11,2.0408323,2.0487473,"('unhelpful', 'helpful')",2.0408323,2.0487473,0.007915
12,-1.8655115,-1.798637,"('unsupportive', 'supportive')",-1.8655115,-1.798637,0.0668745
13,0.37445468,0.27465206,"('impolite', 'polite')",0.3744547,0.2746521,-0.0998026
14,-0.20072404,-0.44375032,"('antisocial', 'social')",-0.200724,-0.4437503,-0.2430263
15,0.90028214,0.810775,"('boring', 'funny')",0.9002821,0.810775,-0.0895071
16,-0.053867176,-0.03955988,"('unpopular', 'popular')",-0.0538672,-0.0395599,0.0143073
17,-0.48132497,-0.47729123,"('nasty', 'nice')",-0.481325,-0.4772912,0.0040338
18,-0.6731316,-0.8075964,"('disagreeable', 'welcoming')",-0.6731316,-0.8075964,-0.1344648
19,-0.59659153,-0.36125877,"('inhospitable', 'hospitable')",-0.5965915,-0.3612588,0.2353327
20,1.0462391,0.8386537,"('rough', 'thoughtful')",1.0462391,0.8386537,-0.2075854
21,-0.1299155,-0.080754176,"('immoral', 'moral')",-0.1299155,-0.0807542,0.0491613
22,-0.7887541,-0.7547467,"('untrustworthy', 'trustworthy')",-0.7887541,-0.7547467,0.0340074
23,6.314502,6.2868824,"('insincere', 'sincere')",6.3145018,6.2868824,-0.0276194
24,1.5413159,1.5701592,"('dishonest', 'honest')",1.5413159,1.5701592,0.0288433
25,0.47667873,0.3395635,"('egoistic', 'altruistic')",0.4766787,0.3395635,-0.1371152
26,0.6997266,0.48123607,"('hardhearted', 'benevolent')",0.6997266,0.4812361,-0.2184905
27,1.3220708,1.1633606,"('hardhearted', 'softhearted')",1.3220708,1.1633606,-0.1587102
28,0.8740627,0.7501362,"('disloyal', 'loyal')",0.8740627,0.7501362,-0.1239265
29,-0.8722428,-0.835904,"('unfair', 'fair')",-0.8722428,-0.835904,0.0363388
30,1.3712777,1.1730475,"('intolerant', 'tolerant')",1.3712777,1.1730475,-0.1982302
31,-1.6455121,-1.5249712,"('evil', 'good')",-1.6455121,-1.5249712,0.1205409
32,1.0382339,0.949037,"('unkind', 'kind')",1.0382339,0.949037,-0.0891969
33,-0.2214227,-0.12990043,"('wrong', 'right')",-0.2214227,-0.1299004,0.0915223
34,4.49137,4.6726804,"('mean', 'honorable')",4.4913702,4.6726804,0.1813102
35,-0.97716933,-1.0751053,"('corrupt', 'incorrupt')",-0.9771693,-1.0751053,-0.097936
36,-0.7447337,-0.77006817,"('hostile', 'amicable')",-0.7447337,-0.7700682,-0.0253345
37,0.7180116,0.7350392,"('fake', 'genuine')",0.7180116,0.7350392,0.0170276
38,-0.21208741,-0.11989568,"('untruthful', 'truthful')",-0.2120874,-0.1198957,0.0921917
39,0.32510296,0.18898147,"('exploitative', 'cooperative')",0.325103,0.1889815,-0.1361215
40,-2.1255996,-2.2460346,"('stingy', 'generous')",-2.1255996,-2.2460346,-0.120435
41,-0.20469049,-0.30420455,"('unforgiving', 'forgiving')",-0.2046905,-0.3042046,-0.0995141
42,-2.3332903,-2.2230515,"('unreliable', 'reliable')",-2.3332903,-2.2230515,0.1102388
43,1.2503822,1.2588046,"('irresponsible', 'responsible')",1.2503822,1.2588046,0.0084224
44,-1.5764612,-1.5901631,"('prejudiced', 'unprejudiced')",-1.5764612,-1.5901631,-0.0137019
45,-0.05543649,-0.035409056,"('incompetent', 'competent')",-0.0554365,-0.0354091,0.0200274
46,-0.48152104,-0.4782727,"('uncompetitive', 'competitive')",-0.481521,-0.4782727,0.0032483
47,4.755849,4.9747176,"('stupid', 'smart')",4.7558489,4.9747176,0.2188687
48,1.2578785,1.100468,"('unintelligent', 'intelligent')",1.2578785,1.100468,-0.1574105
49,0.3515428,0.44776234,"('unable', 'able')",0.3515428,0.4477623,0.0962195
50,0.036652513,0.1403791,"('clumsy', 'skillful')",0.0366525,0.1403791,0.1037266
51,0.50072575,0.44524872,"('uneducated', 'educated')",0.5007257,0.4452487,-0.055477
52,-0.38550115,-0.4953431,"('irrational', 'rational')",-0.3855011,-0.4953431,-0.109842
