,cub_male,cub_female,tuple,average_male,average_female,female-male
0,0.87296563,0.7755641,"('unsociable', 'sociable')",0.8729656,0.7755641,-0.0974015
1,0.94058746,0.81891173,"('unfriendly', 'friendly')",0.9405875,0.8189117,-0.1216758
2,0.01982996,0.13699962,"('unlikable', 'likable')",0.01983,0.1369996,0.1171696
3,0.83464015,0.9481415,"('repellent', 'pleasant')",0.8346401,0.9481415,0.1135014
4,-7.2247057,-7.407173,"('disliked', 'liked')",-7.2247057,-7.4071732,-0.1824675
5,-0.7165628,-0.8036332,"('distant', 'outgoing')",-0.7165628,-0.8036332,-0.0870704
6,-0.34720513,-0.5297881,"('distant', 'open')",-0.3472051,-0.5297881,-0.182583
7,1.54677,1.5481548,"('insensitive', 'sensitive')",1.54677,1.5481548,0.0013848
8,1.0201635,0.8294464,"('unaffectionate', 'affectionate')",1.0201635,0.8294464,-0.1907171
9,1.4950773,1.3255651,"('unaffectionate', 'caring')",1.4950773,1.3255651,-0.1695122
10,1.5315039,1.5753736,"('unsympathetic', 'sympathetic')",1.5315039,1.5753736,0.0438697
11,1.964626,2.0026746,"('unhelpful', 'helpful')",1.964626,2.0026746,0.0380486
12,-1.3569331,-1.3813663,"('unsupportive', 'supportive')",-1.3569331,-1.3813663,-0.0244332
13,0.3637445,0.55113846,"('impolite', 'polite')",0.3637445,0.5511385,0.187394
14,0.8343938,0.8613416,"('antisocial', 'social')",0.8343938,0.8613416,0.0269478
15,0.5472683,0.4237678,"('boring', 'funny')",0.5472683,0.4237678,-0.1235005
16,-0.92327535,-0.99222445,"('unpopular', 'popular')",-0.9232754,-0.9922245,-0.0689491
17,-0.06293077,0.010035969,"('nasty', 'nice')",-0.0629308,0.010036,0.0729668
18,-0.53513676,-0.43903425,"('disagreeable', 'welcoming')",-0.5351368,-0.4390343,0.0961025
19,-0.8763619,-0.91670597,"('inhospitable', 'hospitable')",-0.8763619,-0.916706,-0.0403441
20,0.67680395,0.6032367,"('rough', 'thoughtful')",0.6768039,0.6032367,-0.0735672
21,0.14481927,0.37602347,"('immoral', 'moral')",0.1448193,0.3760235,0.2312042
22,0.08294378,0.12835823,"('untrustworthy', 'trustworthy')",0.0829438,0.1283582,0.0454144
23,6.1517673,6.2890477,"('insincere', 'sincere')",6.1517673,6.2890477,0.1372804
24,1.4720086,1.416145,"('dishonest', 'honest')",1.4720086,1.416145,-0.0558636
25,0.29863298,0.38388282,"('egoistic', 'altruistic')",0.298633,0.3838828,0.0852498
