,grasshopper_male,grasshopper_female,tuple,average_male,average_female,female-male
0,0.5370743,0.2904051,"('unsociable', 'sociable')",0.5370743,0.2904051,-0.2466692
1,-0.3692442,-0.772757,"('unfriendly', 'friendly')",-0.3692442,-0.772757,-0.4035128
2,-0.17679833,-0.14069818,"('unlikable', 'likable')",-0.1767983,-0.1406982,0.0361001
3,-0.6535429,-0.5237363,"('repellent', 'pleasant')",-0.6535429,-0.5237363,0.1298066
4,-1.91152,-2.2094657,"('disliked', 'liked')",-1.91152,-2.2094657,-0.2979457
5,-1.2675585,-1.49595,"('distant', 'outgoing')",-1.2675585,-1.49595,-0.2283915
6,-1.3664265,-1.6083431,"('distant', 'open')",-1.3664265,-1.6083431,-0.2419166
7,0.1265169,0.20181139,"('insensitive', 'sensitive')",0.1265169,0.2018114,0.0752945
8,-0.21823752,-0.35521346,"('unaffectionate', 'affectionate')",-0.2182375,-0.3552135,-0.136976
9,-0.05524812,-0.20313565,"('unaffectionate', 'caring')",-0.0552481,-0.2031357,-0.1478876
10,0.06619713,0.1662339,"('unsympathetic', 'sympathetic')",0.0661971,0.1662339,0.1000368
11,0.70129997,0.932037,"('unhelpful', 'helpful')",0.7013,0.932037,0.230737
12,-1.1616993,-1.122062,"('unsupportive', 'supportive')",-1.1616993,-1.122062,0.0396373
13,0.24692921,0.24826702,"('impolite', 'polite')",0.2469292,0.248267,0.0013378
14,0.9878685,0.9816936,"('antisocial', 'social')",0.9878685,0.9816936,-0.0061749
15,0.093393624,0.057864238,"('boring', 'funny')",0.0933936,0.0578642,-0.0355294
16,-0.62073565,-0.7272711,"('unpopular', 'popular')",-0.6207356,-0.7272711,-0.1065355
17,-0.83882916,-0.7111393,"('nasty', 'nice')",-0.8388292,-0.7111393,0.1276899
18,-1.1234837,-1.255284,"('disagreeable', 'welcoming')",-1.1234837,-1.255284,-0.1318003
19,-1.1146054,-1.1707455,"('inhospitable', 'hospitable')",-1.1146054,-1.1707455,-0.0561401
20,0.28387973,0.3299083,"('rough', 'thoughtful')",0.2838797,0.3299083,0.0460286
21,0.3825069,0.40137744,"('immoral', 'moral')",0.3825069,0.4013774,0.0188705
22,-0.22051458,-0.24944827,"('untrustworthy', 'trustworthy')",-0.2205146,-0.2494483,-0.0289337
23,1.4781147,1.6489114,"('insincere', 'sincere')",1.4781147,1.6489114,0.1707967
24,0.08400499,-0.010166679,"('dishonest', 'honest')",0.084005,-0.0101667,-0.0941717
25,-0.041062288,-0.26912275,"('egoistic', 'altruistic')",-0.0410623,-0.2691227,-0.2280604
26,0.44392955,0.29432613,"('hardhearted', 'benevolent')",0.4439296,0.2943261,-0.1496035
27,-0.14315109,-0.18333548,"('hardhearted', 'softhearted')",-0.1431511,-0.1833355,-0.0401844
28,0.54122984,0.273742,"('disloyal', 'loyal')",0.5412298,0.273742,-0.2674878
29,-0.10148678,-0.48548025,"('unfair', 'fair')",-0.1014868,-0.4854802,-0.3839934
30,0.8177035,0.88605994,"('intolerant', 'tolerant')",0.8177035,0.8860599,0.0683564
31,-1.8496505,-1.997906,"('evil', 'good')",-1.8496505,-1.997906,-0.1482555
32,0.39621276,0.27209455,"('unkind', 'kind')",0.3962128,0.2720945,-0.1241183
33,-0.32504657,-0.54432595,"('wrong', 'right')",-0.3250466,-0.5443259,-0.2192793
34,0.93477917,1.2541872,"('mean', 'honorable')",0.9347792,1.2541872,0.319408
35,-0.03894135,-0.2966773,"('corrupt', 'incorrupt')",-0.0389413,-0.2966773,-0.257736
36,-1.0358597,-1.3856968,"('hostile', 'amicable')",-1.0358597,-1.3856968,-0.3498371
37,0.317601,0.33656782,"('fake', 'genuine')",0.317601,0.3365678,0.0189668
38,0.26497912,0.20385014,"('untruthful', 'truthful')",0.2649791,0.2038501,-0.061129
39,1.0058769,1.1930208,"('exploitative', 'cooperative')",1.0058769,1.1930208,0.1871439
40,-1.8124288,-1.9241314,"('stingy', 'generous')",-1.8124288,-1.9241314,-0.1117026
41,0.048896674,-0.036202382,"('unforgiving', 'forgiving')",0.0488967,-0.0362024,-0.0850991
42,-1.05673,-1.0081705,"('unreliable', 'reliable')",-1.05673,-1.0081705,0.0485595
43,-0.05751256,0.09746504,"('irresponsible', 'responsible')",-0.0575126,0.097465,0.1549776
44,-0.6439283,-0.44346482,"('prejudiced', 'unprejudiced')",-0.6439283,-0.4434648,0.2004635
45,0.15165906,0.1046422,"('incompetent', 'competent')",0.1516591,0.1046422,-0.0470169
46,-0.202255,-0.11440435,"('uncompetitive', 'competitive')",-0.202255,-0.1144044,0.0878506
47,1.5205264,1.7835747,"('stupid', 'smart')",1.5205264,1.7835747,0.2630483
