,premier_male,premier_female,tuple,average_male,average_female,female-male
0,0.27121222,0.22426604,"('unsociable', 'sociable')",0.2712122,0.224266,-0.0469462
1,0.8960964,0.8885643,"('unfriendly', 'friendly')",0.8960964,0.8885643,-0.0075321
2,-0.08175586,0.11208558,"('unlikable', 'likable')",-0.0817559,0.1120856,0.1938415
3,0.7953001,0.8948318,"('repellent', 'pleasant')",0.7953001,0.8948318,0.0995317
4,-6.990262,-7.101593,"('disliked', 'liked')",-6.990262,-7.101593,-0.111331
5,-0.5350659,-0.35586438,"('distant', 'outgoing')",-0.5350659,-0.3558644,0.1792015
6,-0.07798487,-0.0032942444,"('distant', 'open')",-0.0779849,-0.0032942,0.0746907
7,1.1429586,1.1883956,"('insensitive', 'sensitive')",1.1429586,1.1883956,0.045437
8,0.8873335,0.92385864,"('unaffectionate', 'affectionate')",0.8873335,0.9238586,0.0365251
9,1.1798102,1.2645797,"('unaffectionate', 'caring')",1.1798102,1.2645797,0.0847695
10,0.9217199,0.9149927,"('unsympathetic', 'sympathetic')",0.9217199,0.9149927,-0.0067272
11,1.335437,1.3532631,"('unhelpful', 'helpful')",1.3354371,1.3532631,0.017826
12,-1.5916848,-1.5224121,"('unsupportive', 'supportive')",-1.5916848,-1.5224121,0.0692727
13,-0.11190203,-0.027031202,"('impolite', 'polite')",-0.111902,-0.0270312,0.0848708
14,0.27646145,0.28156924,"('antisocial', 'social')",0.2764615,0.2815692,0.0051077
15,0.3423977,0.3177666,"('boring', 'funny')",0.3423977,0.3177666,-0.0246311
16,-0.7220922,-0.65108395,"('unpopular', 'popular')",-0.7220922,-0.6510839,0.0710083
17,-0.056234904,0.062294196,"('nasty', 'nice')",-0.0562349,0.0622942,0.1185291
18,-0.44015038,-0.33747497,"('disagreeable', 'welcoming')",-0.4401504,-0.337475,0.1026754
19,-0.6526563,-0.48954344,"('inhospitable', 'hospitable')",-0.6526563,-0.4895434,0.1631129
