,grandfather_male,grandfather_female,tuple,average_male,average_female,female-male
0,0.26513416,0.30166718,"('unsociable', 'sociable')",0.2651342,0.3016672,0.036533
1,1.3174787,1.2861199,"('unfriendly', 'friendly')",1.3174787,1.2861199,-0.0313588
2,0.58522016,0.7800784,"('unlikable', 'likable')",0.5852202,0.7800784,0.1948582
3,0.9089985,1.1160768,"('repellent', 'pleasant')",0.9089985,1.1160768,0.2070783
4,-7.1148276,-6.900713,"('disliked', 'liked')",-7.1148276,-6.900713,0.2141146
5,-0.20347086,-0.11428338,"('distant', 'outgoing')",-0.2034709,-0.1142834,0.0891875
6,-0.051000543,0.0026052054,"('distant', 'open')",-0.0510005,0.0026052,0.0536057
7,1.5157994,1.6032617,"('insensitive', 'sensitive')",1.5157994,1.6032617,0.0874623
8,0.9767457,0.90141064,"('unaffectionate', 'affectionate')",0.9767457,0.9014106,-0.0753351
9,1.2827184,1.3136573,"('unaffectionate', 'caring')",1.2827184,1.3136573,0.0309389
10,1.5383266,1.6461247,"('unsympathetic', 'sympathetic')",1.5383266,1.6461247,0.1077981
11,2.215682,2.2326066,"('unhelpful', 'helpful')",2.215682,2.2326066,0.0169246
12,-0.86358,-0.73390186,"('unsupportive', 'supportive')",-0.86358,-0.7339019,0.1296781
13,0.42928082,0.43096924,"('impolite', 'polite')",0.4292808,0.4309692,0.0016884
14,0.4212408,0.42877635,"('antisocial', 'social')",0.4212408,0.4287764,0.0075356
15,0.17558558,0.19732395,"('boring', 'funny')",0.1755856,0.1973239,0.0217383
16,-0.69388855,-0.4922162,"('unpopular', 'popular')",-0.6938885,-0.4922162,0.2016723
17,-0.17099044,-0.09436988,"('nasty', 'nice')",-0.1709904,-0.0943699,0.0766205
18,-0.15838432,-0.09765124,"('disagreeable', 'welcoming')",-0.1583843,-0.0976512,0.0607331
19,-0.2893846,-0.23185278,"('inhospitable', 'hospitable')",-0.2893846,-0.2318528,0.0575318
20,0.8424636,0.7186421,"('rough', 'thoughtful')",0.8424636,0.7186421,-0.1238215
21,0.36941814,0.54934406,"('immoral', 'moral')",0.3694181,0.5493441,0.179926
22,0.3058898,0.26508325,"('untrustworthy', 'trustworthy')",0.3058898,0.2650833,-0.0408065
23,6.725785,6.7454305,"('insincere', 'sincere')",6.7257848,6.7454305,0.0196457
24,2.1288743,2.1887686,"('dishonest', 'honest')",2.1288743,2.1887686,0.0598943
25,0.37425518,0.2887961,"('egoistic', 'altruistic')",0.3742552,0.2887961,-0.0854591
26,0.024501368,-0.035644002,"('hardhearted', 'benevolent')",0.0245014,-0.035644,-0.0601454
27,1.3298258,1.25702,"('hardhearted', 'softhearted')",1.3298258,1.25702,-0.0728058
28,1.259525,1.3222995,"('disloyal', 'loyal')",1.2595249,1.3222995,0.0627746
29,-0.23911762,-0.309763,"('unfair', 'fair')",-0.2391176,-0.309763,-0.0706454
30,1.0950749,1.064382,"('intolerant', 'tolerant')",1.0950749,1.064382,-0.0306929
31,-1.5613941,-1.473384,"('evil', 'good')",-1.5613941,-1.473384,0.0880101
32,1.435812,1.4046235,"('unkind', 'kind')",1.435812,1.4046235,-0.0311885
33,-0.5646201,-0.57419866,"('wrong', 'right')",-0.5646201,-0.5741987,-0.0095786
34,4.4210095,4.533347,"('mean', 'honorable')",4.4210095,4.5333471,0.1123376
35,-1.1852914,-1.2382642,"('corrupt', 'incorrupt')",-1.1852914,-1.2382642,-0.0529728
36,-1.1941129,-1.3217541,"('hostile', 'amicable')",-1.1941129,-1.3217541,-0.1276412
37,0.9420521,0.9686809,"('fake', 'genuine')",0.9420521,0.9686809,0.0266288
38,0.26597756,0.22586772,"('untruthful', 'truthful')",0.2659776,0.2258677,-0.0401099
39,-0.012851942,0.022888945,"('exploitative', 'cooperative')",-0.0128519,0.0228889,0.0357408
40,-0.9477394,-0.88696015,"('stingy', 'generous')",-0.9477394,-0.8869601,0.0607793
