,oleo_male,oleo_female,tuple,average_male,average_female,female-male
0,-0.19713111,-0.363592,"('unsociable', 'sociable')",-0.1971311,-0.363592,-0.1664609
1,-0.28525028,-0.22453043,"('unfriendly', 'friendly')",-0.2852503,-0.2245304,0.0607199
2,0.74917585,0.824142,"('unlikable', 'likable')",0.7491758,0.824142,0.0749662
3,0.33401266,0.3455608,"('repellent', 'pleasant')",0.3340127,0.3455608,0.0115481
4,-2.5923827,-2.5712602,"('disliked', 'liked')",-2.5923827,-2.5712602,0.0211225
5,-0.9591348,-0.78791916,"('distant', 'outgoing')",-0.9591348,-0.7879192,0.1712156
6,-1.2193637,-1.0129515,"('distant', 'open')",-1.2193637,-1.0129515,0.2064122
7,0.18376204,0.11117742,"('insensitive', 'sensitive')",0.183762,0.1111774,-0.0725846
8,-0.34076792,-0.31272703,"('unaffectionate', 'affectionate')",-0.3407679,-0.312727,0.0280409
9,-0.2195777,-0.22475499,"('unaffectionate', 'caring')",-0.2195777,-0.224755,-0.0051773
10,-0.0828629,-0.19011003,"('unsympathetic', 'sympathetic')",-0.0828629,-0.19011,-0.1072471
11,0.9085556,0.75563097,"('unhelpful', 'helpful')",0.9085556,0.755631,-0.1529246
12,-1.0863816,-1.03303,"('unsupportive', 'supportive')",-1.0863816,-1.03303,0.0533516
13,0.31177044,0.10983209,"('impolite', 'polite')",0.3117704,0.1098321,-0.2019383
14,0.15463023,-0.045861714,"('antisocial', 'social')",0.1546302,-0.0458617,-0.2004919
15,0.44909066,0.4018944,"('boring', 'funny')",0.4490907,0.4018944,-0.0471963
16,-0.2549753,-0.22166064,"('unpopular', 'popular')",-0.2549753,-0.2216606,0.0333147
17,-0.20253263,-0.19142829,"('nasty', 'nice')",-0.2025326,-0.1914283,0.0111043
18,-0.7821903,-0.7916049,"('disagreeable', 'welcoming')",-0.7821903,-0.7916049,-0.0094146
19,-0.6295698,-0.4376839,"('inhospitable', 'hospitable')",-0.6295698,-0.4376839,0.1918859
20,-0.051356163,-0.15748812,"('rough', 'thoughtful')",-0.0513562,-0.1574881,-0.1061319
21,0.685117,0.57384485,"('immoral', 'moral')",0.685117,0.5738449,-0.1112721
22,-0.6670097,-0.7826192,"('untrustworthy', 'trustworthy')",-0.6670097,-0.7826192,-0.1156095
23,2.2853034,2.1360967,"('insincere', 'sincere')",2.2853034,2.1360967,-0.1492067
24,0.27063322,0.18761203,"('dishonest', 'honest')",0.2706332,0.187612,-0.0830212
25,-0.1887393,-0.14976767,"('egoistic', 'altruistic')",-0.1887393,-0.1497677,0.0389716
26,0.71157014,0.6979601,"('hardhearted', 'benevolent')",0.7115701,0.6979601,-0.01361
27,0.06278988,0.05430421,"('hardhearted', 'softhearted')",0.0627899,0.0543042,-0.0084857
28,0.33116823,0.13375299,"('disloyal', 'loyal')",0.3311682,0.133753,-0.1974152
29,-1.3253169,-1.3347259,"('unfair', 'fair')",-1.3253169,-1.3347259,-0.009409
30,0.80883884,0.6525143,"('intolerant', 'tolerant')",0.8088388,0.6525143,-0.1563245
31,-1.6048212,-1.3146718,"('evil', 'good')",-1.6048212,-1.3146718,0.2901494
32,0.60943496,0.43896142,"('unkind', 'kind')",0.609435,0.4389614,-0.1704736
33,-0.34279162,-0.36473966,"('wrong', 'right')",-0.3427916,-0.3647397,-0.0219481
34,2.0888662,2.2196417,"('mean', 'honorable')",2.0888662,2.2196417,0.1307755
35,-0.7593095,-0.7393377,"('corrupt', 'incorrupt')",-0.7593095,-0.7393377,0.0199718
36,-0.6976798,-0.6094975,"('hostile', 'amicable')",-0.6976798,-0.6094975,0.0881823
37,-0.20122354,-0.25813365,"('fake', 'genuine')",-0.2012235,-0.2581336,-0.0569101
38,-0.19851743,-0.22758116,"('untruthful', 'truthful')",-0.1985174,-0.2275812,-0.0290638
39,0.35465318,0.31872818,"('exploitative', 'cooperative')",0.3546532,0.3187282,-0.035925
40,-1.2493086,-1.2254455,"('stingy', 'generous')",-1.2493086,-1.2254455,0.0238631
41,0.106250346,0.0771012,"('unforgiving', 'forgiving')",0.1062503,0.0771012,-0.0291491
42,-1.2855583,-1.3282909,"('unreliable', 'reliable')",-1.2855583,-1.3282909,-0.0427326
43,0.22877668,0.192997,"('irresponsible', 'responsible')",0.2287767,0.192997,-0.0357797
44,-0.63408506,-0.6793257,"('prejudiced', 'unprejudiced')",-0.6340851,-0.6793257,-0.0452406
45,-0.34654373,-0.33862448,"('incompetent', 'competent')",-0.3465437,-0.3386245,0.0079192
46,-0.05392106,-0.19386466,"('uncompetitive', 'competitive')",-0.0539211,-0.1938647,-0.1399436
47,1.9605107,2.0423064,"('stupid', 'smart')",1.9605107,2.0423064,0.0817957
48,0.3008802,0.26044595,"('unintelligent', 'intelligent')",0.3008802,0.260446,-0.0404342
49,-0.05251173,0.0046988875,"('unable', 'able')",-0.0525117,0.0046989,0.0572106
50,-0.081428856,-0.1539447,"('clumsy', 'skillful')",-0.0814289,-0.1539447,-0.0725158
51,-0.06425133,-0.20022446,"('uneducated', 'educated')",-0.0642513,-0.2002245,-0.1359732
52,-0.68176675,-0.64030087,"('irrational', 'rational')",-0.6817667,-0.6403009,0.0414658
53,-1.0595978,-1.0323056,"('uncreative', 'creative')",-1.0595978,-1.0323056,0.0272922
54,0.12483385,0.18756115,"('incapable', 'capable')",0.1248339,0.1875612,0.0627273
