,dogsled_male,dogsled_female,tuple,average_male,average_female,female-male
0,0.28140095,0.179891,"('unsociable', 'sociable')",0.2814009,0.179891,-0.1015099
1,-0.5115502,-0.59996253,"('unfriendly', 'friendly')",-0.5115502,-0.5999625,-0.0884123
2,-0.17268378,-0.0966136,"('unlikable', 'likable')",-0.1726838,-0.0966136,0.0760702
3,-0.14456154,-0.10544849,"('repellent', 'pleasant')",-0.1445615,-0.1054485,0.039113
4,-4.061383,-4.067548,"('disliked', 'liked')",-4.0613828,-4.0675478,-0.006165
5,-1.204362,-1.2291325,"('distant', 'outgoing')",-1.204362,-1.2291325,-0.0247705
6,-1.0809661,-1.1211997,"('distant', 'open')",-1.0809661,-1.1211997,-0.0402336
7,0.6005104,0.6434163,"('insensitive', 'sensitive')",0.6005104,0.6434163,0.0429059
8,-0.13390335,-0.22987118,"('unaffectionate', 'affectionate')",-0.1339034,-0.2298712,-0.0959678
9,0.03481253,-0.01923069,"('unaffectionate', 'caring')",0.0348125,-0.0192307,-0.0540432
10,0.46216473,0.43141988,"('unsympathetic', 'sympathetic')",0.4621647,0.4314199,-0.0307448
11,1.2880154,1.360994,"('unhelpful', 'helpful')",1.2880154,1.360994,0.0729786
12,-0.8772606,-0.80847913,"('unsupportive', 'supportive')",-0.8772606,-0.8084791,0.0687815
13,0.02055009,-0.055192,"('impolite', 'polite')",0.0205501,-0.055192,-0.0757421
14,0.72603595,0.6842933,"('antisocial', 'social')",0.726036,0.6842933,-0.0417427
15,0.07104318,0.022814631,"('boring', 'funny')",0.0710432,0.0228146,-0.0482286
16,-0.25038248,-0.22693257,"('unpopular', 'popular')",-0.2503825,-0.2269326,0.0234499
17,-0.40152973,-0.354772,"('nasty', 'nice')",-0.4015297,-0.354772,0.0467577
18,-0.44908023,-0.47121137,"('disagreeable', 'welcoming')",-0.4490802,-0.4712114,-0.0221312
19,-0.9342669,-0.9180007,"('inhospitable', 'hospitable')",-0.9342669,-0.9180007,0.0162662
20,0.30184507,0.30633223,"('rough', 'thoughtful')",0.3018451,0.3063322,0.0044871
21,0.47638217,0.53328526,"('immoral', 'moral')",0.4763822,0.5332853,0.0569031
22,0.071825005,0.11236008,"('untrustworthy', 'trustworthy')",0.071825,0.1123601,0.0405351
23,3.5909517,3.573512,"('insincere', 'sincere')",3.5909517,3.5735121,-0.0174396
24,0.75695384,0.64861584,"('dishonest', 'honest')",0.7569538,0.6486158,-0.108338
25,-0.033686183,-0.100990556,"('egoistic', 'altruistic')",-0.0336862,-0.1009906,-0.0673044
