,correspondent_male,correspondent_female,tuple,average_male,average_female,female-male
0,-0.080437794,-0.13089685,"('unsociable', 'sociable')",-0.0804378,-0.1308969,-0.0504591
1,0.97056264,0.9507177,"('unfriendly', 'friendly')",0.9705626,0.9507177,-0.0198449
2,-0.08789087,-0.02280641,"('unlikable', 'likable')",-0.0878909,-0.0228064,0.0650845
3,0.6492294,0.6282802,"('repellent', 'pleasant')",0.6492294,0.6282802,-0.0209492
4,-7.0956993,-7.1823964,"('disliked', 'liked')",-7.0956993,-7.1823964,-0.0866971
5,-0.9041594,-0.9235961,"('distant', 'outgoing')",-0.9041594,-0.9235961,-0.0194367
6,-0.37080368,-0.39510208,"('distant', 'open')",-0.3708037,-0.3951021,-0.0242984
7,1.0274069,1.1078273,"('insensitive', 'sensitive')",1.0274069,1.1078273,0.0804204
8,0.8075884,0.75021327,"('unaffectionate', 'affectionate')",0.8075884,0.7502133,-0.0573751
9,1.2738668,1.3484077,"('unaffectionate', 'caring')",1.2738668,1.3484077,0.0745409
10,0.9646481,0.9885556,"('unsympathetic', 'sympathetic')",0.9646481,0.9885556,0.0239075
11,1.5056082,1.5977957,"('unhelpful', 'helpful')",1.5056082,1.5977957,0.0921875
12,-1.6489115,-1.6113257,"('unsupportive', 'supportive')",-1.6489115,-1.6113257,0.0375858
13,-0.085926116,-0.11823566,"('impolite', 'polite')",-0.0859261,-0.1182357,-0.0323096
14,-0.060076497,-0.1332167,"('antisocial', 'social')",-0.0600765,-0.1332167,-0.0731402
15,0.11747552,0.09379968,"('boring', 'funny')",0.1174755,0.0937997,-0.0236758
16,-0.5305952,-0.47602305,"('unpopular', 'popular')",-0.5305952,-0.476023,0.0545722
17,-0.80565935,-0.7462743,"('nasty', 'nice')",-0.8056594,-0.7462743,0.0593851
18,-0.49357352,-0.51968205,"('disagreeable', 'welcoming')",-0.4935735,-0.519682,-0.0261085
19,-0.78993356,-0.7705308,"('inhospitable', 'hospitable')",-0.7899336,-0.7705308,0.0194028
20,1.0377939,0.9797182,"('rough', 'thoughtful')",1.0377939,0.9797182,-0.0580757
21,-0.33951792,-0.30585313,"('immoral', 'moral')",-0.3395179,-0.3058531,0.0336648
22,-0.18118098,-0.1286929,"('untrustworthy', 'trustworthy')",-0.181181,-0.1286929,0.0524881
23,6.477068,6.5089273,"('insincere', 'sincere')",6.4770679,6.5089273,0.0318594
24,1.6302769,1.5301709,"('dishonest', 'honest')",1.6302769,1.5301709,-0.100106
