,trail_male,trail_female,tuple,average_male,average_female,female-male
0,0.5936485,0.32590944,"('unsociable', 'sociable')",0.5936485,0.3259094,-0.2677391
1,0.8898015,0.8281553,"('unfriendly', 'friendly')",0.8898015,0.8281553,-0.0616462
2,0.32280114,0.47015607,"('unlikable', 'likable')",0.3228011,0.4701561,0.147355
3,1.0395373,1.1440663,"('repellent', 'pleasant')",1.0395373,1.1440663,0.104529
4,-7.542383,-7.597819,"('disliked', 'liked')",-7.5423832,-7.5978189,-0.0554357
5,-1.0403726,-0.6433965,"('distant', 'outgoing')",-1.0403726,-0.6433965,0.3969761
6,-0.54998326,-0.20086162,"('distant', 'open')",-0.5499833,-0.2008616,0.3491217
7,1.3545063,1.2543523,"('insensitive', 'sensitive')",1.3545063,1.2543523,-0.100154
8,0.69397235,0.7538961,"('unaffectionate', 'affectionate')",0.6939723,0.7538961,0.0599238
9,1.5503908,1.7084682,"('unaffectionate', 'caring')",1.5503908,1.7084682,0.1580774
10,1.3714772,1.405022,"('unsympathetic', 'sympathetic')",1.3714772,1.405022,0.0335448
11,2.311242,2.3488896,"('unhelpful', 'helpful')",2.3112421,2.3488896,0.0376475
12,-1.4996232,-1.498292,"('unsupportive', 'supportive')",-1.4996232,-1.498292,0.0013312
13,0.4657778,0.35532343,"('impolite', 'polite')",0.4657778,0.3553234,-0.1104544
14,0.3927585,0.13551265,"('antisocial', 'social')",0.3927585,0.1355127,-0.2572458
15,0.3738142,0.3951546,"('boring', 'funny')",0.3738142,0.3951546,0.0213404
16,-0.4517839,-0.40480652,"('unpopular', 'popular')",-0.4517839,-0.4048065,0.0469774
17,-0.4143486,-0.3881075,"('nasty', 'nice')",-0.4143486,-0.3881075,0.0262411
18,-1.0398923,-0.92664236,"('disagreeable', 'welcoming')",-1.0398923,-0.9266424,0.1132499
19,-0.9937707,-0.7085385,"('inhospitable', 'hospitable')",-0.9937707,-0.7085385,0.2852322
20,0.66418046,0.45364386,"('rough', 'thoughtful')",0.6641805,0.4536439,-0.2105366
21,0.16186148,0.2629855,"('immoral', 'moral')",0.1618615,0.2629855,0.101124
22,-0.11169684,-0.19191465,"('untrustworthy', 'trustworthy')",-0.1116968,-0.1919146,-0.0802178
23,6.5855756,6.6269655,"('insincere', 'sincere')",6.5855756,6.6269655,0.0413899
24,1.7594858,1.7796819,"('dishonest', 'honest')",1.7594858,1.7796819,0.0201961
25,0.28833106,0.1945867,"('egoistic', 'altruistic')",0.2883311,0.1945867,-0.0937444
26,0.5621451,0.23698848,"('hardhearted', 'benevolent')",0.5621451,0.2369885,-0.3251566
27,1.2370005,1.2555473,"('hardhearted', 'softhearted')",1.2370005,1.2555473,0.0185468
28,1.1701838,1.1298932,"('disloyal', 'loyal')",1.1701838,1.1298932,-0.0402906
29,-0.21930927,-0.3743294,"('unfair', 'fair')",-0.2193093,-0.3743294,-0.1550201
30,1.1448156,1.187672,"('intolerant', 'tolerant')",1.1448156,1.187672,0.0428564
31,-1.9643698,-1.8081235,"('evil', 'good')",-1.9643698,-1.8081235,0.1562463
32,1.4881227,1.258945,"('unkind', 'kind')",1.4881227,1.258945,-0.2291777
33,-0.35311937,-0.34157893,"('wrong', 'right')",-0.3531194,-0.3415789,0.0115405
34,4.7552114,5.020572,"('mean', 'honorable')",4.7552114,5.0205722,0.2653608
35,-1.5180173,-1.5717025,"('corrupt', 'incorrupt')",-1.5180173,-1.5717025,-0.0536852
36,-1.4962717,-1.4707897,"('hostile', 'amicable')",-1.4962717,-1.4707897,0.025482
37,0.8843674,0.8830809,"('fake', 'genuine')",0.8843674,0.8830809,-0.0012865
38,0.24123359,0.22768222,"('untruthful', 'truthful')",0.2412336,0.2276822,-0.0135514
39,0.4275264,0.39129162,"('exploitative', 'cooperative')",0.4275264,0.3912916,-0.0362348
40,-2.201714,-2.3899894,"('stingy', 'generous')",-2.201714,-2.3899894,-0.1882754
41,0.36312395,0.23440765,"('unforgiving', 'forgiving')",0.363124,0.2344076,-0.1287164
