,private_male,private_female,tuple,average_male,average_female,female-male
0,1.1158925,0.91938174,"('unsociable', 'sociable')",1.1158925,0.9193817,-0.1965108
1,0.078465596,-0.04164171,"('unfriendly', 'friendly')",0.0784656,-0.0416417,-0.1201073
2,0.5340022,0.55171853,"('unlikable', 'likable')",0.5340022,0.5517185,0.0177163
3,0.6256954,0.64102423,"('repellent', 'pleasant')",0.6256954,0.6410242,0.0153288
4,-6.3429613,-6.55944,"('disliked', 'liked')",-6.3429613,-6.5594401,-0.2164788
5,-2.0486917,-2.0177164,"('distant', 'outgoing')",-2.0486917,-2.0177164,0.0309753
6,-1.4681878,-1.4589636,"('distant', 'open')",-1.4681878,-1.4589636,0.0092242
7,1.379454,1.3624676,"('insensitive', 'sensitive')",1.379454,1.3624676,-0.0169864
8,0.4889149,0.4553653,"('unaffectionate', 'affectionate')",0.4889149,0.4553653,-0.0335496
9,1.4765179,1.448585,"('unaffectionate', 'caring')",1.4765179,1.448585,-0.0279329
10,1.2789649,1.261046,"('unsympathetic', 'sympathetic')",1.2789649,1.2610461,-0.0179188
11,2.9267662,2.903495,"('unhelpful', 'helpful')",2.9267662,2.9034951,-0.0232711
12,-1.0382396,-1.039043,"('unsupportive', 'supportive')",-1.0382396,-1.0390429,-0.0008033
13,0.26682752,0.19374374,"('impolite', 'polite')",0.2668275,0.1937437,-0.0730838
14,1.2934195,1.2153534,"('antisocial', 'social')",1.2934195,1.2153534,-0.0780661
15,0.2867871,0.15445009,"('boring', 'funny')",0.2867871,0.1544501,-0.132337
16,-0.7115663,-0.72100735,"('unpopular', 'popular')",-0.7115663,-0.7210073,-0.009441
17,0.13773528,0.10190242,"('nasty', 'nice')",0.1377353,0.1019024,-0.0358329
18,-0.5534439,-0.6456995,"('disagreeable', 'welcoming')",-0.5534439,-0.6456995,-0.0922556
19,-0.8253417,-0.8451122,"('inhospitable', 'hospitable')",-0.8253417,-0.8451122,-0.0197705
20,0.82710195,0.7909435,"('rough', 'thoughtful')",0.8271019,0.7909435,-0.0361584
21,1.0608112,1.0585508,"('immoral', 'moral')",1.0608112,1.0585508,-0.0022604
22,0.0524882,-0.012708722,"('untrustworthy', 'trustworthy')",0.0524882,-0.0127087,-0.0651969
23,6.609116,6.6338425,"('insincere', 'sincere')",6.6091161,6.6338425,0.0247264
24,1.255302,1.2312002,"('dishonest', 'honest')",1.255302,1.2312002,-0.0241018
25,0.35842907,0.1983536,"('egoistic', 'altruistic')",0.3584291,0.1983536,-0.1600755
26,1.0353955,0.994648,"('hardhearted', 'benevolent')",1.0353955,0.994648,-0.0407475
