,lyondellbasell_male,lyondellbasell_female,tuple,industries_male,industries_female,n_male,n_female,v_male,v_female,average_male,average_female,female-male
0,-0.8899435,-0.8720596,"('unsociable', 'sociable')",0.93409306,0.7739983,0.32410163,0.2521634,0.22539918,0.21155798,0.1484126,0.091415,-0.0569976
1,-1.049665,-1.0875368,"('unfriendly', 'friendly')",-0.028099068,-0.16127047,-0.8103969,-0.79897183,0.4430064,0.3784517,-0.3612886,-0.4173318,-0.0560432
2,0.63037455,0.6806843,"('unlikable', 'likable')",0.5196514,0.6094878,0.86203843,0.9485064,0.2559425,0.32402262,0.5670018,0.6406752,0.0736734
3,-0.46808425,-0.3072667,"('repellent', 'pleasant')",0.09700967,0.17503259,1.2593737,1.2449366,0.7794344,0.84790504,0.4169334,0.4901519,0.0732185
4,-0.35278907,-0.41395548,"('disliked', 'liked')",-0.53266305,-0.5165743,0.78219515,0.8696233,-5.4829173,-5.4681687,-1.3965436,-1.3822688,0.0142748
5,-0.2157974,-0.26588848,"('distant', 'outgoing')",-0.69910175,-0.6472434,-0.37893862,-0.31237933,-1.1505039,-1.1220363,-0.6110854,-0.5868869,0.0241985
6,-0.4487833,-0.4690211,"('distant', 'open')",-1.0945306,-1.0433387,-0.10117875,-0.04765715,-0.23600408,-0.23108712,-0.4701242,-0.447776,0.0223482
7,0.42550492,0.5434047,"('insensitive', 'sensitive')",1.2727889,1.3144201,-0.56990314,-0.5723025,0.6718954,0.66146123,0.4500715,0.4867459,0.0366744
8,-0.6740256,-0.75710905,"('unaffectionate', 'affectionate')",-0.08841871,-0.21052656,-0.6011748,-0.6053935,-0.2827609,-0.3772837,-0.411595,-0.4875782,-0.0759832
9,-0.7951565,-0.8464079,"('unaffectionate', 'caring')",0.58498263,0.4823328,-0.03990659,-0.048206776,1.0547445,1.0160402,0.201166,0.1509396,-0.0502264
10,-0.43430907,-0.35516447,"('unsympathetic', 'sympathetic')",0.7358514,0.66461056,-0.19561622,-0.26203066,0.48538965,0.46503353,0.1478289,0.1281122,-0.0197167
11,-0.062126406,0.009127492,"('unhelpful', 'helpful')",1.4997027,1.4740627,0.16086891,0.19008572,2.2268558,2.2469692,0.9563252,0.9800613,0.0237361
12,0.15382561,0.23046528,"('unsupportive', 'supportive')",0.7678431,0.783897,0.5721767,0.5445281,-1.1251965,-1.1359069,0.0921623,0.1057459,0.0135836
13,-0.2883738,-0.23977602,"('impolite', 'polite')",1.3287255,1.3747478,-0.68625337,-0.7361348,0.001368314,0.034631405,0.0888666,0.1083671,0.0195005
14,0.2875184,0.37777898,"('antisocial', 'social')",2.0394924,2.0134044,1.2741699,1.2503299,-0.07067574,-0.04644402,0.8826262,0.8987674,0.0161412
15,0.5290764,0.48605433,"('boring', 'funny')",-0.09428036,-0.114187956,0.71088606,0.76945424,0.059304643,0.037211634,0.3012467,0.2946331,-0.0066136
16,-0.22621691,-0.21982794,"('unpopular', 'popular')",-0.7122844,-0.6961328,-0.15986346,-0.121985435,1.1068127,1.1364025,0.002112,0.0246141,0.0225021
17,-0.16138056,-0.12248273,"('nasty', 'nice')",-0.46486905,-0.30445486,-0.027766911,-0.0003145747,0.04336154,0.14011176,-0.1526637,-0.0717851,0.0808786
18,-0.75809306,-0.67786074,"('disagreeable', 'welcoming')",-0.9228557,-0.8907067,-0.8399866,-0.82033074,-1.1307611,-1.1472929,-0.9129241,-0.8840478,0.0288763
19,-0.58785236,-0.5843601,"('inhospitable', 'hospitable')",-1.1633431,-1.1167154,-0.5603018,-0.49127975,0.07031663,0.12808669,-0.5602952,-0.5160671,0.0442281
20,-0.21192119,-0.15849239,"('rough', 'thoughtful')",0.16852722,0.18603832,0.33141378,0.30793023,0.18548188,0.17293063,0.1183754,0.1271017,0.0087263
21,-0.54806745,-0.47828323,"('immoral', 'moral')",0.39914414,0.41526613,0.34193477,0.3836609,0.4673167,0.5649017,0.165082,0.2213864,0.0563044
22,0.7152817,0.74325323,"('untrustworthy', 'trustworthy')",0.5061027,0.4072611,0.59581727,0.5786519,-0.2618291,-0.2387664,0.3888431,0.3726,-0.0162431
23,0.25811285,0.3136737,"('insincere', 'sincere')",0.49296996,0.49167123,-0.36606666,-0.42351913,5.301653,5.2281594,1.4216672,1.4024963,-0.0191709
24,0.23236433,0.2472105,"('dishonest', 'honest')",0.06353133,0.119510114,-1.1682186,-1.233264,0.33108872,0.22470194,-0.1353085,-0.1604604,-0.0251519
25,-0.5013345,-0.48255092,"('egoistic', 'altruistic')",-0.29510772,-0.30033922,0.18477133,0.15862373,0.23307428,0.23315336,-0.0946491,-0.0977783,-0.0031292
26,-0.14147782,-0.16235653,"('hardhearted', 'benevolent')",1.5305585,1.4551809,0.5918172,0.58031106,0.42451787,0.34105128,0.6013539,0.5535467,-0.0478072
27,-0.8787235,-0.934005,"('hardhearted', 'softhearted')",-0.25658944,-0.3265537,-1.0666928,-1.2013868,0.74266684,0.5600855,-0.3648348,-0.475465,-0.1106302
28,0.007517379,-0.008547356,"('disloyal', 'loyal')",0.5272166,0.42680517,0.5352725,0.4808488,1.9344087,1.8307409,0.7511038,0.6824619,-0.0686419
29,-0.04608397,-0.105085425,"('unfair', 'fair')",-1.2552768,-1.3369312,0.7028336,0.6843049,0.54237574,0.5851421,-0.0140378,-0.0431424,-0.0291046
30,-0.030775823,0.020486906,"('intolerant', 'tolerant')",2.0221603,1.9897937,-1.8565038,-1.8067912,-0.5718647,-0.5768394,-0.109246,-0.0933375,0.0159085
31,-0.27455732,-0.21344401,"('evil', 'good')",-1.3777653,-1.3205534,-0.48675835,-0.30037552,-0.92932934,-0.91524875,-0.7671026,-0.6874055,0.0796971
32,0.016079664,-0.0014713407,"('unkind', 'kind')",0.6788949,0.5833374,0.07650827,0.0050404407,1.1832291,1.1408464,0.488678,0.4319382,-0.0567398
33,0.46155378,0.37235236,"('wrong', 'right')",0.5791627,0.5032217,0.7301762,0.6717229,-0.15103269,-0.15379632,0.404965,0.3483752,-0.0565898
34,-0.005806446,0.12016329,"('mean', 'honorable')",0.3331129,0.48964185,-0.15035275,-0.044289418,3.796442,3.9284909,0.993349,1.1235017,0.1301527
35,0.5637459,0.42043555,"('corrupt', 'incorrupt')",-1.5598174,-1.6158854,-0.5297639,-0.63557154,-0.760158,-0.82317835,-0.5714983,-0.6635499,-0.0920516
36,-0.58709204,-0.618669,"('hostile', 'amicable')",-0.952435,-1.0226854,-0.5046895,-0.41993812,-0.16256292,-0.13687122,-0.5516949,-0.5495409,0.002154
37,0.71153873,0.7230278,"('fake', 'genuine')",0.8485516,0.8522723,0.098344505,-0.013837278,0.027823314,-0.03060656,0.4215645,0.3827141,-0.0388504
38,0.36376697,0.33910593,"('untruthful', 'truthful')",0.4153394,0.3563088,-0.14898562,-0.1491851,0.5433282,0.5457928,0.2933623,0.2730056,-0.0203567
39,0.57462126,0.6256706,"('exploitative', 'cooperative')",0.07103731,0.16997284,0.04839427,0.10059534,-0.15915121,-0.10675286,0.1337254,0.1973715,0.0636461
40,0.062276736,0.08216653,"('stingy', 'generous')",0.0997967,0.1146424,0.2908522,0.31810755,-1.5627592,-1.5852191,-0.2774584,-0.2675757,0.0098827
41,0.086159475,0.11583915,"('unforgiving', 'forgiving')",-0.48970976,-0.55596846,-0.4454788,-0.37967837,0.23295133,0.20298918,-0.1540194,-0.1542046,-0.0001852
42,0.25557956,0.41561368,"('unreliable', 'reliable')",-0.3523808,-0.09977475,0.3976102,0.5285609,-2.885281,-2.7298565,-0.646118,-0.4713642,0.1747538
43,-0.23739007,-0.14765397,"('irresponsible', 'responsible')",0.8341234,0.9489937,-0.14970574,-0.10670255,0.9403119,0.93844795,0.3468349,0.4082713,0.0614364
44,0.18671672,0.16285415,"('prejudiced', 'unprejudiced')",-0.79392797,-0.6292093,0.25959578,0.3809047,-1.7785,-1.6866689,-0.5315288,-0.4430298,0.088499
45,0.7373584,0.8439088,"('incompetent', 'competent')",1.3997688,1.3847071,0.97477096,0.9855317,1.2975354,1.264656,1.1023583,1.1197009,0.0173426
46,-0.06518214,-0.0049052797,"('uncompetitive', 'competitive')",2.1166334,2.0609624,-0.11466762,-0.17696762,0.23321472,0.19201237,0.5424995,0.5177755,-0.024724
47,0.14293265,0.3043878,"('stupid', 'smart')",0.95320874,1.0318402,0.2907253,0.35987052,4.3604293,4.316784,1.436824,1.5032206,0.0663966
48,-0.57604104,-0.53248894,"('unintelligent', 'intelligent')",0.36158976,0.25110328,-1.2246019,-1.2046365,-0.088232,-0.12742016,-0.3818213,-0.4033606,-0.0215393
49,-0.17341897,-0.066787064,"('unable', 'able')",0.35572255,0.490562,0.08031157,0.17514342,0.10246934,0.189772,0.0912711,0.1971726,0.1059015
50,0.7138388,0.7249428,"('clumsy', 'skillful')",-0.23449042,-0.15435492,0.4577601,0.41083258,1.0392389,1.0486636,0.4940869,0.507521,0.0134341
51,-0.6732269,-0.6717794,"('uneducated', 'educated')",0.08534022,-0.1131195,0.8004787,0.7200748,0.2346906,0.22755449,0.1118207,0.0406826,-0.0711381
52,-0.44520178,-0.62249804,"('irrational', 'rational')",-1.3380615,-1.4141469,-0.27659208,-0.25760263,1.1482337,1.1183808,-0.2279054,-0.2939667,-0.0660613
53,-0.6245149,-0.5663627,"('uncreative', 'creative')",0.75405973,0.7309446,0.16993347,0.2147668,0.28051972,0.29710722,0.1449995,0.169114,0.0241145
54,-0.025352202,-0.085561246,"('incapable', 'capable')",-0.5474315,-0.55451685,0.5060214,0.5447589,0.9512912,0.9771873,0.2211322,0.220467,-0.0006652
55,0.5597906,0.68685067,"('incompetent', 'clever')",1.0107379,0.93205285,0.978129,0.9849104,1.1439676,1.0992742,0.9231563,0.925772,0.0026157
56,0.8953039,0.998952,"('impractical', 'practical')",2.0620663,2.0631175,1.0825537,1.121089,0.2791716,0.370829,1.0797739,1.1384969,0.058723
57,0.21192956,0.25443095,"('unimaginative', 'imaginative')",1.3096786,1.267738,0.7314999,0.78582275,-1.9912492,-2.0167778,0.0654647,0.0728034,0.0073387
58,-0.07484895,-0.05993242,"('undiscriminating', 'discriminating')",0.95930314,0.9546874,-0.4908753,-0.45436883,-0.023047488,-0.011456735,0.0926329,0.1072324,0.0145995
59,0.43936262,0.43798783,"('foolish', 'wise')",-0.72056997,-0.61378485,0.097120225,0.16255337,1.4610028,1.4366404,0.3192289,0.3558492,0.0366203
