,elver_male,elver_female,tuple,average_male,average_female,female-male
0,-0.8493471,-1.076438,"('unsociable', 'sociable')",-0.8493471,-1.076438,-0.2270909
1,0.3184653,-0.09275383,"('unfriendly', 'friendly')",0.3184653,-0.0927538,-0.4112191
2,0.51797986,0.44294932,"('unlikable', 'likable')",0.5179799,0.4429493,-0.0750306
3,0.15326959,0.26506057,"('repellent', 'pleasant')",0.1532696,0.2650606,0.111791
4,-2.8615587,-3.0930576,"('disliked', 'liked')",-2.8615587,-3.0930576,-0.2314989
5,-0.44996974,-0.5671976,"('distant', 'outgoing')",-0.4499697,-0.5671976,-0.1172279
6,-0.31041873,-0.42871463,"('distant', 'open')",-0.3104187,-0.4287146,-0.1182959
7,-0.24906489,-0.15707058,"('insensitive', 'sensitive')",-0.2490649,-0.1570706,0.0919943
8,0.10477243,-0.17347103,"('unaffectionate', 'affectionate')",0.1047724,-0.173471,-0.2782434
9,0.6050311,0.4521477,"('unaffectionate', 'caring')",0.6050311,0.4521477,-0.1528834
10,-0.67289,-0.6858683,"('unsympathetic', 'sympathetic')",-0.67289,-0.6858683,-0.0129783
11,0.8037886,0.83272445,"('unhelpful', 'helpful')",0.8037886,0.8327245,0.0289359
12,-1.3537993,-1.3935565,"('unsupportive', 'supportive')",-1.3537993,-1.3935565,-0.0397572
13,-0.51530087,-0.5583502,"('impolite', 'polite')",-0.5153009,-0.5583502,-0.0430493
14,-0.5407245,-0.56677884,"('antisocial', 'social')",-0.5407245,-0.5667788,-0.0260543
15,0.8832469,0.69321007,"('boring', 'funny')",0.8832469,0.6932101,-0.1900368
16,-0.44355354,-0.52704173,"('unpopular', 'popular')",-0.4435535,-0.5270417,-0.0834882
17,0.07579831,0.23925935,"('nasty', 'nice')",0.0757983,0.2392593,0.163461
18,0.07833026,0.0021085031,"('disagreeable', 'welcoming')",0.0783303,0.0021085,-0.0762218
19,-0.46820688,-0.5699051,"('inhospitable', 'hospitable')",-0.4682069,-0.5699051,-0.1016982
20,-0.3865018,-0.32405254,"('rough', 'thoughtful')",-0.3865018,-0.3240525,0.0624493
21,-0.88798064,-0.87478554,"('immoral', 'moral')",-0.8879806,-0.8747855,0.0131951
22,-0.6731962,-0.67053044,"('untrustworthy', 'trustworthy')",-0.6731962,-0.6705304,0.0026658
23,3.0963006,3.1134565,"('insincere', 'sincere')",3.0963006,3.1134565,0.0171559
24,0.25843152,0.30281478,"('dishonest', 'honest')",0.2584315,0.3028148,0.0443833
25,1.0802375,0.9409707,"('egoistic', 'altruistic')",1.0802375,0.9409707,-0.1392668
26,0.42315605,0.043084607,"('hardhearted', 'benevolent')",0.4231561,0.0430846,-0.3800715
27,0.53400284,0.5098779,"('hardhearted', 'softhearted')",0.5340028,0.5098779,-0.0241249
28,0.19431128,0.22811466,"('disloyal', 'loyal')",0.1943113,0.2281147,0.0338034
29,-0.8638857,-0.81951326,"('unfair', 'fair')",-0.8638857,-0.8195133,0.0443724
30,0.56998885,0.52030164,"('intolerant', 'tolerant')",0.5699888,0.5203016,-0.0496872
31,-1.3213131,-1.2963749,"('evil', 'good')",-1.3213131,-1.2963749,0.0249382
32,0.040371045,-0.28950226,"('unkind', 'kind')",0.040371,-0.2895023,-0.3298733
33,0.39546126,0.26866606,"('wrong', 'right')",0.3954613,0.2686661,-0.1267952
34,2.3444939,2.4786007,"('mean', 'honorable')",2.3444939,2.4786007,0.1341068
35,0.3609766,0.35019857,"('corrupt', 'incorrupt')",0.3609766,0.3501986,-0.010778
36,-0.08421582,-0.27138364,"('hostile', 'amicable')",-0.0842158,-0.2713836,-0.1871678
37,0.2534484,0.16403499,"('fake', 'genuine')",0.2534484,0.164035,-0.0894134
38,-0.005738778,-0.09324147,"('untruthful', 'truthful')",-0.0057388,-0.0932415,-0.0875027
