,panic_male,panic_female,tuple,average_male,average_female,female-male
0,0.33775976,0.15653293,"('unsociable', 'sociable')",0.3377598,0.1565329,-0.1812269
1,1.3560734,1.2798933,"('unfriendly', 'friendly')",1.3560734,1.2798933,-0.0761801
2,0.9609034,1.0060309,"('unlikable', 'likable')",0.9609034,1.0060309,0.0451275
3,1.2611897,1.2542537,"('repellent', 'pleasant')",1.2611897,1.2542537,-0.006936
4,-7.0263996,-7.1173816,"('disliked', 'liked')",-7.0263996,-7.1173816,-0.090982
5,-0.14601105,-0.15299472,"('distant', 'outgoing')",-0.1460111,-0.1529947,-0.0069836
6,-0.057919737,-0.04281425,"('distant', 'open')",-0.0579197,-0.0428143,0.0151054
7,1.6791127,1.5936176,"('insensitive', 'sensitive')",1.6791127,1.5936176,-0.0854951
8,0.86997324,0.84257674,"('unaffectionate', 'affectionate')",0.8699732,0.8425767,-0.0273965
9,1.3222015,1.3955127,"('unaffectionate', 'caring')",1.3222015,1.3955127,0.0733112
10,1.905435,1.9059464,"('unsympathetic', 'sympathetic')",1.905435,1.9059464,0.0005114
11,2.277055,2.2786288,"('unhelpful', 'helpful')",2.277055,2.2786288,0.0015738
12,-0.8958125,-0.96294224,"('unsupportive', 'supportive')",-0.8958125,-0.9629422,-0.0671297
13,0.5768586,0.4442493,"('impolite', 'polite')",0.5768586,0.4442493,-0.1326093
14,0.3619978,0.1975622,"('antisocial', 'social')",0.3619978,0.1975622,-0.1644356
15,0.37092462,0.41147292,"('boring', 'funny')",0.3709246,0.4114729,0.0405483
16,-0.6425087,-0.6456976,"('unpopular', 'popular')",-0.6425087,-0.6456976,-0.0031889
17,-0.059313346,-0.19335303,"('nasty', 'nice')",-0.0593133,-0.193353,-0.1340397
18,-0.03151686,-0.16410746,"('disagreeable', 'welcoming')",-0.0315169,-0.1641075,-0.1325906
19,-0.16694093,-0.087667316,"('inhospitable', 'hospitable')",-0.1669409,-0.0876673,0.0792736
20,0.95604485,0.81184274,"('rough', 'thoughtful')",0.9560449,0.8118427,-0.1442022
21,0.7217797,0.7526499,"('immoral', 'moral')",0.7217797,0.7526499,0.0308702
22,0.13133273,-0.031178169,"('untrustworthy', 'trustworthy')",0.1313327,-0.0311782,-0.1625109
23,7.0668497,7.071825,"('insincere', 'sincere')",7.0668497,7.071825,0.0049753
24,2.3743508,2.33627,"('dishonest', 'honest')",2.3743508,2.3362701,-0.0380807
25,0.06383048,-0.12007905,"('egoistic', 'altruistic')",0.0638305,-0.120079,-0.1839095
26,0.07740783,0.16078568,"('hardhearted', 'benevolent')",0.0774078,0.1607857,0.0833779
